# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:25:50 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.00000 0.0900000036 1.0816895962    0.090 -3.382  3.3668  5.193    0  0.000  0.545     0.00     0.00 -1 -4.45e-17      0.00 7.106e-01 2.746e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 13.224 22.459 19.848 18.022 15.877 13.633 11.147 10.537 10.249
0.01471 0.00000 9.00000 0.1000000015 1.1711064577    0.100 -3.221  3.3905  5.173    0  0.000  0.545     0.00     0.00 -1 -6.24e-17      0.00 7.106e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.823 22.019 19.430 17.610 15.472 13.231 10.747 10.137 9.847
0.01471 0.00000 9.00000 0.1200000048 1.3193155527    0.120 -2.971  3.4245  5.138    0  0.000  0.545     0.00     0.00 -1 -1.05e-16      0.00 7.105e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.197 20.923 18.498 16.712 14.677 12.504 10.139 9.529 9.234
0.01471 0.00000 9.00000 0.1220560521 1.3327170610    0.122 -2.952  3.4266  5.135    0  0.000  0.545     0.00     0.00 -1 -1.09e-16      0.00 7.105e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.150 20.749 18.366 16.588 14.581 12.427 10.098 9.488 9.192
0.01471 0.00000 9.00000 0.1400000006 1.4384527206    0.140 -2.790  3.4443  5.103    0  0.000  0.545     0.00     0.00 -1 -1.53e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.746 19.421 17.312 15.612 13.808 11.801 9.735 9.122 8.826
0.01471 0.00000 9.00000 0.1481855512 1.4809975624    0.148 -2.731  3.4500  5.091    0  0.000  0.545     0.00     0.00 -1 -1.73e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.597 18.991 16.963 15.287 13.545 11.586 9.599 8.986 8.691
0.01471 0.00000 9.00000 0.1599999964 1.5372931957    0.160 -2.650  3.4578  5.075    0  0.000  0.545     0.00     0.00 -1 -2.04e-16      0.00 7.103e-01 2.749e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.394 18.419 16.497 14.844 13.186 11.302 9.416 8.802 8.509
0.01471 0.00000 9.00000 0.2000000030 1.6938791275    0.200 -2.434  3.4765  5.031    0  0.000  0.545     0.00     0.00 -1 -3.16e-16      0.00 7.102e-01 2.750e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.856 17.094 15.386 13.791 12.314 10.596 8.923 8.307 8.022
0.01471 0.00000 9.00000 0.2500000000 1.8403258324    0.250 -2.232  3.4929  4.992    0  0.000  0.545     0.00     0.00 -1 -4.71e-16      0.00 7.102e-01 2.751e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.351 16.004 14.441 12.880 11.536 9.974 8.460 7.841 7.567
0.01471 0.00000 9.00000 0.3139314055 1.9800002575    0.314 -2.030  3.5062  4.942    0  0.000  0.545     0.00     0.00 -1 -7.09e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.845 15.099 13.631 12.110 10.855 9.396 7.985 7.362 7.099
0.01471 0.00000 9.00000 0.3198592663 1.9910559654    0.320 -2.011  3.5074  4.936    0  0.000  0.545     0.00     0.00 -1 -7.38e-16      0.00 7.105e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.798 15.019 13.559 12.042 10.794 9.343 7.940 7.318 7.055
