# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:59 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00051413 -1.48000 10.14613 0.0900000110 1.0816897154    0.090 -3.182  3.4743  5.424    1  0.000  0.545     0.00     0.00 -1 -5.35e-17      0.00 7.475e-01 2.520e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.201e-04 12.725 20.161 17.418 15.418 13.705 12.061 10.737 10.420 10.316
0.00051413 -1.48000 10.14613 0.0973307043 1.1484138966    0.097 -2.970  3.5046  5.366    1  0.000  0.545     0.00     0.00 -1 -7.43e-17      0.00 7.460e-01 2.535e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.201e-04 12.194 18.254 16.114 14.208 12.834 11.512 10.309 9.876 9.743
0.00051413 -1.48000 10.14613 0.1000000015 1.1711064577    0.100 -2.896  3.5151  5.346    1  0.000  0.545     0.00     0.00 -1 -7.74e-17      0.00 7.455e-01 2.540e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.200e-04 12.010 17.645 15.689 13.837 12.547 11.324 10.161 9.698 9.555
0.00051413 -1.48000 10.14613 0.1199999973 1.3193154335    0.120 -2.611  3.5462  5.265    1  0.000  0.545     0.00     0.00 -1 -2.07e-16      0.00 7.424e-01 2.571e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.201e-04 11.297 15.835 14.324 12.686 11.572 10.599 9.548 9.024 8.857
0.00051413 -1.48000 10.14613 0.1290449202 1.3761651516    0.129 -2.525  3.5535  5.239    1  0.000  0.545     0.00     0.00 -1  -2.1e-16      0.00 7.413e-01 2.581e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.202e-04 11.082 15.395 13.972 12.387 11.306 10.382 9.356 8.822 8.650
0.00051413 -1.48000 10.14613 0.1400000155 1.4384528399    0.140 -2.428  3.5616  5.210    1  0.000  0.545     0.00     0.00 -1 -1.97e-16      0.00 7.402e-01 2.593e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.202e-04 10.840 14.913 13.582 12.058 11.012 10.139 9.141 8.597 8.420
0.00051413 -1.48000 10.14613 0.1599999964 1.5372931957    0.160 -2.285  3.5718  5.166    1  0.000  0.545     0.00     0.00 -1 -3.16e-16      0.00 7.387e-01 2.608e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.201e-04 10.481 14.267 13.048 11.597 10.595 9.779 8.815 8.261 8.077
0.00051413 -1.48000 10.14613 0.2000000179 1.6938792467    0.200 -2.062  3.5850  5.093    1  0.000  0.545     0.00     0.00 -1 -5.56e-16      0.00 7.375e-01 2.620e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.201e-04 9.925 13.369 12.281 10.922 9.978 9.221 8.298 7.735 7.544
0.00051413 -1.48000 10.14613 0.2500000298 1.8403259516    0.250 -1.859  3.5961  5.032    1  0.000  0.545     0.00     0.00 -1 -1.79e-19      0.00 7.376e-01 2.618e-01 9.351e-05 2.524e-05 2.288e-04 -1.000 5.201e-04 9.418 12.597 11.609 10.323 9.428 8.711 7.824 7.256 7.064
0.00051413 -1.48000 10.14613 0.3000000417 1.9529141188    0.300 -1.705  3.6047  4.991    1  0.000  0.545     0.00     0.00 -1 -4.48e-20      0.00 7.379e-01 2.616e-01 9.350e-05 2.524e-05 2.288e-04 -1.000 5.201e-04 9.033 12.025 11.106 9.872 9.014 8.324 7.462 6.893 6.705
0.00051413 -1.48000 10.14613 0.3500000238 2.0434176922    0.350 -1.580  3.6120  4.963    1  0.000  0.545     0.00     0.00 -1 -8.42e-18      0.00 7.382e-01 2.613e-01 9.346e-05 2.523e-05 2.288e-04 -1.000 5.353e-04 8.721 11.561 10.697 9.506 8.677 8.009 7.169 6.599 6.417
0.00051413 -1.48000 10.14613 0.3999145925 2.1183848381    0.400 -1.434  3.6236  4.920    1  0.000  0.545     0.00     0.00 -1 -2.35e-15      0.00 7.502e-01 2.493e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.202e-04 8.355 10.970 10.185 9.058 8.277 7.641 6.834 6.263 6.094
0.00051413 -1.48000 10.14613 0.4000000358 2.1185026169    0.400 -1.434  3.6236  4.920    1  0.000  0.545     0.00     0.00 -1 -2.39e-15      0.00 7.502e-01 2.492e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.202e-04 8.354 10.969 10.184 9.057 8.276 7.641 6.833 6.262 6.093
0.00051413 -1.48000 10.14613 0.4500000477 2.1822810173    0.450 -1.256  3.6429  4.870    1  0.000  0.545     0.00     0.00 -1 -1.85e-15      0.00 7.503e-01 2.491e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.201e-04 7.910 10.166 9.512 8.485 7.779 7.196 6.441 5.876 5.732
0.00051413 -1.48000 10.14613 0.5000000000 2.2374541759    0.500 -1.055  3.6700  4.824    1  0.000  0.545     0.00     0.00 -1 -6.07e-15      0.00 7.503e-01 2.491e-01 9.352e-05 2.523e-05 2.288e-04 -1.000 5.201e-04 7.406 9.166 8.719 7.820 7.213 6.697 6.017 5.490 5.374
0.00051413 -1.48000 10.14613 0.5500000715 2.2836585045    0.550 -0.830  3.6958  4.744    1  0.000  0.544     0.00     0.00 -1 -9.75e-17      0.00 7.904e-01 2.092e-01 7.951e-05 2.147e-05 1.948e-04 -1.000 4.542e-04 6.846 8.153 7.931 7.136 6.611 6.148 5.547 5.077 4.980
0.00051413 -1.48000 10.14613 0.6000000238 2.3211214542    0.600 -0.609  3.7254  4.678    1  0.000  0.543     0.00     0.00 -1 -1.64e-14      0.00 8.027e-01 1.969e-01 7.543e-05 2.038e-05 1.851e-04 -1.000 4.178e-04 6.292 7.180 7.175 6.489 6.038 5.626 5.110 4.704 4.625
0.00051413 -1.48000 10.14613 0.6052875519 2.3246691227    0.605 -0.584  3.7288  4.671    1  0.000  0.543     0.00     0.00 -1  -1.6e-14      0.00 8.042e-01 1.953e-01 7.493e-05 2.025e-05 1.839e-04 -1.000 4.161e-04 6.231 7.075 7.092 6.419 5.976 5.569 5.063 4.664 4.587
0.00051413 -1.48000 10.14613 0.6149677038 2.3309829235    0.615 -0.539  3.7350  4.658    1  0.000  0.543     0.00     0.00 -1  -1.2e-25      0.00 8.071e-01 1.925e-01 7.400e-05 2.000e-05 1.816e-04 -1.000 4.160e-04 6.117 6.892 6.944 6.293 5.863 5.466 4.975 4.588 4.515
0.00051413 -1.48000 10.14613 0.6239667535 2.3366506100    0.624 -0.496  3.7407  4.644    1  0.000  0.543     0.00     0.00 -1 -1.14e-22      0.00 8.098e-01 1.898e-01 7.309e-05 1.976e-05 1.795e-04 -1.000 4.157e-04 6.011 6.724 6.806 6.176 5.757 5.369 4.893 4.516 4.446
0.00051413 -1.48000 10.14613 0.6327368021 2.3419961929    0.632 -0.455  3.7461  4.630    1  0.000  0.543     0.00     0.00 -1 -8.67e-20      0.00 8.125e-01 1.871e-01 7.218e-05 1.951e-05 1.773e-04 -1.000 4.127e-04 5.906 6.566 6.674 6.063 5.655 5.276 4.812 4.443 4.378
0.00051413 -1.48000 10.14613 0.6427103281 2.3478717804    0.642 -0.406  3.7522  4.613    1  0.000  0.542     0.00     0.00 -1 -1.51e-16      0.00 8.158e-01 1.838e-01 7.110e-05 1.923e-05 1.748e-04 -1.000 4.159e-04 5.786 6.388 6.523 5.934 5.539 5.169 4.720 4.360 4.300
0.00051413 -1.48000 10.14613 0.6499999762 2.3520355225    0.650 -0.371  3.7565  4.599    1  0.000  0.542     0.00     0.00 -1 -3.04e-14      0.00 8.182e-01 1.814e-01 7.029e-05 1.901e-05 1.728e-04 -1.000 4.131e-04 5.696 6.258 6.411 5.838 5.453 5.091 4.651 4.297 4.241
0.00051413 -1.48000 10.14613 0.6533731222 2.3539259434    0.653 -0.354  3.7583  4.592    1  0.000  0.542     0.00     0.00 -1 -3.08e-14      0.00 8.196e-01 1.800e-01 6.982e-05 1.889e-05 1.717e-04 -1.000 4.107e-04 5.654 6.198 6.360 5.794 5.413 5.054 4.618 4.267 4.212
0.00051413 -1.48000 10.14613 0.6635068059 2.3594727516    0.663 -0.302  3.7639  4.569    1  0.000  0.542     0.00     0.00 -1 -1.32e-14      0.00 8.241e-01 1.756e-01 6.837e-05 1.850e-05 1.682e-04 -1.000 3.866e-04 5.525 6.023 6.205 5.660 5.289 4.939 4.516 4.173 4.122
0.00051413 -1.48000 10.14613 0.6729478240 2.3644678593    0.673 -0.252  3.7689  4.546    1  0.000  0.542     0.00     0.00 -1 -6.83e-23      0.00 8.284e-01 1.712e-01 6.695e-05 1.812e-05 1.648e-04 -1.000 3.699e-04 5.401 5.861 6.058 5.531 5.171 4.829 4.416 4.080 4.033
