# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:14 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0025572 -0.78000 10.07918 0.0900000036 1.0816895962    0.090 -3.273  3.4280  5.330    1  0.000  0.545     0.00     0.00 -1  -4.3e-17      0.00 7.419e-01 2.554e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 12.953 21.821 19.143 17.117 14.923 12.730 10.846 10.454 10.258
0.0025572 -0.78000 10.07918 0.0923039913 1.1034005880    0.092 -3.220  3.4355  5.317    1  0.000  0.545     0.00     0.00 -1 -4.88e-17      0.00 7.416e-01 2.557e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 12.820 21.330 18.755 16.761 14.673 12.547 10.735 10.324 10.123
0.0025572 -0.78000 10.07918 0.0994709730 1.1666719913    0.099 -3.063  3.4575  5.280    1  0.000  0.545     0.00     0.00 -1 -7.23e-17      0.00 7.409e-01 2.564e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 12.427 19.924 17.634 15.724 13.931 12.023 10.409 9.945 9.733
0.0025572 -0.78000 10.07918 0.1037442833 1.2016435862    0.104 -2.999  3.4653  5.265    1  0.000  0.545     0.00     0.00 -1 -8.51e-17      0.00 7.405e-01 2.568e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 12.266 19.409 17.223 15.338 13.645 11.822 10.273 9.793 9.576
0.0025572 -0.78000 10.07918 0.1184129193 1.3087648153    0.118 -2.796  3.4899  5.218    1  0.000  0.545     0.00     0.00 -1 -1.44e-16      0.00 7.392e-01 2.580e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 11.760 17.875 15.993 14.187 12.763 11.211 9.843 9.323 9.097
0.0025572 -0.78000 10.07918 0.1373548657 1.4240076542    0.137 -2.612  3.5090  5.175    1  0.000  0.545     0.00     0.00 -1 -1.75e-16      0.00 7.378e-01 2.594e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 11.300 16.715 15.047 13.319 12.048 10.695 9.442 8.901 8.672
0.0025572 -0.78000 10.07918 0.1562968045 1.5202448368    0.156 -2.471  3.5216  5.140    1  0.000  0.545     0.00     0.00 -1  -2.9e-16      0.00 7.367e-01 2.606e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 10.947 15.952 14.408 12.737 11.544 10.314 9.128 8.577 8.347
0.0025572 -0.78000 10.07918 0.1941807121 1.6737552881    0.194 -2.254  3.5375  5.081    1  0.000  0.545     0.00     0.00 -1 -4.58e-16      0.00 7.351e-01 2.622e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 10.406 14.957 13.547 11.959 10.845 9.746 8.633 8.071 7.845
0.0025572 -0.78000 10.07918 0.2415355742 1.8183554411    0.241 -2.050  3.5500  5.021    1  0.000  0.545     0.00     0.00 -1 -5.68e-17      0.00 7.344e-01 2.629e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 9.894 14.128 12.809 11.287 10.225 9.219 8.158 7.587 7.364
0.0025572 -0.78000 10.07918 0.2888904214 1.9301143885    0.288 -1.890  3.5590  4.975    1  0.000  0.545     0.00     0.00 -1 -3.27e-17      0.00 7.344e-01 2.629e-01 4.871e-04 1.314e-04 1.192e-03 -1.000 2.709e-03 9.495 13.526 12.263 10.785 9.756 8.812 7.786 7.209 6.988
