# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:17:03 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.013188 -0.05000 9.47712 0.0900000036 1.0816895962    0.090 -3.414  3.3670  5.227    1  0.000  0.545     0.00     0.00 -1 -3.94e-17      0.00 7.144e-01 2.723e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 13.306 22.674 19.976 18.128 15.951 13.692 11.228 10.617 10.340
0.013188 -0.05000 9.47712 0.1000000015 1.1711064577    0.100 -3.227  3.3939  5.193    0  0.000  0.545     0.00     0.00 -1 -5.97e-17      0.00 7.143e-01 2.724e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 12.838 22.142 19.481 17.642 15.478 13.225 10.762 10.152 9.870
0.013188 -0.05000 9.47712 0.1153709292 1.2880188227    0.115 -3.017  3.4218  5.156    1  0.000  0.545     0.00     0.00 -1 -9.41e-17      0.00 7.141e-01 2.726e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 12.312 21.296 18.753 16.939 14.845 12.637 10.248 9.637 9.350
0.013188 -0.05000 9.47712 0.1200000048 1.3193155527    0.120 -2.959  3.4295  5.146    1  0.000  0.545     0.00     0.00 -1 -1.07e-16      0.00 7.140e-01 2.727e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 12.167 20.687 18.295 16.511 14.520 12.383 10.123 9.510 9.220
0.013188 -0.05000 9.47712 0.1400000006 1.4384527206    0.140 -2.778  3.4487  5.108    1  0.000  0.545     0.00     0.00 -1 -1.57e-16      0.00 7.138e-01 2.729e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 11.715 19.261 17.154 15.454 13.680 11.704 9.716 9.100 8.809
0.013188 -0.05000 9.47712 0.1599999964 1.5372931957    0.160 -2.636  3.4622  5.079    0  0.000  0.545     0.00     0.00 -1  -2.1e-16      0.00 7.136e-01 2.731e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 11.361 18.262 16.343 14.684 13.059 11.211 9.397 8.779 8.491
0.013188 -0.05000 9.47712 0.2000000030 1.6938791275    0.200 -2.420  3.4809  5.035    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.132e-01 2.735e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 10.821 16.947 15.237 13.635 12.190 10.513 8.902 8.283 8.002
0.013188 -0.05000 9.47712 0.2500000000 1.8403258324    0.250 -2.217  3.4970  4.993    1  0.000  0.545     0.00     0.00 -1 -4.86e-16      0.00 7.128e-01 2.739e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 10.313 15.880 14.311 12.743 11.426 9.901 8.435 7.814 7.543
0.013188 -0.05000 9.47712 0.3000000119 1.9529139996    0.300 -2.059  3.5075  4.957    1  0.000  0.545     0.00     0.00 -1 -5.99e-16      0.00 7.126e-01 2.741e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 9.919 15.171 13.677 12.142 10.895 9.453 8.065 7.442 7.180
0.013188 -0.05000 9.47712 0.3362760246 2.0203332901    0.336 -1.942  3.5138  4.914    0  0.000  0.545     0.00     0.00 -1 -8.65e-16      0.00 7.144e-01 2.723e-01 2.389e-03 6.447e-04 5.847e-03 -1.000 1.329e-02 9.625 14.700 13.249 11.736 10.527 9.132 7.786 7.161 6.904
