# The relationship between age and the maximum initial-mass of stars that are alive at that age.
# Values from input_files/CMD3.3*.dat, originally from the PARSEC isochrones model (references are given in CMD3.3*.dat)
#   Read CMD3.3-thin1.dat
# iage Minidie  MRGst        MRGen
5  7.2251992226 6.9046821594 7.2251992226
10 5.3151664734 5.0788216591 5.3149628639
15 4.5166473389 4.3004155159 4.5165615082
#   Read CMD3.3-thin2.dat
20 4.0426144600 3.8341679573 4.0425739288
25 3.7244555950 3.5164194107 3.7243974209
30 3.4855511189 3.2799770832 3.4854869843
35 3.2981526852 3.0951058865 3.2981145382
40 3.1475172043 2.9445996284 3.1474843025
45 3.0238981247 2.8185675144 3.0238981247
50 2.9176514149 2.7116518021 2.9176514149
55 2.8248126507 2.6187505722 2.8248126507
60 2.7425796986 2.5368492603 2.7425796986
65 2.6689965725 2.4635062218 2.6689965725
70 2.6026306152 2.3975734711 2.6026306152
75 2.5413956642 2.3390293121 2.5413956642
80 2.4853806496 2.2854223251 2.4853806496
85 2.4338877201 2.2365946770 2.4338877201
90 2.3870866299 2.1916685104 2.3870866299
95 2.3454008102 2.1500000954 2.3454008102
100 2.3065266609 2.1119546890 2.3065266609
#   Read CMD3.3-thin3.dat
105 2.2634930611 2.0691447258 2.2634930611
110 2.2227766514 2.0347273350 2.2227766514
115 2.1851503849 2.0026609898 2.1851503849
120 2.1535048485 1.9736224413 2.1535048485
125 2.1247053146 1.9461681843 2.1247053146
130 2.0972340107 1.9195245504 2.0972340107
135 2.0682473183 1.8943824768 2.0682473183
140 2.0413012505 1.8709506989 2.0413012505
145 2.0167531967 1.8485844135 2.0167531967
150 1.9923980236 1.8267763853 1.9923980236
155 1.9669359922 1.8059283495 1.9669359922
160 1.9435153008 1.7858985662 1.9435153008
165 1.9230918884 1.7670983076 1.9230918884
170 1.9034832716 1.7491757870 1.9034832716
175 1.8163390160 1.7320992947 1.8163390160
180 1.7926690578 1.7156636715 1.7926690578
185 1.7726669312 1.6995798349 1.7726669312
190 1.7534126043 1.6846131086 1.7534126043
195 1.7359548807 1.6701619625 1.7359548807
200 1.7193670273 1.6561958790 1.7193670273
#   Read CMD3.3-thin4.dat
205 1.6996604204 1.6395614147 1.6996604204
210 1.6848428249 1.6264536381 1.6848428249
215 1.6705490351 1.6130802631 1.6705490351
220 1.6567009687 1.6007542610 1.6567009687
225 1.6433237791 1.5886847973 1.6433237791
230 1.6303970814 1.5770665407 1.6303970814
235 1.6178581715 1.5657804012 1.6178581715
240 1.6056787968 1.5548101664 1.6056787968
245 1.5941077471 1.5444164276 1.5941077471
250 1.5829007626 1.5343424082 1.5829007626
255 1.5717997551 1.5245316029 1.5717997551
260 1.5612411499 1.5149723291 1.5612411499
265 1.5511873960 1.5056532621 1.5511873960
270 1.5415607691 1.4964903593 1.5415607691
275 1.5321568251 1.4876070023 1.5321568251
