# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:25:50 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
  100 0.0900000036 18.022 13.633
  100 0.1000000015 17.610 13.231
  100 0.1200000048 16.712 12.504
  100 0.1220560521 16.588 12.427
  100 0.1400000006 15.612 11.801
  100 0.1481855512 15.287 11.586
  100 0.1599999964 14.844 11.302
  100 0.2000000030 13.791 10.596
  100 0.2500000000 12.880  9.974
  100 0.3139314055 12.110  9.396
  100 0.3198592663 12.042  9.343
  100 0.3476004303 11.743  9.119
  100 0.3500000238 11.718  9.101
  100 0.4000000358 11.172  8.687
  100 0.4500000179 10.626  8.273
  100 0.5000000000 10.049  7.843
  100 0.5091509223  9.927  7.758
  100 0.5500000119  9.420  7.400
  100 0.5601863861  9.280  7.307
  100 0.6000000238  8.774  6.964
  100 0.6152634025  8.575  6.830
  100 0.6377906799  8.294  6.640
  100 0.6499999762  8.145  6.539
  100 0.7000000477  7.515  6.136
  100 0.7026700377  7.480  6.115
  100 0.7500000000  6.919  5.751
  100 0.7510547638  6.909  5.744
  100 0.8000000119  6.460  5.417
  100 0.8010122180  6.451  5.411
  100 0.8500000238  6.048  5.107
  100 0.8999999762  5.680  4.819
