# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:14 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
 1200 0.0900000036 17.117 12.730
 1200 0.0923039913 16.761 12.547
 1200 0.0994709730 15.724 12.023
 1200 0.1037442833 15.338 11.822
 1200 0.1184129193 14.187 11.211
 1200 0.1373548657 13.319 10.695
 1200 0.1562968045 12.737 10.314
 1200 0.1941807121 11.959  9.746
 1200 0.2415355742 11.287  9.219
 1200 0.2888904214 10.785  8.812
 1200 0.3362452984 10.371  8.472
 1200 0.3836001456  9.924  8.114
 1200 0.4309550524  9.411  7.713
 1200 0.4783098698  8.825  7.264
 1200 0.5256648064  8.135  6.766
 1200 0.5581501722  7.623  6.411
 1200 0.5730196238  7.405  6.257
 1200 0.6203744411  6.751  5.774
 1200 0.6268085241  6.667  5.710
 1200 0.6422417760  6.468  5.557
 1200 0.6572073102  6.282  5.412
 1200 0.6677293777  6.154  5.309
 1200 0.6714178920  6.110  5.273
 1200 0.6857892871  5.940  5.133
 1200 0.6986593604  5.788  5.009
 1200 0.7108542323  5.644  4.890
 1200 0.7161926627  5.581  4.837
 1200 0.7219653726  5.512  4.778
 1200 0.7324624658  5.386  4.671
 1200 0.7426410913  5.262  4.563
 1200 0.7517977953  5.147  4.462
 1200 0.7607089281  5.033  4.361
 1200 0.7646560669  4.980  4.314
 1200 0.7693896890  4.917  4.257
 1200 0.7790280581  4.782  4.133
 1200 0.7881004810  4.648  4.009
 1200 0.7967075109  4.517  3.886
 1200 0.8049994707  4.384  3.759
 1200 0.8106004596  4.290  3.668
 1200 0.8131192923  4.245  3.623
 1200 0.8135626316  4.237  3.615
 1200 0.8191490769  4.130  3.507
 1200 0.8254711032  4.000  3.371
 1200 0.8276907206  3.952  3.320
 1200 0.8313400745  3.867  3.224
 1200 0.8352041841  3.772  3.108
 1200 0.8381792903  3.702  3.008
 1200 0.8399954438  3.668  2.942
 1200 0.8414925933  3.640  2.879
 1200 0.8426699042  3.597  2.805
 1200 0.8436914682  3.526  2.711
 1200 0.8446381688  3.428  2.596
 1200 0.8447734118  3.412  2.578
 1200 0.8455643058  3.301  2.456
 1200 0.8462118506  3.198  2.347
 1200 0.8469215631  3.074  2.216
 1200 0.8474414945  2.975  2.112
 1200 0.8480650187  2.846  1.978
 1200 0.8485280275  2.742  1.869
 1200 0.8489332795  2.644  1.767
 1200 0.8493154645  2.545  1.663
 1200 0.8496800065  2.444  1.558
 1200 0.8500007987  2.348  1.457
 1200 0.8503059149  2.249  1.353
 1200 0.8506501913  2.129  1.227
 1200 0.8509075046  2.032  1.124
 1200 0.8512050509  1.910  0.994
 1200 0.8514671922  1.792  0.868
 1200 0.8516983986  1.678  0.747
 1200 0.8519111276  1.565  0.625
 1200 0.8520915508  1.461  0.512
 1200 0.8522591591  1.356  0.399
 1200 0.8524119854  1.252  0.286
 1200 0.8525481224  1.153  0.179
 1200 0.8526723385  1.056  0.072
 1200 0.8527824879  0.965 -0.029
 1200 0.8528835773  0.876 -0.127
 1200 0.8529806137  0.789 -0.223
 1200 0.8530786037  0.713 -0.307
 1200 0.8531879783  0.654 -0.373
 1200 0.8532330394  0.674 -0.348
 1200 0.8533096910  0.729 -0.285
 1200 0.8533228040  0.714 -0.301
 1200 0.8534026146  0.619 -0.408
 1200 0.8534829021  0.521 -0.519
 1200 0.8535579443  0.423 -0.630
 1200 0.8536260724  0.327 -0.738
 1200 0.8536899090  0.233 -0.846
 1200 0.8537462354  0.137 -0.952
 1200 0.8537996411  0.042 -1.058
 1200 0.8538485765 -0.050 -1.162
 1200 0.8538942933 -0.133 -1.264
 1200 0.8539350033 -0.220 -1.364
 1200 0.8539731503 -0.306 -1.463
 1200 0.8540079594 -0.390 -1.561
