# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:20:01 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
  700 0.0900000036 18.052 13.596
  700 0.0967091992 17.713 13.271
  700 0.1000000089 17.555 13.119
  700 0.1044063792 17.390 12.961
  700 0.1200000048 16.232 12.214
  700 0.1400000006 15.192 11.558
  700 0.1556438357 14.592 11.177
  700 0.1599999964 14.440 11.080
  700 0.1858105063 13.736 10.615
  700 0.2000000179 13.393 10.393
  700 0.2500000000 12.544  9.791
  700 0.3000000119 11.939  9.334
  700 0.3500000238 11.417  8.924
  700 0.3958165348 10.928  8.554
  700 0.4000000358 10.888  8.523
  700 0.4500000179 10.334  8.104
  700 0.4744383991 10.028  7.880
  700 0.5000000000  9.726  7.660
  700 0.5500000119  9.051  7.184
  700 0.6000000238  8.385  6.725
  700 0.6499999762  7.688  6.266
  700 0.6864054203  7.191  5.944
  700 0.7000000477  7.018  5.827
  700 0.7167334557  6.813  5.685
  700 0.7372383475  6.578  5.516
  700 0.7500000000  6.438  5.415
  700 0.7513638139  6.423  5.404
  700 0.7771503329  6.162  5.206
  700 0.7986197472  5.954  5.046
  700 0.8008245826  5.933  5.029
  700 0.8214960694  5.743  4.875
  700 0.8408586979  5.567  4.735
  700 0.8472393751  5.510  4.689
  700 0.8495734334  5.489  4.672
  700 0.8693112731  5.317  4.531
  700 0.8878509998  5.157  4.399
  700 0.8958590031  5.089  4.341
  700 0.9191546440  4.891  4.171
  700 0.9409190416  4.705  4.010
  700 0.9444786310  4.674  3.983
  700 0.9586417675  4.552  3.875
  700 0.9763730168  4.398  3.736
  700 0.9930983186  4.258  3.606
  700 0.9931045175  4.257  3.606
  700 1.0067223310  4.140  3.496
  700 1.0176157951  4.039  3.400
  700 1.0210950375  4.007  3.368
  700 1.0274583101  3.945  3.308
  700 1.0379949808  3.841  3.205
  700 1.0417180061  3.803  3.167
  700 1.0493381023  3.724  3.086
  700 1.0576024055  3.637  2.993
  700 1.0657869577  3.551  2.895
  700 1.0731258392  3.481  2.806
  700 1.0797445774  3.443  2.733
  700 1.0838468075  3.463  2.710
  700 1.0863456726  3.511  2.718
  700 1.0880982876  3.560  2.731
  700 1.0897601843  3.593  2.727
  700 1.0903376341  3.597  2.720
  700 1.0910714865  3.604  2.710
  700 1.0929507017  3.566  2.641
  700 1.0939905643  3.524  2.585
  700 1.0951055288  3.455  2.505
  700 1.0963958502  3.361  2.401
  700 1.0977331400  3.248  2.280
  700 1.0988345146  3.145  2.171
  700 1.1000558138  3.021  2.039
  700 1.1009262800  2.924  1.937
  700 1.1017448902  2.826  1.834
