# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thick2.dat
#0.01Gyr     Mini       MIc
  1200 0.0900000036 12.730
  1200 0.0923039913 12.547
  1200 0.0994709730 12.023
  1200 0.1037442833 11.822
  1200 0.1184129193 11.211
  1200 0.1373548657 10.695
  1200 0.1562968045 10.314
  1200 0.1941807121 9.746
  1200 0.2415355742 9.219
  1200 0.2888904214 8.812
  1200 0.3362452984 8.472
  1200 0.3836001456 8.114
  1200 0.4309550524 7.713
  1200 0.4783098698 7.264
  1200 0.5256648064 6.766
  1200 0.5581501722 6.411
  1200 0.5730196238 6.257
  1200 0.6203744411 5.774
  1200 0.6268085241 5.710
  1200 0.6422417760 5.557
  1200 0.6572073102 5.412
  1200 0.6677293777 5.309
  1200 0.6714178920 5.273
  1200 0.6857892871 5.133
  1200 0.6986593604 5.009
  1200 0.7108542323 4.890
  1200 0.7161926627 4.837
  1200 0.7219653726 4.778
  1200 0.7324624658 4.671
  1200 0.7426410913 4.563
  1200 0.7517977953 4.462
  1200 0.7607089281 4.361
  1200 0.7646560669 4.314
  1200 0.7693896890 4.257
  1200 0.7790280581 4.133
  1200 0.7881004810 4.009
  1200 0.7967075109 3.886
  1200 0.8049994707 3.759
  1200 0.8106004596 3.668
  1200 0.8131192923 3.623
  1200 0.8135626316 3.615
  1200 0.8191490769 3.507
  1200 0.8254711032 3.371
  1200 0.8276907206 3.320
  1200 0.8313400745 3.224
  1200 0.8352041841 3.108
  1200 0.8381792903 3.008
  1200 0.8399954438 2.942
  1200 0.8414925933 2.879
  1200 0.8426699042 2.805
  1200 0.8436914682 2.711
  1200 0.8446381688 2.596
  1200 0.8447734118 2.578
  1200 0.8455643058 2.456
  1200 0.8462118506 2.347
  1200 0.8469215631 2.216
  1200 0.8474414945 2.112
  1200 0.8480650187 1.978
  1200 0.8485280275 1.869
  1200 0.8489332795 1.767
  1200 0.8493154645 1.663
  1200 0.8496800065 1.558
  1200 0.8500007987 1.457
  1200 0.8503059149 1.353
  1200 0.8506501913 1.227
  1200 0.8509075046 1.124
  1200 0.8512050509 0.994
  1200 0.8514671922 0.868
  1200 0.8516983986 0.747
  1200 0.8519111276 0.625
  1200 0.8520915508 0.512
  1200 0.8522591591 0.399
  1200 0.8524119854 0.286
  1200 0.8525481224 0.179
  1200 0.8526723385 0.072
  1200 0.8527824879 -0.029
  1200 0.8528835773 -0.127
  1200 0.8529806137 -0.223
  1200 0.8530786037 -0.307
  1200 0.8531879783 -0.373
  1200 0.8532330394 -0.348
  1200 0.8533096910 -0.285
  1200 0.8533228040 -0.301
  1200 0.8534026146 -0.408
  1200 0.8534829021 -0.519
  1200 0.8535579443 -0.630
  1200 0.8536260724 -0.738
  1200 0.8536899090 -0.846
  1200 0.8537462354 -0.952
  1200 0.8537996411 -1.058
  1200 0.8538485765 -1.162
  1200 0.8538942933 -1.264
  1200 0.8539350033 -1.364
  1200 0.8539731503 -1.463
  1200 0.8540079594 -1.561
  1200 0.8540403843 -1.657
  1200 0.8540695906 -1.751
  1200 0.8540972471 -1.845
  1200 0.8541229367 -1.939
  1200 0.8541458845 -2.029
  1200 0.8541679978 -2.121
  1200 0.8541921377 -2.229
  1200 0.8542098999 -2.315
  1200 0.8542273641 -2.402
  1200 0.8542461395 -2.505
  1200 0.8542605042 -2.587
  1200 0.8542741537 -2.670
  1200 0.8542892933 -2.768
  1200 0.8543033600 -2.866
  1200 0.8543143272 -2.945
  1200 0.8543260694 -3.036
  1200 0.8543372750 -3.128
  1200 0.8543475270 -3.218
  1200 0.8543571830 -3.306
  1200 0.8543657660 -3.390
  1200 0.8543739915 -3.473
  1200 0.8543815017 -3.553
  1200 0.8543885946 -3.633
  1200 0.8543950319 -3.709
  1200 0.8544008732 -3.780
  1200 0.8544064164 -3.850
  1200 0.8544117212 -3.918
  1200 0.8544167280 -3.983
  1200 0.8544204235 -4.029
  1200 0.8544204235 -0.192
  1200 0.8544850945 -0.228
  1200 0.8545498252 -0.237
  1200 0.8546101451 -0.240
  1200 0.8546707034 -0.240
  1200 0.8547320962 -0.238
  1200 0.8547948003 -0.233
  1200 0.8548572063 -0.228
  1200 0.8549186587 -0.223
