# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thin1.dat
#0.01Gyr     Mini       MIc
     5 0.0900000036 11.551
     5 0.0983831584 11.392
     5 0.1000000015 11.363
     5 0.1015979126 11.337
     5 0.1143073514 11.025
     5 0.1199999973 10.875
     5 0.1272965074 10.715
     5 0.1399999857 10.459
     5 0.1599999964 10.123
     5 0.1974234581 9.623
     5 0.2000000030 9.593
     5 0.2441678941 9.160
     5 0.2500000000 9.110
     5 0.2880490422 8.817
     5 0.3000000119 8.738
     5 0.3239074945 8.588
     5 0.3500000238 8.435
     5 0.3895873129 8.215
     5 0.4000000358 8.163
     5 0.4500000179 7.894
     5 0.4732999802 7.771
     5 0.5000000000 7.639
     5 0.5145683289 7.565
     5 0.5500000119 7.355
     5 0.5854895115 7.142
     5 0.5935821533 7.090
     5 0.6000000238 7.040
     5 0.6205537915 6.875
     5 0.6499999762 6.621
     5 0.6597105265 6.528
     5 0.6789789796 6.329
     5 0.6980942488 6.122
     5 0.7000000477 6.101
     5 0.7111710906 5.955
     5 0.7224730849 5.810
     5 0.7327861190 5.686
     5 0.7431212664 5.571
     5 0.7500000000 5.524
     5 0.7527412772 5.505
     5 0.8000000119 5.263
     5 0.8208277822 5.173
     5 0.8466815352 5.074
     5 0.8500000238 5.063
     5 0.8514490724 5.058
     5 0.8907237053 4.899
     5 0.8999999762 4.861
     5 0.9285651445 4.745
     5 0.9499999285 4.642
     5 1.0000000000 4.410
     5 1.0499999523 4.192
     5 1.0840913057 4.042
     5 1.1000000238 3.973
     5 1.1499999762 3.758
     5 1.1749064922 3.649
     5 1.2000000477 3.552
     5 1.2500000000 3.366
     5 1.2999999523 3.189
     5 1.3500000238 3.023
     5 1.3999998569 2.870
     5 1.4500000477 2.735
     5 1.5000000000 2.613
     5 1.5499999523 2.504
     5 1.6000000238 2.402
     5 1.6499998569 2.309
     5 1.7000000477 2.222
     5 1.7500000000 2.140
     5 1.7999999523 2.063
     5 1.8500000238 1.991
     5 1.8999998569 1.922
     5 1.9500000477 1.855
     5 2.0000000000 1.792
     5 2.0499999523 1.731
     5 2.0999999046 1.670
     5 2.1500000954 1.612
     5 2.2000000477 1.553
     5 2.2185299397 1.532
     5 2.2500000000 1.496
     5 2.2999999523 1.440
     5 2.4000000954 1.330
     5 2.5999999046 1.120
     5 2.7615511417 0.959
     5 2.7999997139 0.921
     5 2.9319314957 0.797
     5 3.0000000000 0.735
     5 3.1950347424 0.564
     5 3.2000000477 0.559
     5 3.3274691105 0.453
     5 3.4000000954 0.393
