# Mass-luminosity relation for V, I, J, H and K magnitudes.
# Empirical relations from
#   Henry & McCarthy (1993), AJ, 106, 773 for M/Msun > 0.66,
#   Delfosse et al. (2000), A&A, 364, 217 for 0.12 < M/Msun < 0.54,
# and the gaps between the different relations are linearly intepolated (Bennett et al. 2015, ApJ, 808, 169).
# For M/Msun < 0.10, An isochrone model for 5 Gyr late-M and brown dwarfs from Baraffe et al. (2003), A&A, 402, 701 is used.
#M     MV_j   MI_c   MJ_2M  MH_2M  MK_2M
 1.440  3.109  2.355  1.617  1.580  1.535
 1.410  3.221  2.462  1.724  1.671  1.622
 1.380  3.336  2.573  1.834  1.764  1.711
 1.350  3.455  2.687  1.945  1.860  1.802
 1.320  3.577  2.804  2.060  1.957  1.895
 1.290  3.703  2.924  2.176  2.057  1.990
 1.260  3.833  3.043  2.296  2.159  2.088
 1.230  3.968  3.160  2.419  2.264  2.188
 1.200  4.106  3.280  2.544  2.371  2.290
 1.170  4.250  3.412  2.673  2.481  2.395
 1.140  4.399  3.557  2.805  2.593  2.503
 1.110  4.553  3.710  2.940  2.709  2.613
 1.080  4.713  3.862  3.079  2.828  2.727
 1.050  4.879  4.004  3.223  2.950  2.843
 1.020  5.052  4.141  3.370  3.076  2.964
 0.990  5.233  4.281  3.522  3.206  3.087
 0.960  5.421  4.432  3.678  3.339  3.215
 0.930  5.618  4.595  3.839  3.477  3.346
 0.900  5.825  4.773  4.006  3.619  3.482
 0.870  6.041  4.967  4.178  3.766  3.623
 0.840  6.269  5.178  4.357  3.918  3.768
 0.810  6.510  5.393  4.541  4.076  3.919
 0.780  6.764  5.588  4.733  4.240  4.075
 0.750  7.033  5.753  4.933  4.410  4.238
 0.720  7.320  5.926  5.140  4.587  4.407
 0.690  7.626  6.132  5.356  4.772  4.583
 0.660  7.954  6.352  5.582  4.965  4.768
 0.630  8.472  6.753  5.843  5.204  4.997
 0.600  8.937  7.100  6.065  5.423  5.204
 0.570  9.330  7.330  6.239  5.614  5.385
 0.540  9.629  7.514  6.358  5.772  5.531
 0.510  9.859  7.687  6.510  5.928  5.678
 0.480 10.096  7.867  6.666  6.087  5.827
 0.450 10.341  8.057  6.828  6.251  5.982
 0.420 10.597  8.256  6.996  6.420  6.142
 0.390 10.865  8.465  7.172  6.597  6.309
 0.360 11.149  8.685  7.357  6.782  6.485
 0.330 11.452  8.917  7.554  6.978  6.672
 0.300 11.779  9.163  7.766  7.187  6.872
 0.270 12.138  9.431  7.997  7.413  7.090
 0.240 12.539  9.727  8.253  7.662  7.330
 0.210 12.997 10.067  8.542  7.940  7.601
 0.180 13.541 10.469  8.878  8.260  7.916
 0.150 14.224 10.965  9.287  8.641  8.296
 0.120 15.195 11.614  9.823  9.122  8.793
 0.100 15.850 12.090 10.333  9.901  9.596
 0.090 17.020 12.700 10.732 10.321 10.016
 0.080 19.110 13.890 11.438 11.081 10.796
 0.075 21.030 15.340 12.187 11.928 11.756
 0.072 23.110 16.750 12.943 12.855 12.776
 0.070 24.330 17.600 13.487 13.506 13.416
 0.060 26.440 19.200 14.965 15.133 15.126
 0.050 27.090 19.820 15.878 16.045 16.356
 0.040 27.580 20.400 16.950 17.091 17.966
 0.030 28.170 21.170 18.208 18.269 20.016
 0.020 29.240 22.660 19.661 19.836 23.286
 0.015 30.200 24.000 20.524 21.017 25.986
 0.012 31.580 25.460 21.375 22.018 28.136
 0.010 33.050 27.060 22.269 23.117 30.466
