# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Feb 10 05:30:09 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
  500 0.0900000036 18.143 13.797
  500 0.1000000089 17.688 13.358
  500 0.1200000048 17.026 12.721
  500 0.1400000155 15.935 12.001
  500 0.1548469365 15.342 11.604
  500 0.1599999964 15.151 11.476
  500 0.2000000179 14.073 10.746
  500 0.2500000000 13.145 10.096
  500 0.3000000119 12.480  9.609
  500 0.3417624831 12.016  9.244
  500 0.3500000238 11.930  9.176
  500 0.4000000358 11.380  8.767
  500 0.4500000477 10.831  8.352
  500 0.5000000000 10.266  7.928
  500 0.5159123540 10.057  7.777
  500 0.5500000715  9.627  7.470
  500 0.6000000238  8.945  7.014
  500 0.6499999762  8.254  6.562
  500 0.7000000477  7.584  6.137
  500 0.7185202837  7.333  5.980
  500 0.7500000000  6.934  5.722
  500 0.7552691698  6.879  5.682
  500 0.7994046211  6.441  5.364
  500 0.8028182983  6.409  5.340
  500 0.8403128982  6.066  5.081
  500 0.8488091230  5.992  5.024
  500 0.8553801775  5.936  4.980
  500 0.8869954944  5.672  4.772
  500 0.8982136250  5.581  4.699
  500 0.8992741108  5.573  4.692
  500 0.9377365708  5.270  4.448
  500 0.9476182461  5.195  4.387
  500 0.9511866570  5.168  4.365
  500 0.9677128792  5.044  4.262
  500 0.9832596183  4.929  4.165
  500 0.9970227480  4.828  4.080
  500 0.9979292750  4.821  4.075
  500 1.0118492842  4.720  3.988
  500 1.0246551037  4.628  3.909
  500 1.0370266438  4.539  3.832
  500 1.0464272499  4.472  3.774
  500 1.0538593531  4.419  3.728
  500 1.0662027597  4.333  3.651
  500 1.0777089596  4.254  3.580
  500 1.0884785652  4.183  3.515
  500 1.0958318710  4.136  3.472
  500 1.1040239334  4.084  3.423
  500 1.1215711832  3.961  3.308
  500 1.1360238791  3.855  3.209
  500 1.1381061077  3.840  3.195
  500 1.1452363729  3.786  3.143
  500 1.1482511759  3.765  3.123
  500 1.1564006805  3.701  3.060
  500 1.1620777845  3.649  3.008
  500 1.1660844088  3.606  2.965
  500 1.1675047874  3.588  2.948
  500 1.1719819307  3.552  2.911
  500 1.1777740717  3.512  2.869
  500 1.1846390963  3.463  2.818
  500 1.1907525063  3.417  2.769
  500 1.1946408749  3.385  2.735
  500 1.2009539604  3.336  2.679
  500 1.2123428583  3.254  2.577
  500 1.2211050987  3.216  2.507
  500 1.2280806303  3.255  2.490
  500 1.2320438623  3.359  2.536
  500 1.2343779802  3.452  2.584
  500 1.2359989882  3.509  2.608
  500 1.2375255823  3.544  2.614
  500 1.2393215895  3.554  2.594
  500 1.2415388823  3.510  2.523
  500 1.2417715788  3.504  2.514
  500 1.2430499792  3.450  2.451
  500 1.2440454960  3.404  2.399
  500 1.2450360060  3.363  2.353
  500 1.2472248077  3.258  2.239
  500 1.2490253448  3.163  2.138
  500 1.2510255575  3.048  2.016
  500 1.2525488138  2.952  1.915
  500 1.2543013096  2.834  1.790
  500 1.2555799484  2.741  1.691
  500 1.2570973635  2.622  1.564
  500 1.2583712339  2.514  1.447
  500 1.2595827579  2.401  1.325
  500 1.2606701851  2.290  1.204
  500 1.2616722584  2.178  1.082
  500 1.2625290155  2.074  0.968
  500 1.2633160353  1.970  0.852
  500 1.2640224695  1.868  0.739
  500 1.2646716833  1.766  0.626
  500 1.2652487755  1.671  0.519
  500 1.2657816410  1.577  0.413
  500 1.2662822008  1.485  0.308
  500 1.2667632103  1.401  0.213
  500 1.2673698664  1.316  0.116
