# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:59 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
 1400 0.0900000110 15.418 12.061
 1400 0.0973307043 14.208 11.512
 1400 0.1000000015 13.837 11.324
 1400 0.1199999973 12.686 10.599
 1400 0.1290449202 12.387 10.382
 1400 0.1400000155 12.058 10.139
 1400 0.1599999964 11.597  9.779
 1400 0.2000000179 10.922  9.221
 1400 0.2500000298 10.323  8.711
 1400 0.3000000417  9.872  8.324
 1400 0.3500000238  9.506  8.009
 1400 0.3999145925  9.058  7.641
 1400 0.4000000358  9.057  7.641
 1400 0.4500000477  8.485  7.196
 1400 0.5000000000  7.820  6.697
 1400 0.5500000715  7.136  6.148
 1400 0.6000000238  6.489  5.626
 1400 0.6052875519  6.419  5.569
 1400 0.6149677038  6.293  5.466
 1400 0.6239667535  6.176  5.369
 1400 0.6327368021  6.063  5.276
 1400 0.6427103281  5.934  5.169
 1400 0.6499999762  5.838  5.091
 1400 0.6533731222  5.794  5.054
 1400 0.6635068059  5.660  4.939
 1400 0.6729478240  5.531  4.829
 1400 0.6817230582  5.408  4.722
 1400 0.6902531385  5.283  4.613
 1400 0.6975840330  5.170  4.513
 1400 0.6999999881  5.132  4.479
 1400 0.7009263039  5.117  4.466
 1400 0.7089884877  4.982  4.345
 1400 0.7165331244  4.847  4.222
 1400 0.7236379385  4.711  4.097
 1400 0.7302247882  4.575  3.971
 1400 0.7363411784  4.440  3.844
 1400 0.7420548201  4.305  3.715
 1400 0.7454028726  4.220  3.632
 1400 0.7469861507  4.175  3.587
 1400 0.7500000000  4.086  3.495
 1400 0.7517558932  4.034  3.443
