# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:18:15 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#0.01Gyr      Mini     MV     MI
  500 0.0900000036 18.085 13.638
  500 0.1000000015 17.593 13.165
  500 0.1115116701 17.104 12.737
  500 0.1200000048 16.350 12.286
  500 0.1400000006 15.305 11.620
  500 0.1496592611 14.916 11.374
  500 0.1599999964 14.546 11.136
  500 0.2000000030 13.499 10.446
  500 0.2500000000 12.630  9.840
  500 0.3000000119 12.027  9.387
  500 0.3181467652 11.825  9.227
  500 0.3500000238 11.493  8.965
  500 0.4000000358 10.961  8.565
  500 0.4500000477 10.412  8.148
  500 0.5000000000  9.815  7.711
  500 0.5483148098  9.176  7.261
  500 0.5500000119  9.155  7.246
  500 0.5698057413  8.881  7.061
  500 0.6000000238  8.501  6.796
  500 0.6499999762  7.826  6.349
  500 0.6926497817  7.259  5.984
  500 0.7000000477  7.167  5.923
  500 0.7083454728  7.065  5.854
  500 0.7381589413  6.717  5.614
  500 0.7500000000  6.588  5.523
  500 0.7577850223  6.510  5.465
  500 0.7963564992  6.141  5.188
  500 0.7990466356  6.116  5.169
  500 0.8284611702  5.856  4.966
  500 0.8480933905  5.689  4.833
  500 0.8571603894  5.614  4.773
  500 0.8857036829  5.383  4.587
  500 0.8971400261  5.293  4.515
  500 0.8994923830  5.274  4.500
  500 0.9163688421  5.144  4.392
  500 0.9329605103  5.018  4.286
  500 0.9461866617  4.919  4.203
  500 0.9594402313  4.820  4.118
  500 0.9741804004  4.710  4.024
  500 0.9882331491  4.605  3.934
  500 0.9952332973  4.553  3.889
  500 1.0011193752  4.510  3.851
  500 1.0132294893  4.420  3.772
  500 1.0248661041  4.335  3.695
  500 1.0442799330  4.193  3.567
  500 1.0489150286  4.159  3.537
  500 1.0593153238  4.086  3.469
  500 1.0784896612  3.953  3.345
  500 1.0933266878  3.843  3.241
  500 1.0984525681  3.804  3.204
  500 1.1096285582  3.716  3.120
  500 1.1219969988  3.615  3.023
  500 1.1331051588  3.522  2.931
  500 1.1423733234  3.443  2.851
  500 1.1434270144  3.434  2.842
  500 1.1502680779  3.368  2.773
  500 1.1520012617  3.347  2.752
  500 1.1553374529  3.316  2.716
  500 1.1601306200  3.274  2.670
  500 1.1666193008  3.220  2.607
  500 1.1729217768  3.170  2.545
  500 1.1798192263  3.122  2.476
  500 1.1861546040  3.105  2.423
  500 1.1901819706  3.134  2.413
  500 1.1914200783  3.161  2.421
  500 1.1926344633  3.191  2.432
  500 1.1946799755  3.264  2.467
  500 1.1961771250  3.326  2.498
  500 1.1980054379  3.381  2.516
