# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
NSD 9 NSD 9.8451 -0.25 0.0084736 0.0900000036 0.09 0.1164803441 2424.934431 5.257 11.034 10.494 10.261 12.729 11.088 10.337
NSD 9 NSD 9.8451 -0.25 0.0084736 0.1000000015 0.1 0.1282190766 2591.791135 5.22 10.538 9.998 9.762 12.235 10.592 9.838
NSD 9 NSD 9.8451 -0.25 0.0084736 0.1200000048 0.12 0.1495039423 2795.760728 5.166 9.956 9.399 9.147 11.411 9.961 9.213
NSD 9 NSD 9.8451 -0.25 0.0084736 0.1400000006 0.14 0.1687923054 2923.479144 5.127 9.551 8.985 8.732 10.865 9.529 8.79
NSD 9 NSD 9.8451 -0.25 0.0084736 0.1599999964 0.16 0.1869186539 3016.476873 5.096 9.231 8.66 8.409 10.457 9.192 8.463
NSD 9 NSD 9.8451 -0.25 0.0084736 0.200000003 0.2 0.2209289583 3145.574677 5.048 8.736 8.161 7.916 9.86 8.679 7.964
NSD 9 NSD 9.8451 -0.25 0.0084736 0.2150874585 0.215 0.2333203638 3181.266118 5.032 8.58 8.004 7.762 9.681 8.519 7.808
NSD 9 NSD 9.8451 -0.25 0.0084736 0.25 0.25 0.2619103403 3254.617835 4.998 8.258 7.679 7.441 9.313 8.189 7.484
NSD 9 NSD 9.8451 -0.25 0.0084736 0.3000000119 0.3 0.3018927231 3333.496473 4.953 7.872 7.288 7.056 8.884 7.793 7.095
NSD 9 NSD 9.8451 -0.25 0.0084736 0.3140653968 0.314 0.3137997873 3353.513045 4.939 7.768 7.183 6.952 8.771 7.687 6.991
NSD 9 NSD 9.8451 -0.25 0.0084736 0.3500000536 0.35 0.3448677986 3400.165058 4.905 7.52 6.93 6.702 8.5 7.433 6.739
NSD 9 NSD 9.8451 -0.25 0.0084736 0.4000000358 0.4 0.3890027261 3488.188934 4.858 7.177 6.58 6.357 8.119 7.08 6.39
NSD 9 NSD 9.8451 -0.25 0.0084736 0.4194330871 0.419 0.4082748659 3532.645026 4.836 7.031 6.43 6.209 7.955 6.929 6.241
NSD 9 NSD 9.8451 -0.25 0.0084736 0.4500000179 0.45 0.4387858812 3599.15044 4.804 6.816 6.209 5.991 7.714 6.707 6.02
NSD 9 NSD 9.8451 -0.25 0.0084736 0.5 0.5 0.492099184 3748.003606 4.751 6.443 5.822 5.614 7.288 6.319 5.637
NSD 9 NSD 9.8451 -0.25 0.0084736 0.5142492056 0.514 0.5075193965 3807.150104 4.735 6.325 5.7 5.496 7.152 6.196 5.517
NSD 9 NSD 9.8451 -0.25 0.0084736 0.5500000119 0.55 0.5473342745 3950.936048 4.699 6.044 5.402 5.219 6.833 5.903 5.235
NSD 9 NSD 9.8451 -0.25 0.0084736 0.6000000238 0.6 0.5927241805 4211.143104 4.668 5.659 5.002 4.862 6.395 5.508 4.873
NSD 9 NSD 9.8451 -0.25 0.0084736 0.6147656441 0.615 0.6034657754 4305.266105 4.662 5.547 4.895 4.768 6.263 5.397 4.777
NSD 9 NSD 9.8451 -0.25 0.0084736 0.6499999762 0.65 0.6291477457 4531.06195 4.65 5.295 4.681 4.579 5.96 5.159 4.585
NSD 9 NSD 9.8451 -0.25 0.0084736 0.6597483158 0.66 0.636726089 4593.037593 4.646 5.227 4.629 4.532 5.877 5.098 4.538
NSD 9 NSD 9.8451 -0.25 0.0084736 0.7000001073 0.7 0.6687328306 4849.533905 4.63 4.96 4.436 4.352 5.545 4.858 4.357
NSD 9 NSD 9.8451 -0.25 0.0084736 0.7081196308 0.708 0.6756980177 4900.044228 4.626 4.907 4.397 4.316 5.479 4.81 4.32
NSD 9 NSD 9.8451 -0.25 0.0084736 0.7314118147 0.731 0.6962298591 5043.128103 4.613 4.759 4.287 4.212 5.298 4.676 4.216
NSD 9 NSD 9.8451 -0.25 0.0084736 0.75 0.75 0.7142539402 5157.034063 4.603 4.644 4.199 4.129 5.157 4.57 4.132
NSD 9 NSD 9.8451 -0.25 0.0084736 0.7574176788 0.757 0.722524611 5198.762768 4.597 4.598 4.162 4.094 5.102 4.527 4.097
NSD 9 NSD 9.8451 -0.25 0.0084736 0.7803971171 0.78 0.749122161 5324.759536 4.579 4.455 4.048 3.984 4.932 4.393 3.987
NSD 9 NSD 9.8451 -0.25 0.0084736 0.7983130813 0.798 0.7709969231 5423.754207 4.563 4.344 3.959 3.897 4.802 4.289 3.9
NSD 9 NSD 9.8451 -0.25 0.0084736 0.8035486341 0.803 0.7777726097 5450.043893 4.558 4.312 3.932 3.871 4.764 4.258 3.874
NSD 9 NSD 9.8451 -0.25 0.0084736 0.8220077157 0.821 0.8045492695 5543.703572 4.539 4.197 3.835 3.778 4.632 4.149 3.781
NSD 9 NSD 9.8451 -0.25 0.0084736 0.8389415145 0.838 0.8305248756 5628.594993 4.52 4.092 3.746 3.692 4.512 4.049 3.695
NSD 9 NSD 9.8451 -0.25 0.0084736 0.8466261625 0.846 0.8428545679 5665.001119 4.511 4.044 3.704 3.652 4.458 4.003 3.655
NSD 9 NSD 9.8451 -0.25 0.0084736 0.8501508236 0.849 0.8485015595 5681.983916 4.507 4.022 3.685 3.633 4.433 3.981 3.636
NSD 9 NSD 9.8451 -0.25 0.0084736 0.8689758182 0.868 0.8831869532 5765.009138 4.481 3.9 3.577 3.529 4.297 3.864 3.531
NSD 9 NSD 9.8451 -0.25 0.0084736 0.8861221671 0.885 0.9184439228 5838.482731 4.456 3.788 3.477 3.431 4.173 3.755 3.433
NSD 9 NSD 9.8451 -0.25 0.0084736 0.8949391842 0.894 0.937891597 5874.893525 4.443 3.729 3.424 3.379 4.109 3.697 3.381
NSD 9 NSD 9.8451 -0.25 0.0084736 0.896014154 0.895 0.93983723 5878.95316 4.441 3.721 3.417 3.372 4.101 3.69 3.375
