# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
NSD 9 NSD 9.8451 0.25 0.025095 0.0955969095 0.095 0.1329696865 2302.501915 5.168 17.882 13.642 10.989 10.4 10.104
NSD 9 NSD 9.8451 0.25 0.025095 0.1055120975 0.105 0.1437979335 2399.937877 5.141 17.519 13.292 10.639 10.051 9.753
NSD 9 NSD 9.8451 0.25 0.025095 0.1253425032 0.125 0.1647223938 2550.938568 5.099 16.94 12.733 10.081 9.495 9.194
NSD 9 NSD 9.8451 0.25 0.025095 0.145172894 0.145 0.1838030208 2663.176807 5.068 16.226 12.189 9.674 9.092 8.792
NSD 9 NSD 9.8451 0.25 0.025095 0.1650032997 0.165 0.2015360047 2747.2615 5.043 15.455 11.668 9.368 8.788 8.493
NSD 9 NSD 9.8451 0.25 0.025095 0.2046640813 0.204 0.2355877177 2874.087594 5.001 14.353 10.905 8.878 8.299 8.015
NSD 9 NSD 9.8451 0.25 0.025095 0.2542400956 0.254 0.2765366165 2979.888403 4.957 13.456 10.253 8.407 7.826 7.553
NSD 9 NSD 9.8451 0.25 0.025095 0.3086011112 0.308 0.3210351937 3071.142726 4.911 12.698 9.696 7.984 7.399 7.137
NSD 9 NSD 9.8451 0.25 0.025095 0.3353780806 0.335 0.3443123851 3108.85166 4.887 12.383 9.455 7.791 7.203 6.945
NSD 9 NSD 9.8451 0.25 0.025095 0.3533920944 0.353 0.3604563202 3132.564342 4.87 12.191 9.303 7.667 7.076 6.822
NSD 9 NSD 9.8451 0.25 0.025095 0.4029681087 0.403 0.4018395186 3215.881224 4.832 11.642 8.89 7.342 6.742 6.497
NSD 9 NSD 9.8451 0.25 0.025095 0.4033249915 0.403 0.4021171954 3216.621793 4.832 11.638 8.887 7.34 6.74 6.495
NSD 9 NSD 9.8451 0.25 0.025095 0.4525440931 0.452 0.4475614218 3310.548845 4.789 11.075 8.47 7.014 6.4 6.164
NSD 9 NSD 9.8451 0.25 0.025095 0.502120018 0.502 0.4977974239 3418.219914 4.742 10.521 8.047 6.68 6.049 5.821
NSD 9 NSD 9.8451 0.25 0.025095 0.5464473367 0.546 0.5469563199 3540.788614 4.696 9.969 7.637 6.36 5.712 5.492
NSD 9 NSD 9.8451 0.25 0.025095 0.5516960621 0.551 0.55341719 3554.67582 4.691 9.906 7.591 6.323 5.673 5.455
NSD 9 NSD 9.8451 0.25 0.025095 0.5538183451 0.553 0.5553319299 3562.870194 4.689 9.874 7.57 6.308 5.657 5.439
NSD 9 NSD 9.8451 0.25 0.025095 0.601271987 0.601 0.6016620856 3740.24456 4.656 9.208 7.127 5.986 5.313 5.113
NSD 9 NSD 9.8451 0.25 0.025095 0.650848031 0.651 0.6409920525 3984.740097 4.635 8.481 6.664 5.645 4.959 4.793
NSD 9 NSD 9.8451 0.25 0.025095 0.7004240751 0.7 0.6755424504 4260.886836 4.621 7.786 6.227 5.312 4.644 4.515
NSD 9 NSD 9.8451 0.25 0.025095 0.7061755061 0.706 0.6786606127 4300.312336 4.621 7.699 6.175 5.274 4.612 4.488
NSD 9 NSD 9.8451 0.25 0.025095 0.75 0.75 0.7010558939 4599.387494 4.619 7.073 5.79 4.995 4.408 4.308
NSD 9 NSD 9.8451 0.25 0.025095 0.7876976728 0.787 0.7402060746 4768.699981 4.593 6.68 5.507 4.769 4.236 4.144
NSD 9 NSD 9.8451 0.25 0.025095 0.8000000119 0.8 0.7530999952 4823.918924 4.585 6.558 5.418 4.698 4.18 4.091
NSD 9 NSD 9.8451 0.25 0.025095 0.8022054434 0.802 0.7551837649 4833.926025 4.583 6.536 5.401 4.684 4.17 4.081
NSD 9 NSD 9.8451 0.25 0.025095 0.8334398866 0.833 0.7893191597 4979.663542 4.561 6.232 5.175 4.501 4.026 3.944
NSD 9 NSD 9.8451 0.25 0.025095 0.8500000238 0.849 0.8091939831 5055.917748 4.549 6.077 5.057 4.406 3.95 3.871
NSD 9 NSD 9.8451 0.25 0.025095 0.8743632436 0.874 0.8407224504 5164.163693 4.528 5.856 4.884 4.264 3.835 3.76
NSD 9 NSD 9.8451 0.25 0.025095 0.8993955851 0.899 0.8744855646 5274.727157 4.505 5.636 4.709 4.118 3.715 3.644
NSD 9 NSD 9.8451 0.25 0.025095 0.8999999762 0.899 0.875694546 5277.156818 4.505 5.63 4.705 4.115 3.712 3.641
NSD 9 NSD 9.8451 0.25 0.025095 0.9205143452 0.92 0.9079305822 5361.669006 4.483 5.455 4.562 3.994 3.61 3.542
NSD 9 NSD 9.8451 0.25 0.025095 0.935082078 0.934 0.9320788316 5421.257051 4.467 5.333 4.461 3.908 3.535 3.47
NSD 9 NSD 9.8451 0.25 0.025095 0.9494516253 0.949 0.9570897052 5477.722157 4.45 5.213 4.362 3.823 3.462 3.399
NSD 9 NSD 9.8451 0.25 0.025095 0.9500000477 0.949 0.9584128873 5480.245322 4.45 5.209 4.359 3.819 3.459 3.396
