# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
NSD 9 NSD 9.77815125 0 0.01471 0.0900000036 0.09 0.1216333435 2308.341184 5.219 11.176 10.573 10.311 12.977 11.198 10.389
NSD 9 NSD 9.77815125 0 0.01471 0.1000000015 0.1 0.1333069048 2451.319952 5.186 10.718 10.115 9.851 12.519 10.739 9.928
NSD 9 NSD 9.77815125 0 0.01471 0.1150199473 0.115 0.1488170341 2609.155723 5.15 10.21 9.609 9.34 12.003 10.23 9.417
NSD 9 NSD 9.77815125 0 0.01471 0.1200000048 0.12 0.1539049701 2658.887731 5.14 10.072 9.47 9.199 11.8 10.081 9.273
NSD 9 NSD 9.77815125 0 0.01471 0.1400000006 0.14 0.1733614955 2783.556238 5.103 9.663 9.061 8.789 11.209 9.645 8.855
NSD 9 NSD 9.77815125 0 0.01471 0.1536028236 0.154 0.1858457547 2844.461107 5.083 9.441 8.839 8.568 10.908 9.412 8.63
NSD 9 NSD 9.77815125 0 0.01471 0.1599999964 0.16 0.1916252105 2871.44168 5.075 9.344 8.742 8.471 10.776 9.309 8.532
NSD 9 NSD 9.77815125 0 0.01471 0.200000003 0.2 0.2256070386 2998.472016 5.029 8.847 8.244 7.981 10.143 8.793 8.034
NSD 9 NSD 9.77815125 0 0.01471 0.25 0.25 0.2659210059 3113.149665 4.984 8.369 7.765 7.51 9.561 8.3 7.558
NSD 9 NSD 9.77815125 0 0.01471 0.3000000119 0.3 0.3051775941 3190.068436 4.943 7.988 7.382 7.134 9.125 7.911 7.179
NSD 9 NSD 9.77815125 0 0.01471 0.3307199478 0.331 0.3328531297 3229.981241 4.911 7.76 7.152 6.908 8.87 7.678 6.951
NSD 9 NSD 9.77815125 0 0.01471 0.3500000238 0.35 0.3502294361 3253.868518 4.891 7.625 7.015 6.773 8.721 7.54 6.815
NSD 9 NSD 9.77815125 0 0.01471 0.4000000358 0.4 0.3929638905 3337.336513 4.849 7.292 6.677 6.441 8.339 7.197 6.479
NSD 9 NSD 9.77815125 0 0.01471 0.4500000179 0.45 0.4410142726 3432.41665 4.799 6.949 6.325 6.095 7.947 6.843 6.13
NSD 9 NSD 9.77815125 0 0.01471 0.5 0.5 0.4926660603 3554.67582 4.749 6.596 5.961 5.738 7.537 6.475 5.767
NSD 9 NSD 9.77815125 0 0.01471 0.512465477 0.512 0.5064687396 3595.837026 4.736 6.5 5.861 5.641 7.424 6.375 5.669
NSD 9 NSD 9.77815125 0 0.01471 0.5500000119 0.55 0.5480909673 3718.775833 4.698 6.224 5.575 5.365 7.099 6.087 5.387
NSD 9 NSD 9.77815125 0 0.01471 0.6000000238 0.6 0.5955971965 3931.877693 4.663 5.866 5.197 5.016 6.675 5.713 5.032
NSD 9 NSD 9.77815125 0 0.01471 0.6499999762 0.65 0.6339465531 4205.329212 4.644 5.505 4.836 4.697 6.252 5.349 4.707
NSD 9 NSD 9.77815125 0 0.01471 0.7000000477 0.7 0.6682710458 4504.016782 4.63 5.172 4.549 4.445 5.849 5.033 4.451
NSD 9 NSD 9.77815125 0 0.01471 0.727448523 0.727 0.6869935267 4673.045396 4.623 4.998 4.424 4.332 5.631 4.879 4.337
NSD 9 NSD 9.77815125 0 0.01471 0.75 0.75 0.7028338095 4812.824219 4.616 4.861 4.332 4.245 5.457 4.759 4.25
NSD 9 NSD 9.77815125 0 0.01471 0.750808537 0.751 0.7042918209 4816.149948 4.616 4.856 4.328 4.242 5.451 4.754 4.246
NSD 9 NSD 9.77815125 0 0.01471 0.787229538 0.787 0.7398652755 5000.34535 4.593 4.639 4.16 4.083 5.19 4.555 4.086
NSD 9 NSD 9.77815125 0 0.01471 0.8000000119 0.8 0.7524066838 5065.239676 4.585 4.566 4.103 4.028 5.101 4.487 4.031
NSD 9 NSD 9.77815125 0 0.01471 0.8019527197 0.802 0.75483607 5074.578791 4.584 4.554 4.094 4.019 5.087 4.476 4.023
NSD 9 NSD 9.77815125 0 0.01471 0.8322833776 0.832 0.7882294279 5223.96189 4.562 4.379 3.955 3.886 4.879 4.313 3.889
NSD 9 NSD 9.77815125 0 0.01471 0.8500000238 0.849 0.8090076808 5310.06699 4.548 4.278 3.873 3.807 4.759 4.218 3.81
NSD 9 NSD 9.77815125 0 0.01471 0.8782956004 0.878 0.8475252481 5438.761317 4.523 4.115 3.739 3.677 4.57 4.064 3.68
NSD 9 NSD 9.77815125 0 0.01471 0.8999999762 0.899 0.8785220066 5536.04995 4.502 3.993 3.635 3.577 4.429 3.947 3.58
NSD 9 NSD 9.77815125 0 0.01471 0.9105029106 0.91 0.8948549501 5580.845504 4.49 3.933 3.583 3.527 4.36 3.889 3.53
NSD 9 NSD 9.77815125 0 0.01471 0.9254390001 0.925 0.9201373182 5641.570244 4.473 3.846 3.508 3.454 4.263 3.806 3.457
NSD 9 NSD 9.77815125 0 0.01471 0.9396340251 0.939 0.9452629695 5699.017624 4.456 3.763 3.435 3.384 4.17 3.726 3.386
NSD 9 NSD 9.77815125 0 0.01471 0.9499999881 0.949 0.9650562881 5738.521327 4.443 3.702 3.381 3.331 4.102 3.667 3.333
NSD 9 NSD 9.77815125 0 0.01471 0.953636229 0.953 0.9728651466 5751.749985 4.438 3.68 3.361 3.312 4.078 3.646 3.314
NSD 9 NSD 9.77815125 0 0.01471 0.9663106203 0.966 0.9994306059 5796.955947 4.421 3.604 3.293 3.245 3.994 3.572 3.247
NSD 9 NSD 9.77815125 0 0.01471 0.9785322547 0.978 1.026485088 5839.827246 4.403 3.53 3.225 3.179 3.913 3.499 3.181
NSD 9 NSD 9.77815125 0 0.01471 1 1 1.07808411 5908.809656 4.37 3.397 3.104 3.06 3.769 3.369 3.062
NSD 9 NSD 9.77815125 0 0.01471 1.007665992 1.007 1.098886011 5930.618664 4.357 3.348 3.059 3.016 3.717 3.321 3.018
NSD 9 NSD 9.77815125 0 0.01471 1.019055366 1.018 1.130713676 5962.110214 4.336 3.274 2.99 2.948 3.638 3.249 2.95
NSD 9 NSD 9.77815125 0 0.01471 1.029681563 1.029 1.162124467 5986.872372 4.317 3.206 2.926 2.884 3.566 3.182 2.887
NSD 9 NSD 9.77815125 0 0.01471 1.040609837 1.04 1.195508436 6008.969505 4.297 3.136 2.859 2.819 3.492 3.113 2.821
NSD 9 NSD 9.77815125 0 0.01471 1.049999952 1.049 1.227022834 6024.208576 4.278 3.074 2.8 2.76 3.428 3.052 2.762
NSD 9 NSD 9.77815125 0 0.01471 1.062538385 1.061 1.274244139 6042.26822 4.251 2.986 2.716 2.676 3.338 2.965 2.678
NSD 9 NSD 9.77815125 0 0.01471 1.076748014 1.075 1.334297416 6063.173557 4.217 2.88 2.612 2.573 3.228 2.859 2.575
NSD 9 NSD 9.77815125 0 0.01471 1.078798056 1.077 1.343855722 6065.966395 4.212 2.864 2.597 2.558 3.212 2.844 2.56
