# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.0900000036 0.09 0.1117513157 2545.071572 5.293 17.689 13.111 10.888 10.434 10.235
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.1000000015 0.1 0.1239232072 2725.837739 5.249 16.564 12.426 10.422 9.939 9.722
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.1199999973 0.12 0.1453960623 2936.297126 5.189 14.951 11.519 9.846 9.326 9.095
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.1344330013 0.134 0.1593869077 3034.589844 5.159 14.228 11.096 9.547 9.015 8.782
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.1400000006 0.14 0.1647223938 3070.435651 5.148 13.974 10.948 9.44 8.905 8.673
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.1496412009 0.15 0.1734014181 3117.453613 5.132 13.641 10.74 9.282 8.743 8.511
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.1599999964 0.16 0.1825377298 3165.191567 5.116 13.318 10.535 9.122 8.58 8.349
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.1999999881 0.2 0.2163977022 3297.61538 5.065 12.423 9.928 8.627 8.075 7.848
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.25 0.25 0.2576633476 3406.434166 5.011 11.687 9.375 8.148 7.588 7.366
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.3000000119 0.3 0.2974079989 3482.571166 4.966 11.154 8.951 7.767 7.201 6.983
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.3499999642 0.35 0.3389632732 3548.133892 4.919 10.69 8.572 7.424 6.852 6.636
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.3999999762 0.4 0.3831357212 3642.503687 4.87 10.18 8.178 7.077 6.495 6.283
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.4344754517 0.434 0.4182660787 3729.0654 4.83 9.781 7.878 6.817 6.227 6.017
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.4499999881 0.45 0.4343628208 3766.170697 4.813 9.616 7.75 6.705 6.112 5.905
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.4999999404 0.5 0.4873631008 3939.127154 4.758 8.999 7.293 6.313 5.702 5.512
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.5500000119 0.55 0.5400732224 4188.90007 4.711 8.314 6.797 5.89 5.253 5.106
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.5631993413 0.563 0.5515090518 4268.742913 4.703 8.129 6.669 5.783 5.144 5.009
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.5999999642 0.6 0.5828444225 4490.554794 4.682 7.62 6.325 5.501 4.888 4.78
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.6499999166 0.65 0.6209443001 4833.926025 4.662 6.944 5.862 5.144 4.616 4.531
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.6565055251 0.656 0.6268341442 4875.284901 4.659 6.865 5.804 5.1 4.584 4.502
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.6814067364 0.681 0.6485637108 5036.165574 4.645 6.576 5.59 4.933 4.461 4.385
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.6999999881 0.7 0.6658135739 5157.034063 4.634 6.372 5.437 4.813 4.369 4.298
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.7093499899 0.709 0.6750759634 5216.749703 4.628 6.273 5.361 4.753 4.323 4.254
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.7294484973 0.729 0.6952686461 5345.643594 4.614 6.067 5.201 4.625 4.223 4.158
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.7479583621 0.748 0.7147474998 5463.865499 4.601 5.884 5.056 4.508 4.131 4.069
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.7487857342 0.749 0.7159004656 5468.900223 4.6 5.876 5.05 4.503 4.127 4.065
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.7580053806 0.758 0.7280356479 5520.774393 4.591 5.788 4.979 4.443 4.077 4.018
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.7749931812 0.775 0.7508490659 5614.356681 4.573 5.629 4.849 4.334 3.984 3.928
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.790073216 0.79 0.7734863338 5696.393733 4.556 5.491 4.735 4.236 3.9 3.848
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.7975714207 0.797 0.784788526 5737.200135 4.548 5.423 4.678 4.188 3.858 3.807
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.8018419147 0.801 0.7916854163 5758.375745 4.542 5.384 4.646 4.159 3.833 3.783
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.8176843524 0.817 0.8196956773 5834.451043 4.52 5.243 4.526 4.053 3.738 3.691
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.8328984976 0.832 0.8486969567 5904.729404 4.497 5.107 4.41 3.95 3.645 3.601
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.8463571072 0.846 0.8769051988 5964.856499 4.476 4.987 4.306 3.857 3.561 3.52
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.8610752821 0.86 0.9121213993 6022.82161 4.45 4.855 4.19 3.752 3.465 3.425
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.8817898035 0.881 0.9668356258 6100.985601 4.409 4.666 4.022 3.597 3.322 3.285
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.8951427937 0.894 1.008213817 6148.936385 4.38 4.54 3.908 3.492 3.224 3.188
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.8993811011 0.898 1.021063249 6163.111147 4.37 4.499 3.872 3.458 3.192 3.156
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.914396286 0.913 1.074614373 6211.550208 4.333 4.352 3.737 3.33 3.071 3.037
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.9286060929 0.927 1.130713676 6250.28758 4.295 4.211 3.606 3.205 2.952 2.919
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.9420609474 0.941 1.190015573 6277.691938 4.257 4.079 3.481 3.084 2.834 2.802
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.9439284801 0.943 1.199920975 6280.583588 4.252 4.06 3.464 3.067 2.818 2.786
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.9451497793 0.944 1.204904551 6282.029912 4.248 4.048 3.452 3.056 2.807 2.775
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.9546385407 0.953 1.256760854 6297.961479 4.217 3.947 3.355 2.961 2.715 2.683
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.9627497792 0.961 1.304225373 6308.120779 4.187 3.856 3.267 2.875 2.63 2.598
NSD 9 NSD 9.84509804 -0.5 0.0048313 0.9636724591 0.962 1.311754748 6308.120779 4.184 3.845 3.257 2.865 2.62 2.588
