# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.0900000036 0.09 0.1118285374 2545.657664 5.293 10.887 10.433 10.234 12.476 10.981 10.305
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.1000000015 0.1 0.1240088399 2726.465459 5.249 10.421 9.939 9.721 11.876 10.476 9.788
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.1199999973 0.12 0.145496533 2936.973311 5.189 9.845 9.325 9.094 11.091 9.845 9.152
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.1308952272 0.131 0.1559741562 3011.618803 5.166 9.616 9.087 8.854 10.799 9.6 8.909
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.1400000006 0.14 0.1646465538 3071.142726 5.148 9.44 8.904 8.672 10.578 9.413 8.723
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.1464448571 0.146 0.1705110956 3102.415775 5.137 9.333 8.795 8.562 10.448 9.301 8.613
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.1599999964 0.16 0.1827480051 3165.191567 5.116 9.121 8.578 8.347 10.197 9.08 8.395
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.1999999881 0.2 0.2167966888 3298.374772 5.064 8.623 8.071 7.844 9.624 8.564 7.886
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.25 0.25 0.2584357824 3407.218617 5.008 8.14 7.58 7.358 9.091 8.068 7.396
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.3000000119 0.3 0.2984369857 3482.571166 4.962 7.758 7.192 6.974 8.679 7.678 7.009
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.3499999642 0.35 0.3395882421 3548.950974 4.918 7.42 6.848 6.632 8.317 7.332 6.665
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.3999999762 0.4 0.3838421338 3643.342501 4.868 7.072 6.49 6.278 7.936 6.973 6.306
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.4499999881 0.45 0.43496333 3767.905482 4.811 6.699 6.105 5.898 7.523 6.587 5.922
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.4729029536 0.473 0.4595710306 3849.461673 4.785 6.514 5.913 5.712 7.314 6.394 5.733
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.4999999404 0.5 0.4884865888 3943.664854 4.756 6.304 5.693 5.504 7.081 6.177 5.521
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.5082684755 0.508 0.497682815 3986.57556 4.748 6.23 5.614 5.432 6.998 6.1 5.447
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.5500000119 0.55 0.5421914251 4197.58984 4.707 5.875 5.237 5.091 6.601 5.731 5.102
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.5633693933 0.563 0.5537996091 4279.568675 4.699 5.765 5.127 4.993 6.476 5.62 5.003
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.5999999642 0.6 0.5853999013 4504.016782 4.678 5.482 4.871 4.765 6.148 5.348 4.771
NSD 9 NSD 9.903089987 -0.5 0.0048313 0.6499999166 0.65 0.6246728703 4852.885002 4.656 5.119 4.596 4.513 5.7 5.017 4.517
