# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
bar 8 bar 10 -0.25 0.0084736 0.0900000036 0.09 0.1165071678 2426.051412 5.257 17.923 13.419 11.032 10.492 10.259
bar 8 bar 10 -0.25 0.0084736 0.1000000015 0.1 0.1282486035 2592.984973 5.219 17.406 12.923 10.536 9.996 9.759
bar 8 bar 10 -0.25 0.0084736 0.1200000048 0.12 0.1495383708 2797.048519 5.165 15.784 11.944 9.955 9.397 9.145
bar 8 bar 10 -0.25 0.0084736 0.1400000006 0.14 0.1688311757 2924.825766 5.126 14.749 11.316 9.549 8.983 8.729
bar 8 bar 10 -0.25 0.0084736 0.1496312171 0.15 0.1775630699 2970.981859 5.111 14.385 11.088 9.388 8.82 8.568
bar 8 bar 10 -0.25 0.0084736 0.1599999964 0.16 0.1869616985 3017.866332 5.096 14.024 10.86 9.227 8.657 8.406
bar 8 bar 10 -0.25 0.0084736 0.192847237 0.193 0.2156019303 3126.079367 5.053 13.183 10.309 8.809 8.235 7.989
bar 8 bar 10 -0.25 0.0084736 0.200000003 0.2 0.2216422983 3147.748314 5.045 13.028 10.204 8.726 8.152 7.907
bar 8 bar 10 -0.25 0.0084736 0.25 0.25 0.2639080543 3255.367325 4.99 12.213 9.615 8.239 7.66 7.422
bar 8 bar 10 -0.25 0.0084736 0.3000000119 0.3 0.3048966445 3334.264128 4.944 11.624 9.164 7.85 7.266 7.034
bar 8 bar 10 -0.25 0.0084736 0.3500000536 0.35 0.3461406818 3401.731253 4.901 11.134 8.776 7.509 6.919 6.691
bar 8 bar 10 -0.25 0.0084736 0.4000000358 0.4 0.3908882761 3489.795674 4.854 10.615 8.376 7.164 6.567 6.344
bar 8 bar 10 -0.25 0.0084736 0.4500000179 0.45 0.4413190197 3603.296501 4.799 10.047 7.948 6.8 6.193 5.975
bar 8 bar 10 -0.25 0.0084736 0.47396487 0.474 0.4671460111 3677.900704 4.772 9.733 7.722 6.614 6 5.786
bar 8 bar 10 -0.25 0.0084736 0.5 0.5 0.4949401035 3756.643646 4.745 9.417 7.492 6.422 5.8 5.592
bar 8 bar 10 -0.25 0.0084736 0.5146384835 0.515 0.5118617119 3819.442708 4.728 9.199 7.338 6.296 5.669 5.467
bar 8 bar 10 -0.25 0.0084736 0.5500000119 0.55 0.5535446336 3967.345289 4.689 8.72 6.993 6.006 5.361 5.181
bar 8 bar 10 -0.25 0.0084736 0.5728330016 0.572 0.574979876 4092.606597 4.674 8.396 6.769 5.821 5.165 5.006
bar 8 bar 10 -0.25 0.0084736 0.6000000238 0.6 0.6002783013 4240.333354 4.656 8.029 6.514 5.608 4.951 4.815
bar 8 bar 10 -0.25 0.0084736 0.6158732772 0.616 0.6124246249 4348.104769 4.65 7.787 6.356 5.482 4.833 4.712
bar 8 bar 10 -0.25 0.0084736 0.6499999762 0.65 0.639076201 4579.309532 4.637 7.284 6.029 5.228 4.626 4.528
bar 8 bar 10 -0.25 0.0084736 0.6595326066 0.659 0.6475191916 4641.945102 4.632 7.153 5.939 5.159 4.574 4.48
bar 8 bar 10 -0.25 0.0084736 0.7000001073 0.7 0.684940182 4909.078762 4.609 6.63 5.569 4.873 4.365 4.284
bar 8 bar 10 -0.25 0.0084736 0.7006672025 0.701 0.6852556813 4913.602273 4.609 6.622 5.563 4.868 4.361 4.281
bar 8 bar 10 -0.25 0.0084736 0.7167029381 0.717 0.7017018877 5017.64579 4.598 6.429 5.421 4.757 4.277 4.201
bar 8 bar 10 -0.25 0.0084736 0.730876267 0.731 0.717881307 5108.577662 4.587 6.265 5.298 4.659 4.202 4.13
bar 8 bar 10 -0.25 0.0084736 0.7444359064 0.744 0.7332509678 5196.369201 4.576 6.112 5.181 4.565 4.129 4.06
bar 8 bar 10 -0.25 0.0084736 0.75 0.75 0.7400356554 5232.388711 4.571 6.05 5.133 4.527 4.099 4.032
