# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
bar 8 bar 10 -0.5 0.0048313 0.0900000036 0.09 0.1117770503 2546.243891 5.293 10.886 10.432 10.233 12.474 10.979 10.304
bar 8 bar 10 -0.5 0.0048313 0.1000000015 0.1 0.1239517449 2727.093323 5.248 10.42 9.937 9.72 11.873 10.475 9.786
bar 8 bar 10 -0.5 0.0048313 0.1199999973 0.12 0.1454295448 2937.649652 5.189 9.844 9.324 9.093 11.088 9.844 9.15
bar 8 bar 10 -0.5 0.0048313 0.1218449548 0.122 0.1473508498 2950.529764 5.185 9.804 9.282 9.05 11.037 9.8 9.107
bar 8 bar 10 -0.5 0.0048313 0.1400000006 0.14 0.1647603269 3071.849964 5.148 9.438 8.902 8.67 10.575 9.411 8.721
bar 8 bar 10 -0.5 0.0048313 0.1599999964 0.16 0.1827900892 3166.649527 5.115 9.118 8.575 8.344 10.193 9.077 8.392
bar 8 bar 10 -0.5 0.0048313 0.1999999881 0.2 0.2175968704 3299.894079 5.061 8.615 8.062 7.836 9.616 8.555 7.878
bar 8 bar 10 -0.5 0.0048313 0.25 0.25 0.2599277484 3407.218617 5.004 8.127 7.567 7.346 9.079 8.056 7.384
bar 8 bar 10 -0.5 0.0048313 0.3000000119 0.3 0.3000216843 3483.37315 4.958 7.746 7.18 6.961 8.667 7.666 6.997
bar 8 bar 10 -0.5 0.0048313 0.3499999642 0.35 0.3406062751 3549.768245 4.915 7.413 6.84 6.625 8.309 7.325 6.657
bar 8 bar 10 -0.5 0.0048313 0.3999999762 0.4 0.3852588686 3645.020708 4.866 7.063 6.481 6.269 7.926 6.964 6.297
bar 8 bar 10 -0.5 0.0048313 0.4499999881 0.45 0.4371723084 3771.37745 4.808 6.687 6.093 5.886 7.51 6.574 5.91
bar 8 bar 10 -0.5 0.0048313 0.4999999404 0.5 0.4911935381 3950.936048 4.752 6.287 5.675 5.487 7.063 6.159 5.504
bar 8 bar 10 -0.5 0.0048313 0.5500000119 0.55 0.5464527865 4215.023497 4.7 5.844 5.206 5.063 6.567 5.7 5.073
bar 8 bar 10 -0.5 0.0048313 0.5503625274 0.55 0.5465786263 4216.965034 4.7 5.841 5.203 5.06 6.564 5.697 5.07
bar 8 bar 10 -0.5 0.0048313 0.5999999642 0.6 0.5909525961 4532.105385 4.67 5.442 4.837 4.733 6.101 5.31 4.739
bar 8 bar 10 -0.5 0.0048313 0.6499999166 0.65 0.6340925415 4892.152651 4.644 5.066 4.555 4.473 5.636 4.968 4.477
bar 8 bar 10 -0.5 0.0048313 0.6647750735 0.665 0.6487130653 4992.292237 4.634 4.958 4.474 4.396 5.505 4.87 4.401
bar 8 bar 10 -0.5 0.0048313 0.6808450818 0.681 0.6656602823 5101.524774 4.622 4.843 4.386 4.313 5.365 4.765 4.317
bar 8 bar 10 -0.5 0.0048313 0.6958907843 0.696 0.6824214117 5203.553211 4.61 4.737 4.304 4.234 5.237 4.666 4.238
bar 8 bar 10 -0.5 0.0048313 0.6999999881 0.7 0.6866772273 5232.388711 4.607 4.708 4.281 4.212 5.202 4.639 4.216
bar 8 bar 10 -0.5 0.0048313 0.7089897394 0.709 0.6978348346 5292.976917 4.599 4.643 4.23 4.163 5.125 4.579 4.167
bar 8 bar 10 -0.5 0.0048313 0.722047627 0.722 0.714582942 5380.219572 4.586 4.549 4.155 4.091 5.013 4.491 4.094
bar 8 bar 10 -0.5 0.0048313 0.7346237898 0.734 0.7313961078 5463.865499 4.573 4.458 4.081 4.02 4.906 4.405 4.023
bar 8 bar 10 -0.5 0.0048313 0.7461459637 0.746 0.7484325117 5539.875439 4.56 4.375 4.012 3.953 4.809 4.326 3.956
