# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
bar 8 bar 10 0.25 0.025095 0.0955969095 0.095 0.1330003074 2303.5625 5.167 10.987 10.398 10.102 12.849 11.014 10.181
bar 8 bar 10 0.25 0.025095 0.1055120975 0.105 0.1438972999 2400.490547 5.141 10.637 10.049 9.752 12.499 10.664 9.83
bar 8 bar 10 0.25 0.025095 0.1253425032 0.125 0.1647603269 2552.113589 5.099 10.079 9.493 9.192 11.941 10.106 9.271
bar 8 bar 10 0.25 0.025095 0.145172894 0.145 0.1838453479 2664.403528 5.068 9.672 9.09 8.79 11.452 9.688 8.864
bar 8 bar 10 0.25 0.025095 0.1650032997 0.165 0.2015824155 2748.526952 5.042 9.365 8.785 8.49 11.015 9.363 8.557
bar 8 bar 10 0.25 0.025095 0.2046640813 0.204 0.2361851808 2875.411465 4.999 8.87 8.291 8.007 10.351 8.846 8.066
bar 8 bar 10 0.25 0.025095 0.2542400956 0.254 0.2785176004 2981.261008 4.95 8.39 7.808 7.536 9.756 8.35 7.59
bar 8 bar 10 0.25 0.025095 0.3118790984 0.312 0.3267026407 3076.096815 4.901 7.94 7.354 7.093 9.216 7.886 7.142
bar 8 bar 10 0.25 0.025095 0.3415367007 0.341 0.351603059 3117.453613 4.876 7.735 7.146 6.889 8.978 7.675 6.936
bar 8 bar 10 0.25 0.025095 0.3533920944 0.353 0.3619533869 3133.285724 4.866 7.657 7.066 6.812 8.888 7.595 6.858
bar 8 bar 10 0.25 0.025095 0.4029681087 0.403 0.4035084602 3216.621793 4.828 7.331 6.731 6.486 8.503 7.257 6.529
bar 8 bar 10 0.25 0.025095 0.4525440931 0.452 0.4495237529 3312.836481 4.785 7.002 6.388 6.152 8.111 6.912 6.191
bar 8 bar 10 0.25 0.025095 0.502120018 0.502 0.5004407253 3422.945623 4.738 6.664 6.033 5.805 7.712 6.557 5.839
bar 8 bar 10 0.25 0.025095 0.5033342838 0.503 0.5018254062 3426.099725 4.736 6.655 6.023 5.795 7.7 6.547 5.829
bar 8 bar 10 0.25 0.025095 0.5516960621 0.551 0.5587951716 3562.049907 4.682 6.295 5.643 5.426 7.272 6.168 5.454
bar 8 bar 10 0.25 0.025095 0.601271987 0.601 0.6080686943 3754.914046 4.646 5.949 5.274 5.076 6.838 5.8 5.097
bar 8 bar 10 0.25 0.025095 0.650848031 0.651 0.6490118775 4010.513661 4.624 5.596 4.911 4.748 6.401 5.436 4.762
bar 8 bar 10 0.25 0.025095 0.7004240751 0.7 0.6860450653 4299.322267 4.608 5.25 4.588 4.463 5.982 5.097 4.472
bar 8 bar 10 0.25 0.025095 0.7178883553 0.718 0.6971924009 4419.773361 4.605 5.13 4.492 4.379 5.831 4.986 4.387
bar 8 bar 10 0.25 0.025095 0.75 0.75 0.7185428047 4640.876378 4.598 4.916 4.342 4.244 5.556 4.797 4.25
