# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
bar 8 bar 9.903089987 0.25 0.025095 0.0955969095 0.095 0.1329084658 2303.032146 5.168 17.881 13.642 10.988 10.399 10.103
bar 8 bar 9.903089987 0.25 0.025095 0.1055120975 0.105 0.1439635823 2399.937877 5.141 17.518 13.291 10.638 10.051 9.753
bar 8 bar 9.903089987 0.25 0.025095 0.1253425032 0.125 0.1646465538 2551.526011 5.099 16.94 12.732 10.08 9.495 9.194
bar 8 bar 9.903089987 0.25 0.025095 0.145172894 0.145 0.1837183959 2663.790097 5.068 16.222 12.187 9.674 9.091 8.791
bar 8 bar 9.903089987 0.25 0.025095 0.1650032997 0.165 0.2014432154 2747.894153 5.043 15.451 11.666 9.367 8.787 8.492
bar 8 bar 9.903089987 0.25 0.025095 0.2046640813 0.204 0.2357505121 2874.749453 5.001 14.349 10.902 8.876 8.296 8.012
bar 8 bar 9.903089987 0.25 0.025095 0.2542400956 0.254 0.2770464852 2980.574626 4.955 13.448 10.247 8.401 7.82 7.547
bar 8 bar 9.903089987 0.25 0.025095 0.309602648 0.309 0.3229629065 3072.557365 4.908 12.678 9.679 7.97 7.384 7.122
bar 8 bar 9.903089987 0.25 0.025095 0.3371850848 0.337 0.3466192234 3110.99992 4.883 12.358 9.434 7.773 7.185 6.928
bar 8 bar 9.903089987 0.25 0.025095 0.3533920944 0.353 0.3608715499 3132.564342 4.869 12.187 9.3 7.663 7.073 6.818
bar 8 bar 9.903089987 0.25 0.025095 0.4029681087 0.403 0.4027658543 3215.881224 4.831 11.638 8.886 7.339 6.738 6.493
bar 8 bar 9.903089987 0.25 0.025095 0.4525440931 0.452 0.4483866202 3311.311215 4.787 11.069 8.465 7.01 6.396 6.16
bar 8 bar 9.903089987 0.25 0.025095 0.502120018 0.502 0.4984856318 3419.794425 4.741 10.513 8.041 6.675 6.043 5.815
bar 8 bar 9.903089987 0.25 0.025095 0.5321161151 0.532 0.5329084969 3503.482883 4.708 10.131 7.757 6.452 5.809 5.587
bar 8 bar 9.903089987 0.25 0.025095 0.5516960621 0.551 0.5552040748 3557.132151 4.688 9.892 7.58 6.314 5.663 5.445
bar 8 bar 9.903089987 0.25 0.025095 0.5816595554 0.581 0.5848609762 3671.131997 4.666 9.456 7.29 6.105 5.44 5.232
bar 8 bar 9.903089987 0.25 0.025095 0.601271987 0.601 0.6037437457 3744.553156 4.653 9.188 7.113 5.974 5.3 5.101
bar 8 bar 9.903089987 0.25 0.025095 0.622594595 0.622 0.620515515 3852.121706 4.643 8.859 6.904 5.824 5.141 4.956
bar 8 bar 9.903089987 0.25 0.025095 0.650848031 0.651 0.6435060656 3993.006342 4.632 8.454 6.644 5.629 4.943 4.778
bar 8 bar 9.903089987 0.25 0.025095 0.7004240751 0.7 0.6792859701 4273.660315 4.617 7.75 6.202 5.292 4.625 4.498
bar 8 bar 9.903089987 0.25 0.025095 0.7135679126 0.714 0.6863610735 4363.148556 4.616 7.552 6.083 5.204 4.552 4.435
bar 8 bar 9.903089987 0.25 0.025095 0.75 0.75 0.7065658528 4613.175746 4.612 7.034 5.76 4.969 4.387 4.288
bar 8 bar 9.903089987 0.25 0.025095 0.7582442164 0.758 0.7155708571 4650.503762 4.606 6.944 5.696 4.918 4.348 4.25
bar 8 bar 9.903089987 0.25 0.025095 0.7943123579 0.794 0.7537939455 4816.149948 4.58 6.566 5.421 4.699 4.179 4.09
bar 8 bar 9.903089987 0.25 0.025095 0.8000000119 0.8 0.760243376 4842.838652 4.576 6.509 5.379 4.665 4.152 4.064
bar 8 bar 9.903089987 0.25 0.025095 0.8038728833 0.804 0.7642802638 4860.713235 4.573 6.47 5.35 4.641 4.134 4.046
bar 8 bar 9.903089987 0.25 0.025095 0.8298627734 0.829 0.795522825 4983.10456 4.553 6.211 5.156 4.484 4.009 3.928
bar 8 bar 9.903089987 0.25 0.025095 0.8500000238 0.849 0.819884441 5078.085397 4.537 6.018 5.008 4.363 3.914 3.835
bar 8 bar 9.903089987 0.25 0.025095 0.8686875105 0.868 0.8459654859 5162.974737 4.519 5.843 4.871 4.25 3.821 3.746
bar 8 bar 9.903089987 0.25 0.025095 0.8906043172 0.89 0.8783197427 5260.172664 4.497 5.643 4.711 4.116 3.71 3.638
bar 8 bar 9.903089987 0.25 0.025095 0.8999999762 0.899 0.8930024386 5301.515067 4.487 5.559 4.643 4.059 3.662 3.592
bar 8 bar 9.903089987 0.25 0.025095 0.9041324854 0.903 0.9006429314 5318.632708 4.482 5.522 4.613 4.033 3.64 3.571
bar 8 bar 9.903089987 0.25 0.025095 0.9180688262 0.917 0.9239588823 5376.504331 4.466 5.399 4.511 3.947 3.565 3.498
bar 8 bar 9.903089987 0.25 0.025095 0.9307978153 0.93 0.9487518699 5426.252513 4.45 5.288 4.419 3.867 3.496 3.431
bar 8 bar 9.903089987 0.25 0.025095 0.943500638 0.943 0.9730891829 5476.46101 4.433 5.178 4.327 3.787 3.425 3.363
bar 8 bar 9.903089987 0.25 0.025095 0.9500000477 0.949 0.9870806646 5500.472529 4.424 5.122 4.28 3.745 3.389 3.327
bar 8 bar 9.903089987 0.25 0.025095 0.9550817013 0.954 0.9978210116 5518.232568 4.416 5.079 4.243 3.713 3.359 3.298
bar 8 bar 9.903089987 0.25 0.025095 0.9662520885 0.966 1.024595974 5556.483128 4.399 4.983 4.162 3.64 3.294 3.235
bar 8 bar 9.903089987 0.25 0.025095 0.9768787622 0.976 1.049911384 5591.135276 4.382 4.893 4.084 3.57 3.23 3.172
bar 8 bar 9.903089987 0.25 0.025095 0.9871285558 0.987 1.077339653 5622.118562 4.365 4.807 4.009 3.502 3.168 3.111
bar 8 bar 9.903089987 0.25 0.025095 0.9969713092 0.997 1.104466747 5649.369748 4.348 4.727 3.938 3.437 3.108 3.052
bar 8 bar 9.903089987 0.25 0.025095 1 1 1.112891037 5657.180035 4.342 4.702 3.917 3.417 3.089 3.034
bar 8 bar 9.903089987 0.25 0.025095 1.000273466 1 1.113660061 5658.482799 4.342 4.7 3.915 3.415 3.087 3.032
bar 8 bar 9.903089987 0.25 0.025095 1.01032424 1.01 1.144333587 5679.367868 4.323 4.621 3.843 3.348 3.024 2.97
bar 8 bar 9.903089987 0.25 0.025095 1.026382804 1.026 1.198816315 5710.840095 4.288 4.487 3.72 3.232 2.914 2.861
bar 8 bar 9.903089987 0.25 0.025095 1.039072871 1.038 1.247247508 5735.879248 4.259 4.377 3.619 3.135 2.821 2.769
bar 8 bar 9.903089987 0.25 0.025095 1.048069 1.047 1.288702422 5747.778188 4.235 4.296 3.543 3.062 2.75 2.699
bar 8 bar 9.903089987 0.25 0.025095 1.049999952 1.049 1.296440665 5750.425748 4.23 4.279 3.527 3.046 2.735 2.684
bar 8 bar 9.903089987 0.25 0.025095 1.050046563 1.049 1.296440665 5750.425748 4.23 4.279 3.526 3.046 2.735 2.683
bar 8 bar 9.903089987 0.25 0.025095 1.061060548 1.06 1.353170885 5759.701813 4.198 4.177 3.428 2.949 2.64 2.589
bar 8 bar 9.903089987 0.25 0.025095 1.069624901 1.068 1.403953245 5759.701813 4.169 4.097 3.349 2.87 2.56 2.509
bar 8 bar 9.903089987 0.25 0.025095 1.078364491 1.077 1.462354429 5751.749985 4.137 4.015 3.265 2.784 2.474 2.422
bar 8 bar 9.903089987 0.25 0.025095 1.08140552 1.08 1.484747644 5747.778188 4.125 3.987 3.235 2.754 2.442 2.391
bar 8 bar 9.903089987 0.25 0.025095 1.089146733 1.088 1.549717884 5724.004941 4.091 3.916 3.157 2.669 2.354 2.301
bar 8 bar 9.903089987 0.25 0.025095 1.097155571 1.095 1.63061955 5680.675741 4.05 3.847 3.075 2.578 2.254 2.2
bar 8 bar 9.903089987 0.25 0.025095 1.100000024 1.098 1.664763881 5654.575407 4.033 3.828 3.047 2.544 2.216 2.161
bar 8 bar 9.903089987 0.25 0.025095 1.105896115 1.104 1.744426377 5584.701947 3.995 3.795 2.991 2.473 2.131 2.073
bar 8 bar 9.903089987 0.25 0.025095 1.111754537 1.11 1.843540339 5463.865499 3.949 3.799 2.956 2.409 2.042 1.98
bar 8 bar 9.903089987 0.25 0.025095 1.114920735 1.113 1.913165959 5348.105921 3.918 3.844 2.961 2.384 1.994 1.927
bar 8 bar 9.903089987 0.25 0.025095 1.116972804 1.115 1.9735705 5244.450613 3.892 3.895 2.975 2.371 1.958 1.886
bar 8 bar 9.903089987 0.25 0.025095 1.118503571 1.117 2.030732152 5158.221651 3.868 3.936 2.984 2.356 1.922 1.847
bar 8 bar 9.903089987 0.25 0.025095 1.120320559 1.119 2.122035499 5054.753714 3.83 3.967 2.974 2.316 1.857 1.778
bar 8 bar 9.903089987 0.25 0.025095 1.122123003 1.12 2.252436959 4971.643737 3.779 3.946 2.919 2.235 1.756 1.672
bar 8 bar 9.903089987 0.25 0.025095 1.123359919 1.122 2.360220862 4927.197832 3.739 3.903 2.856 2.159 1.668 1.583
bar 8 bar 9.903089987 0.25 0.025095 1.124075174 1.122 2.435861801 4909.078762 3.713 3.86 2.806 2.103 1.607 1.521
bar 8 bar 9.903089987 0.25 0.025095 1.12561655 1.124 2.607670085 4877.53057 3.653 3.753 2.686 1.973 1.468 1.38
bar 8 bar 9.903089987 0.25 0.025095 1.12711966 1.125 2.805127752 4854.002548 3.591 3.628 2.551 1.83 1.318 1.229
bar 8 bar 9.903089987 0.25 0.025095 1.128462553 1.127 3.007133057 4836.152643 3.53 3.5 2.417 1.689 1.173 1.083
bar 8 bar 9.903089987 0.25 0.025095 1.129449129 1.128 3.180919254 4822.808304 3.482 3.396 2.309 1.576 1.056 0.966
bar 8 bar 9.903089987 0.25 0.025095 1.130604386 1.129 3.412342733 4806.179647 3.422 3.266 2.171 1.434 0.91 0.818
bar 8 bar 9.903089987 0.25 0.025095 1.131435633 1.13 3.605393279 4792.918012 3.374 3.164 2.064 1.322 0.794 0.702
bar 8 bar 9.903089987 0.25 0.025095 1.132159829 1.13 3.798854368 4780.793661 3.329 3.069 1.963 1.216 0.685 0.592
bar 8 bar 9.903089987 0.25 0.025095 1.132838845 1.131 4.006384665 4766.504419 3.284 2.974 1.862 1.11 0.576 0.481
bar 8 bar 9.903089987 0.25 0.025095 1.133466482 1.131 4.227198529 4751.163764 3.237 2.88 1.761 1.003 0.465 0.369
