# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
bar 8 bar 9.95424 -0.5 0.0048313 0.0900000036 0.09 0.1117770503 2546.243891 5.293 17.687 13.109 10.886 10.432 10.233
bar 8 bar 9.95424 -0.5 0.0048313 0.1000000015 0.1 0.1239517449 2727.093323 5.248 16.559 12.423 10.421 9.938 9.721
bar 8 bar 9.95424 -0.5 0.0048313 0.1199999973 0.12 0.145496533 2936.973311 5.189 14.946 11.516 9.845 9.325 9.094
bar 8 bar 9.95424 -0.5 0.0048313 0.1267677695 0.127 0.1520031699 2984.695288 5.174 14.594 11.31 9.7 9.174 8.942
bar 8 bar 9.95424 -0.5 0.0048313 0.1400000006 0.14 0.1647603269 3071.849964 5.148 13.968 10.945 9.439 8.903 8.671
bar 8 bar 9.95424 -0.5 0.0048313 0.1428005099 0.143 0.167321845 3085.318477 5.143 13.865 10.882 9.392 8.855 8.622
bar 8 bar 9.95424 -0.5 0.0048313 0.1599999964 0.16 0.1828742866 3165.920463 5.116 13.311 10.531 9.12 8.577 8.346
bar 8 bar 9.95424 -0.5 0.0048313 0.1999999881 0.2 0.2171964111 3299.134338 5.063 12.411 9.919 8.619 8.067 7.84
bar 8 bar 9.95424 -0.5 0.0048313 0.25 0.25 0.2593299312 3407.218617 5.006 11.671 9.361 8.133 7.573 7.352
bar 8 bar 9.95424 -0.5 0.0048313 0.3000000119 0.3 0.2993316536 3483.37315 4.96 11.137 8.935 7.751 7.185 6.967
bar 8 bar 9.95424 -0.5 0.0048313 0.3269815147 0.327 0.3214790267 3519.654225 4.936 10.882 8.728 7.565 6.995 6.778
bar 8 bar 9.95424 -0.5 0.0048313 0.3499999642 0.35 0.3399794327 3548.950974 4.916 10.681 8.564 7.416 6.844 6.628
bar 8 bar 9.95424 -0.5 0.0048313 0.3999999762 0.4 0.3845498487 3644.181508 4.867 10.168 8.168 7.068 6.486 6.273
bar 8 bar 9.95424 -0.5 0.0048313 0.4499999881 0.45 0.4360664204 3769.641066 4.809 9.599 7.737 6.693 6.099 5.892
bar 8 bar 9.95424 -0.5 0.0048313 0.4999999404 0.5 0.4898381936 3947.298777 4.754 8.973 7.273 6.296 5.684 5.495
bar 8 bar 9.95424 -0.5 0.0048313 0.5342253447 0.534 0.5274152036 4125.722371 4.719 8.481 6.917 5.992 5.36 5.202
bar 8 bar 9.95424 -0.5 0.0048313 0.5500000119 0.55 0.5443179356 4206.297637 4.704 8.268 6.763 5.859 5.222 5.077
bar 8 bar 9.95424 -0.5 0.0048313 0.5591261387 0.559 0.5523986962 4262.849499 4.698 8.136 6.672 5.783 5.144 5.008
bar 8 bar 9.95424 -0.5 0.0048313 0.5999999642 0.6 0.5886438959 4517.519127 4.674 7.553 6.278 5.462 4.854 4.749
bar 8 bar 9.95424 -0.5 0.0048313 0.6499999166 0.65 0.6291477457 4871.918336 4.651 6.86 5.798 5.093 4.576 4.493
bar 8 bar 9.95424 -0.5 0.0048313 0.6509074569 0.651 0.6303077468 4878.653792 4.65 6.848 5.789 5.086 4.571 4.489
bar 8 bar 9.95424 -0.5 0.0048313 0.6695693135 0.669 0.6482651049 5002.648624 4.638 6.62 5.62 4.954 4.473 4.395
bar 8 bar 9.95424 -0.5 0.0048313 0.6873674989 0.687 0.6658135739 5121.53329 4.626 6.413 5.464 4.831 4.379 4.306
