# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
bar 8 bar 9.95424 -0.5 0.0048313 0.0900000036 0.09 0.1117770503 2546.243891 5.293 10.886 10.432 10.233 12.475 10.98 10.304
bar 8 bar 9.95424 -0.5 0.0048313 0.1000000015 0.1 0.1239517449 2727.093323 5.248 10.421 9.938 9.721 11.875 10.475 9.787
bar 8 bar 9.95424 -0.5 0.0048313 0.1199999973 0.12 0.145496533 2936.973311 5.189 9.845 9.325 9.094 11.09 9.844 9.151
bar 8 bar 9.95424 -0.5 0.0048313 0.1267677695 0.127 0.1520031699 2984.695288 5.174 9.7 9.174 8.942 10.905 9.69 8.997
bar 8 bar 9.95424 -0.5 0.0048313 0.1400000006 0.14 0.1647603269 3071.849964 5.148 9.439 8.903 8.671 10.576 9.412 8.722
bar 8 bar 9.95424 -0.5 0.0048313 0.1428005099 0.143 0.167321845 3085.318477 5.143 9.392 8.855 8.622 10.519 9.362 8.674
bar 8 bar 9.95424 -0.5 0.0048313 0.1599999964 0.16 0.1828742866 3165.920463 5.116 9.12 8.577 8.346 10.195 9.078 8.394
bar 8 bar 9.95424 -0.5 0.0048313 0.1999999881 0.2 0.2171964111 3299.134338 5.063 8.619 8.067 7.84 9.62 8.56 7.882
bar 8 bar 9.95424 -0.5 0.0048313 0.25 0.25 0.2593299312 3407.218617 5.006 8.133 7.573 7.352 9.085 8.062 7.39
bar 8 bar 9.95424 -0.5 0.0048313 0.3000000119 0.3 0.2993316536 3483.37315 4.96 7.751 7.185 6.967 8.673 7.671 7.002
bar 8 bar 9.95424 -0.5 0.0048313 0.3269815147 0.327 0.3214790267 3519.654225 4.936 7.565 6.995 6.778 8.472 7.48 6.812
bar 8 bar 9.95424 -0.5 0.0048313 0.3499999642 0.35 0.3399794327 3548.950974 4.916 7.416 6.844 6.628 8.313 7.328 6.661
bar 8 bar 9.95424 -0.5 0.0048313 0.3999999762 0.4 0.3845498487 3644.181508 4.867 7.068 6.486 6.273 7.931 6.969 6.302
bar 8 bar 9.95424 -0.5 0.0048313 0.4499999881 0.45 0.4360664204 3769.641066 4.809 6.693 6.099 5.892 7.516 6.58 5.916
bar 8 bar 9.95424 -0.5 0.0048313 0.4999999404 0.5 0.4898381936 3947.298777 4.754 6.296 5.684 5.495 7.072 6.168 5.512
bar 8 bar 9.95424 -0.5 0.0048313 0.5342253447 0.534 0.5274152036 4125.722371 4.719 5.992 5.36 5.202 6.732 5.852 5.215
bar 8 bar 9.95424 -0.5 0.0048313 0.5500000119 0.55 0.5443179356 4206.297637 4.704 5.859 5.222 5.077 6.584 5.716 5.088
bar 8 bar 9.95424 -0.5 0.0048313 0.5591261387 0.559 0.5523986962 4262.849499 4.698 5.783 5.144 5.008 6.498 5.638 5.018
bar 8 bar 9.95424 -0.5 0.0048313 0.5999999642 0.6 0.5886438959 4517.519127 4.674 5.462 4.854 4.749 6.125 5.329 4.755
bar 8 bar 9.95424 -0.5 0.0048313 0.6499999166 0.65 0.6291477457 4871.918336 4.651 5.093 4.576 4.493 5.669 4.993 4.498
bar 8 bar 9.95424 -0.5 0.0048313 0.6509074569 0.651 0.6303077468 4878.653792 4.65 5.086 4.571 4.489 5.66 4.988 4.493
bar 8 bar 9.95424 -0.5 0.0048313 0.6695693135 0.669 0.6482651049 5002.648624 4.638 4.954 4.473 4.395 5.498 4.867 4.4
bar 8 bar 9.95424 -0.5 0.0048313 0.6873674989 0.687 0.6658135739 5121.53329 4.626 4.831 4.379 4.306 5.348 4.754 4.31
bar 8 bar 9.95424 -0.5 0.0048313 0.6999999881 0.7 0.6794423995 5205.950088 4.616 4.744 4.312 4.242 5.244 4.674 4.246
bar 8 bar 9.95424 -0.5 0.0048313 0.7148530483 0.715 0.6962298591 5305.178489 4.604 4.642 4.232 4.165 5.121 4.579 4.169
bar 8 bar 9.95424 -0.5 0.0048313 0.7294518948 0.729 0.7139250898 5401.321148 4.591 4.541 4.151 4.088 5.001 4.484 4.091
bar 8 bar 9.95424 -0.5 0.0048313 0.7428984046 0.743 0.7305545414 5489.085556 4.578 4.449 4.076 4.016 4.892 4.397 4.019
bar 8 bar 9.95424 -0.5 0.0048313 0.7487857342 0.749 0.7390139643 5527.134079 4.573 4.408 4.043 3.984 4.845 4.359 3.987
bar 8 bar 9.95424 -0.5 0.0048313 0.7514201999 0.751 0.7425960672 5542.427234 4.569 4.389 4.027 3.968 4.823 4.341 3.971
bar 8 bar 9.95424 -0.5 0.0048313 0.7644466758 0.764 0.764104302 5616.942784 4.552 4.296 3.946 3.891 4.717 4.251 3.894
bar 8 bar 9.95424 -0.5 0.0048313 0.7764101624 0.776 0.7851500178 5683.292391 4.535 4.209 3.87 3.818 4.62 4.168 3.82
bar 8 bar 9.95424 -0.5 0.0048313 0.7878252864 0.787 0.8064039471 5745.131848 4.518 4.125 3.796 3.746 4.525 4.086 3.749
bar 8 bar 9.95424 -0.5 0.0048313 0.7975714207 0.797 0.8255676084 5796.955947 4.503 4.052 3.731 3.683 4.445 4.016 3.685
