# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.090000011 0.09 0.1068200175 2688.437843 5.332 10.77 10.393 10.225 12.164 10.871 10.283
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.0922374949 0.092 0.1096611118 2734.009379 5.32 10.661 10.266 10.094 12.014 10.747 10.151
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.0994170234 0.099 0.1187552026 2877.398415 5.283 10.334 9.886 9.7 11.565 10.373 9.754
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.1026841626 0.103 0.1223637125 2917.427014 5.271 10.229 9.768 9.579 11.43 10.257 9.632
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.1182510555 0.118 0.1391081724 3100.273442 5.221 9.771 9.267 9.065 10.851 9.755 9.112
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.1370850801 0.137 0.1574536182 3239.664224 5.177 9.372 8.847 8.64 10.378 9.331 8.683
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.1559191346 0.156 0.174925307 3333.496473 5.142 9.058 8.523 8.316 10.021 9.004 8.355
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.1935872138 0.193 0.2083303986 3457.004939 5.083 8.566 8.021 7.813 9.48 8.497 7.848
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.2406722903 0.24 0.248858595 3557.132151 5.023 8.093 7.539 7.332 8.97 8.013 7.363
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.2877573967 0.287 0.2870467571 3631.616662 4.977 7.722 7.162 6.955 8.574 7.633 6.983
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.3348424733 0.334 0.3235583744 3694.877123 4.94 7.411 6.845 6.638 8.244 7.315 6.664
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.3819275498 0.381 0.3631220695 3778.330987 4.896 7.09 6.518 6.314 7.899 6.987 6.337
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.4290127158 0.428 0.4092160367 3895.830022 4.843 6.736 6.154 5.956 7.514 6.622 5.975
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.4760977626 0.475 0.4589365482 4070.989667 4.789 6.346 5.748 5.574 7.083 6.22 5.588
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.523182869 0.522 0.5083380807 4335.108784 4.741 5.92 5.308 5.177 6.61 5.786 5.186
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.5516995788 0.551 0.5372205843 4534.192978 4.716 5.661 5.075 4.966 6.311 5.536 4.973
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.5702679157 0.569 0.5558436452 4662.29769 4.701 5.502 4.94 4.841 6.125 5.386 4.847
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.6173529625 0.617 0.6043000704 4996.892426 4.662 5.124 4.651 4.568 5.664 5.04 4.573
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.6243753433 0.624 0.6117199507 5050.100257 4.657 5.068 4.608 4.528 5.597 4.988 4.532
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.6403779387 0.64 0.6304528972 5170.11258 4.642 4.942 4.51 4.434 5.444 4.871 4.438
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.6559047699 0.655 0.6487130653 5288.104149 4.627 4.82 4.413 4.342 5.298 4.757 4.346
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.6644381285 0.664 0.6598612795 5353.033977 4.619 4.752 4.359 4.29 5.217 4.694 4.293
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.6697736979 0.669 0.6671947877 5391.380705 4.612 4.709 4.323 4.256 5.167 4.653 4.259
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.6841521263 0.684 0.6895291723 5492.878592 4.593 4.592 4.226 4.161 5.031 4.542 4.165
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.6970295906 0.696 0.7101541754 5583.41617 4.575 4.486 4.134 4.073 4.91 4.44 4.076
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7092323899 0.709 0.7329133709 5666.305684 4.555 4.382 4.043 3.986 4.794 4.34 3.989
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7127447128 0.712 0.7400356554 5691.149576 4.549 4.352 4.016 3.96 4.76 4.311 3.963
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7203068733 0.72 0.7557056076 5739.842822 4.535 4.285 3.956 3.902 4.686 4.246 3.905
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7307885885 0.73 0.7808230852 5804.970272 4.514 4.189 3.869 3.818 4.58 4.152 3.821
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7409523129 0.74 0.8078907671 5866.782664 4.49 4.091 3.78 3.732 4.474 4.057 3.735
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7500958443 0.749 0.8343584043 5921.067336 4.467 4 3.695 3.65 4.376 3.968 3.653
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7589941621 0.758 0.8632819188 5970.352866 4.442 3.907 3.609 3.566 4.276 3.877 3.568
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7610512972 0.76 0.8706681241 5982.738216 4.436 3.884 3.588 3.545 4.252 3.855 3.547
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7676621079 0.767 0.8973309448 6013.121788 4.414 3.809 3.517 3.475 4.173 3.781 3.478
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7772986889 0.776 0.93983723 6057.591739 4.379 3.692 3.405 3.366 4.05 3.665 3.368
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7863696814 0.785 0.9870806646 6093.965623 4.342 3.573 3.291 3.253 3.926 3.547 3.255
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.7949756384 0.794 1.037176444 6122.094091 4.303 3.453 3.176 3.138 3.803 3.429 3.14
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8032668233 0.802 1.094845014 6143.275613 4.26 3.329 3.054 3.017 3.676 3.305 3.019
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8088673353 0.807 1.140125462 6153.185387 4.229 3.239 2.965 2.929 3.584 3.215 2.931
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8093579412 0.808 1.144070124 6153.185387 4.226 3.23 2.956 2.92 3.575 3.206 2.922
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8117720485 0.81 1.16748859 6154.602374 4.209 3.186 2.913 2.877 3.532 3.162 2.878
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8173033595 0.816 1.230134631 6146.105347 4.167 3.076 2.802 2.765 3.423 3.052 2.767
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8235582113 0.822 1.318113005 6117.866558 4.11 2.935 2.657 2.62 3.286 2.91 2.622
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8257530332 0.824 1.355665815 6102.390566 4.087 2.882 2.602 2.564 3.234 2.857 2.566
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8293654919 0.827 1.433021297 6056.197087 4.04 2.777 2.491 2.451 3.136 2.75 2.453
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8331906199 0.831 1.546509688 5968.9783 3.976 2.645 2.347 2.305 3.016 2.615 2.307
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8361359835 0.834 1.672833222 5849.247525 3.909 2.522 2.207 2.16 2.91 2.487 2.162
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8379340172 0.836 1.784237426 5729.279373 3.855 2.432 2.099 2.047 2.839 2.392 2.05
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8394162655 0.837 1.908765799 5600.154388 3.797 2.342 1.988 1.931 2.769 2.296 1.934
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8405818939 0.838 2.040575391 5491.613956 3.739 2.244 1.871 1.81 2.69 2.192 1.813
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8415933847 0.839 2.190043014 5408.788506 3.678 2.13 1.74 1.676 2.592 2.073 1.68
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8425306678 0.84 2.358048019 5349.337509 3.615 1.999 1.596 1.53 2.472 1.938 1.534
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8426645994 0.84 2.383705754 5341.952229 3.605 1.979 1.574 1.508 2.454 1.917 1.512
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8434474468 0.841 2.554186734 5305.178489 3.546 1.848 1.435 1.368 2.331 1.784 1.371
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8440884352 0.842 2.708648465 5280.803408 3.495 1.732 1.313 1.245 2.22 1.665 1.249
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8447908759 0.842 2.903706019 5255.330096 3.435 1.594 1.17 1.101 2.087 1.526 1.105
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8453055024 0.843 3.062334625 5239.622519 3.389 1.486 1.058 0.989 1.983 1.416 0.992
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8459225893 0.843 3.284374298 5219.152658 3.329 1.345 0.913 0.843 1.847 1.275 0.846
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8463808894 0.844 3.47178358 5203.553211 3.28 1.232 0.795 0.725 1.737 1.16 0.729
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8467819691 0.844 3.659760326 5189.195108 3.235 1.126 0.686 0.615 1.634 1.053 0.619
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8471602798 0.844 3.857914912 5174.876623 3.189 1.018 0.575 0.504 1.53 0.944 0.507
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8475210667 0.845 4.073358598 5159.409512 3.142 0.908 0.461 0.389 1.424 0.833 0.393
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8478385806 0.845 4.290942006 5143.98863 3.097 0.803 0.351 0.279 1.322 0.726 0.283
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8481405377 0.845 4.525354905 5128.61384 3.051 0.695 0.239 0.167 1.217 0.616 0.17
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8484812975 0.845 4.833398966 5107.401504 2.993 0.562 0.101 0.028 1.09 0.482 0.032
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8487359285 0.845 5.102143214 5089.791592 2.947 0.454 -0.012 -0.085 0.985 0.372 -0.082
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8490304351 0.846 5.464527865 5067.572842 2.887 0.317 -0.156 -0.229 0.854 0.233 -0.226
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8492898345 0.846 5.841880176 5044.28946 2.829 0.184 -0.295 -0.369 0.727 0.098 -0.366
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8495186567 0.846 6.238104487 5021.113055 2.773 0.055 -0.43 -0.505 0.604 -0.033 -0.502
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8497291803 0.846 6.656602823 4996.892426 2.716 -0.075 -0.566 -0.642 0.48 -0.165 -0.639
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8499077559 0.846 7.075426842 4973.933791 2.663 -0.195 -0.694 -0.77 0.366 -0.288 -0.767
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8500736356 0.846 7.529266075 4951.080641 2.609 -0.316 -0.822 -0.899 0.251 -0.412 -0.896
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8502248526 0.846 8.010371258 4926.063433 2.556 -0.436 -0.95 -1.028 0.137 -0.534 -1.025
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8503595591 0.846 8.498702852 4902.301301 2.504 -0.552 -1.073 -1.152 0.028 -0.653 -1.148
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8504825234 0.846 9.01680432 4878.653792 2.453 -0.667 -1.194 -1.274 -0.081 -0.77 -1.271
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8505915999 0.846 9.533506013 4855.120352 2.404 -0.776 -1.311 -1.391 -0.183 -0.882 -1.388
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8506915569 0.846 10.07517608 4832.813101 2.356 -0.882 -1.423 -1.505 -0.283 -0.99 -1.501
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.85078758 0.846 10.6280269 4809.500785 2.309 -0.986 -1.535 -1.617 -0.381 -1.097 -1.614
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8508846164 0.845 11.15199702 4790.7113 2.268 -1.079 -1.633 -1.717 -0.468 -1.191 -1.713
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8509928584 0.845 11.55986187 4776.392415 2.237 -1.148 -1.707 -1.791 -0.533 -1.262 -1.787
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8510367274 0.845 11.38551408 4785.198964 2.25 -1.12 -1.676 -1.76 -0.508 -1.234 -1.757
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.851111412 0.845 10.97116243 4805.073111 2.282 -1.052 -1.602 -1.685 -0.445 -1.163 -1.681
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8511242867 0.845 11.08032872 4800.649512 2.273 -1.07 -1.621 -1.704 -0.462 -1.182 -1.701
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.851202786 0.845 11.75851953 4774.193311 2.221 -1.185 -1.744 -1.828 -0.57 -1.3 -1.825
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8512816429 0.845 12.52716059 4746.789795 2.166 -1.305 -1.872 -1.958 -0.683 -1.423 -1.954
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8513554335 0.844 13.3368309 4718.456982 2.111 -1.425 -2 -2.087 -0.795 -1.546 -2.084
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8514223695 0.844 14.18249519 4690.293284 2.058 -1.542 -2.125 -2.213 -0.905 -1.666 -2.21
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8514850736 0.844 15.10611007 4661.22428 2.003 -1.659 -2.251 -2.34 -1.015 -1.786 -2.337
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8515404463 0.843 16.02701505 4633.402194 1.952 -1.772 -2.369 -2.46 -1.12 -1.9 -2.456
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.851592958 0.843 17.02364855 4605.746174 1.898 -1.887 -2.489 -2.582 -1.227 -2.017 -2.578
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8516410589 0.843 18.09058641 4577.201167 1.846 -2.001 -2.608 -2.703 -1.332 -2.133 -2.7
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8516860008 0.842 19.23324859 4547.785786 1.792 -2.115 -2.729 -2.826 -1.438 -2.25 -2.823
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8517259359 0.842 20.41515327 4519.6 1.741 -2.225 -2.845 -2.945 -1.538 -2.362 -2.941
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8517634869 0.841 21.64475353 4491.588901 1.689 -2.336 -2.962 -3.064 -1.638 -2.475 -3.061
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8517976999 0.841 22.94841235 4463.751406 1.638 -2.444 -3.077 -3.182 -1.737 -2.585 -3.178
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8518295288 0.84 24.34179748 4435.06511 1.586 -2.553 -3.192 -3.3 -1.835 -2.696 -3.296
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.8518582582 0.839 25.79007736 4406.563167 1.536 -2.658 -3.303 -3.414 -1.929 -2.804 -3.411
thick 7 thick_disk 10.07918125 -0.8 0.0024432 0.851885438 0.839 27.34340813 4379.252635 1.485 -2.765 -3.417 -3.531 -2.025 -2.913 -3.528
