# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thick 7 thick_disk 10.07918125 -1 0.0015467 0.0900000036 0.09 0.1035983038 2779.073289 5.358 10.729 10.376 10.232 11.987 10.815 10.279
thick 7 thick_disk 10.07918125 -1 0.0015467 0.0972706378 0.097 0.1131755581 2942.388402 5.316 10.37 9.94 9.781 11.519 10.402 9.826
thick 7 thick_disk 10.07918125 -1 0.0015467 0.1000000015 0.1 0.1168026362 3003.308879 5.3 10.242 9.79 9.626 11.355 10.256 9.669
thick 7 thick_disk 10.07918125 -1 0.0015467 0.1200000048 0.12 0.1384690284 3242.64944 5.231 9.648 9.134 8.949 10.641 9.609 8.988
thick 7 thick_disk 10.07918125 -1 0.0015467 0.1400000006 0.14 0.157852929 3378.313899 5.184 9.242 8.708 8.516 10.179 9.183 8.551
thick 7 thick_disk 10.07918125 -1 0.0015467 0.1599999964 0.16 0.1763407343 3466.570205 5.146 8.922 8.38 8.185 9.827 8.853 8.218
thick 7 thick_disk 10.07918125 -1 0.0015467 0.2000000179 0.2 0.2125458574 3585.915075 5.081 8.415 7.862 7.664 9.278 8.332 7.693
thick 7 thick_disk 10.07918125 -1 0.0015467 0.25 0.25 0.2555363251 3682.137482 5.019 7.937 7.377 7.176 8.77 7.844 7.201
thick 7 thick_disk 10.07918125 -1 0.0015467 0.3000000417 0.3 0.2943422768 3757.508745 4.974 7.566 7.002 6.8 8.378 7.467 6.823
thick 7 thick_disk 10.07918125 -1 0.0015467 0.349999994 0.35 0.3313238085 3821.202032 4.939 7.258 6.691 6.49 8.052 7.154 6.511
thick 7 thick_disk 10.07918125 -1 0.0015467 0.3528438509 0.353 0.3336972632 3827.366048 4.936 7.237 6.669 6.468 8.029 7.132 6.489
thick 7 thick_disk 10.07918125 -1 0.0015467 0.400000006 0.4 0.3751048201 3921.931463 4.889 6.908 6.334 6.139 7.676 6.796 6.156
thick 7 thick_disk 10.07918125 -1 0.0015467 0.4499999881 0.45 0.4259441372 4077.556618 4.83 6.507 5.923 5.747 7.238 6.387 5.76
thick 7 thick_disk 10.07918125 -1 0.0015467 0.4992380738 0.499 0.4740811033 4334.110703 4.782 6.078 5.484 5.347 6.761 5.95 5.356
thick 7 thick_disk 10.07918125 -1 0.0015467 0.5 0.5 0.4748458479 4338.104405 4.781 6.071 5.478 5.341 6.754 5.944 5.35
thick 7 thick_disk 10.07918125 -1 0.0015467 0.5500000715 0.55 0.5282659819 4681.661397 4.73 5.604 5.059 4.956 6.218 5.494 4.962
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6000000238 0.6 0.5828444225 5021.113055 4.682 5.194 4.733 4.648 5.726 5.113 4.652
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6064133644 0.606 0.5904085592 5069.907083 4.676 5.142 4.693 4.609 5.663 5.065 4.614
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6233364344 0.623 0.6087691624 5201.157438 4.66 5.005 4.585 4.507 5.499 4.938 4.511
thick 7 thick_disk 10.07918125 -1 0.0015467 0.639118135 0.639 0.6277007461 5323.533606 4.645 4.878 4.483 4.409 5.348 4.819 4.413
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6499999762 0.65 0.6418782278 5408.788506 4.633 4.79 4.411 4.34 5.244 4.736 4.344
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6589992642 0.659 0.6550171105 5472.679311 4.621 4.715 4.348 4.279 5.158 4.665 4.283
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6724917889 0.672 0.6769438466 5569.292145 4.602 4.602 4.25 4.186 5.029 4.556 4.189
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6849582195 0.685 0.6984778604 5655.877571 4.582 4.496 4.156 4.096 4.91 4.454 4.1
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6971721649 0.697 0.722524611 5739.842822 4.561 4.39 4.06 4.005 4.791 4.35 4.008
thick 7 thick_disk 10.07918125 -1 0.0015467 0.6999999881 0.7 0.7283709979 5759.701813 4.556 4.364 4.038 3.984 4.763 4.326 3.986
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7025206685 0.702 0.7332509678 5776.968507 4.551 4.342 4.017 3.964 4.738 4.304 3.967
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7114213109 0.711 0.7541411604 5835.794629 4.532 4.259 3.942 3.891 4.647 4.223 3.894
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7200602889 0.72 0.7758051261 5891.148903 4.513 4.176 3.865 3.818 4.557 4.142 3.82
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7283622026 0.728 0.7988268334 5944.290152 4.492 4.093 3.789 3.744 4.467 4.061 3.746
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7393702865 0.739 0.8333983664 6010.353281 4.462 3.976 3.681 3.639 4.342 3.947 3.641
thick 7 thick_disk 10.07918125 -1 0.0015467 0.749712646 0.749 0.8714704085 6070.158063 4.429 3.859 3.571 3.531 4.217 3.831 3.533
thick 7 thick_disk 10.07918125 -1 0.0015467 0.75 0.75 0.8730771957 6071.55593 4.428 3.855 3.567 3.528 4.213 3.828 3.53
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7561744452 0.756 0.8987784377 6102.390566 4.406 3.779 3.495 3.457 4.134 3.753 3.459
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7640054226 0.763 0.9374597814 6139.033454 4.374 3.676 3.397 3.36 4.026 3.651 3.362
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7743607163 0.774 0.9948386393 6183.010728 4.328 3.53 3.256 3.22 3.874 3.506 3.222
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7840647101 0.783 1.061335387 6214.411392 4.277 3.38 3.11 3.076 3.72 3.357 3.078
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7926228046 0.792 1.131234508 6234.476611 4.226 3.233 2.966 2.933 3.572 3.212 2.935
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7945470214 0.794 1.14988033 6237.348355 4.214 3.199 2.932 2.899 3.537 3.177 2.901
thick 7 thick_disk 10.07918125 -1 0.0015467 0.7978445888 0.797 1.185366488 6235.912318 4.188 3.131 2.864 2.831 3.469 3.109 2.833
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8000000119 0.799 1.213815405 6230.171474 4.169 3.083 2.815 2.782 3.422 3.061 2.784
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8036523461 0.802 1.262852548 6221.570117 4.137 3 2.732 2.699 3.341 2.979 2.7
thick 7 thick_disk 10.07918125 -1 0.0015467 0.8087481856 0.807 1.350369577 6188.708114 4.082 2.867 2.595 2.56 3.211 2.844 2.561
