# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.0900000036 0.09 0.1004968952 2867.477376 5.385 16.035 12.252 10.698 10.353 10.233
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.0979278833 0.098 0.1113660061 3066.902715 5.333 14.739 11.669 10.285 9.839 9.699
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.1000000015 0.1 0.114065063 3118.889584 5.32 14.444 11.53 10.182 9.718 9.571
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.1180540919 0.118 0.1340456253 3339.64266 5.253 13.234 10.846 9.635 9.115 8.943
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.1199999973 0.12 0.1360669484 3362.791957 5.247 13.126 10.78 9.58 9.056 8.883
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.1379702687 0.138 0.1537632836 3478.564015 5.201 12.511 10.355 9.214 8.675 8.494
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.1400000006 0.14 0.1556512615 3491.403155 5.197 12.449 10.311 9.176 8.636 8.454
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.1599999964 0.16 0.1744024754 3575.197187 5.156 11.974 9.953 8.857 8.31 8.122
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.2000000179 0.2 0.2107912818 3693.17596 5.088 11.27 9.394 8.347 7.792 7.598
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.25 0.25 0.2534852217 3789.657838 5.026 10.653 8.878 7.868 7.309 7.111
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.3000000417 0.3 0.2920469297 3864.559516 4.982 10.189 8.484 7.501 6.939 6.741
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.349999994 0.35 0.3273803773 3929.162586 4.95 9.81 8.162 7.201 6.637 6.442
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.400000006 0.4 0.3697027192 4030.881213 4.902 9.35 7.782 6.855 6.287 6.101
thick 7 thick_disk 10.07918125 -1.2 0.00097797 0.4500000179 0.45 0.4182660787 4198.556482 4.845 8.78 7.334 6.455 5.879 5.718
