# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.0900000036 0.09 0.1248109374 2481.41841 5.197 17.643 13.172 10.786 10.246 10.007
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.0921016037 0.092 0.1264016214 2507.263625 5.196 17.572 13.102 10.716 10.175 9.936
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.1000000015 0.1 0.1338605623 2618.183008 5.181 17.197 12.77 10.406 9.865 9.623
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.1200000048 0.12 0.1522834281 2798.98132 5.149 15.725 11.898 9.913 9.355 9.102
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.1400000006 0.14 0.1720095837 2922.806066 5.11 14.712 11.281 9.511 8.945 8.691
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.1599999964 0.16 0.1903060718 3013.699874 5.081 14.004 10.834 9.195 8.625 8.373
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.1815625727 0.182 0.2051410834 3085.318477 5.071 13.475 10.503 8.959 8.386 8.138
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.200000003 0.2 0.220167213 3141.955285 5.051 13.068 10.23 8.747 8.172 7.927
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.2409115881 0.241 0.2511612552 3232.957534 5.017 12.408 9.764 8.369 7.791 7.552
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.25 0.25 0.2579007736 3251.621601 5.011 12.28 9.673 8.294 7.715 7.477
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.3047362864 0.305 0.297682048 3339.64266 4.972 11.658 9.206 7.897 7.314 7.082
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.3118949831 0.312 0.3040553468 3350.425767 4.963 11.576 9.14 7.839 7.254 7.023
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.3500000536 0.35 0.3327764963 3411.929116 4.935 11.187 8.843 7.584 6.995 6.768
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.4000000358 0.4 0.3771834641 3501.869841 4.884 10.656 8.433 7.23 6.633 6.411
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.4500000179 0.45 0.4272210517 3609.940136 4.827 10.098 8.008 6.865 6.259 6.041
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.5 0.5 0.4791292062 3750.593529 4.774 9.5 7.57 6.499 5.88 5.671
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.5500000119 0.55 0.5262021822 3944.573021 4.733 8.872 7.126 6.133 5.496 5.311
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.6000000238 0.6 0.5699708496 4177.341687 4.702 8.257 6.693 5.771 5.117 4.971
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.6325360537 0.632 0.5949118845 4351.109371 4.688 7.847 6.417 5.545 4.899 4.778
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.6499999762 0.65 0.6061116685 4449.38514 4.683 7.628 6.274 5.432 4.801 4.692
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.7000001073 0.7 0.6370193797 4742.419853 4.672 7.03 5.877 5.13 4.575 4.487
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.7354760766 0.736 0.6597093584 4941.968808 4.663 6.666 5.619 4.933 4.435 4.355
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.75 0.75 0.6690408643 5024.582715 4.66 6.527 5.519 4.858 4.38 4.305
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.7983130813 0.798 0.7062405421 5261.384003 4.639 6.119 5.211 4.613 4.193 4.126
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.8466261625 0.846 0.7472271526 5484.032249 4.616 5.755 4.925 4.382 4.01 3.95
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.8949391842 0.894 0.7933277482 5689.839292 4.588 5.425 4.662 4.164 3.829 3.777
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.9432522058 0.943 0.8434369924 5878.95316 4.558 5.126 4.418 3.957 3.653 3.608
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 0.9915652275 0.991 0.8981577979 6052.015059 4.525 4.846 4.188 3.759 3.482 3.443
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.001198292 1.001 0.9093951734 6084.151223 4.518 4.792 4.143 3.719 3.447 3.409
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.039878368 1.039 0.9577510678 6211.550208 4.489 4.583 3.966 3.564 3.31 3.276
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.062341452 1.062 0.9873079745 6282.029912 4.473 4.464 3.866 3.475 3.23 3.198
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.088191509 1.087 1.020828167 6362.092806 4.454 4.332 3.754 3.375 3.141 3.111
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.136504412 1.136 1.086807545 6508.786108 4.418 4.092 3.549 3.193 2.977 2.951
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.154316187 1.153 1.110331459 6562.963667 4.406 4.007 3.476 3.128 2.92 2.894
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.184817553 1.184 1.15200044 6654.263586 4.386 3.863 3.353 3.019 2.823 2.798
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.202173829 1.201 1.174769452 6708.107288 4.376 3.783 3.287 2.96 2.771 2.747
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.233130455 1.233 1.213535945 6804.55925 4.357 3.644 3.17 2.857 2.681 2.658
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.281443477 1.281 1.271020762 6966.265141 4.335 3.437 2.999 2.71 2.554 2.532
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.329756737 1.33 1.317809533 7151.547047 4.319 3.237 2.842 2.578 2.446 2.425
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.330262065 1.33 1.318720158 7153.193941 4.319 3.235 2.841 2.577 2.445 2.424
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.378069639 1.378 1.350991588 7370.551753 4.314 3.047 2.701 2.465 2.358 2.338
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.406279087 1.406 1.36317824 7512.768386 4.314 2.941 2.626 2.408 2.316 2.297
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.42638278 1.426 1.37167949 7615.527663 4.315 2.866 2.574 2.367 2.286 2.267
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.474695921 1.475 1.394288498 7859.591965 4.316 2.694 2.455 2.276 2.219 2.2
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.478829742 1.479 1.394609582 7881.338851 4.316 2.68 2.445 2.268 2.213 2.194
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.523008823 1.523 1.420210257 8089.096194 4.314 2.533 2.34 2.185 2.148 2.13
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.546039224 1.546 1.434011535 8190.303589 4.311 2.461 2.287 2.142 2.112 2.094
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.571321964 1.571 1.451619003 8296.597093 4.308 2.383 2.23 2.094 2.072 2.055
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.582993746 1.583 1.4606718 8342.572701 4.306 2.349 2.204 2.072 2.054 2.036
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.619634867 1.619 1.490570922 8480.080989 4.298 2.243 2.122 2.002 1.992 1.975
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.667948127 1.667 1.534803019 8645.69678 4.285 2.111 2.016 1.909 1.908 1.891
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.677534103 1.677 1.544730227 8677.60745 4.283 2.085 1.995 1.891 1.891 1.875
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.716261029 1.715 1.582896959 8802.377706 4.271 1.984 1.91 1.815 1.821 1.805
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.747935772 1.747 1.616414155 8898.155684 4.26 1.903 1.841 1.753 1.763 1.748
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.76457417 1.763 1.636638054 8945.404838 4.254 1.862 1.805 1.72 1.732 1.717
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.803967953 1.803 1.684040938 9055.240723 4.239 1.764 1.719 1.642 1.658 1.644
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.812887192 1.812 1.694153061 9080.295876 4.236 1.742 1.7 1.624 1.641 1.627
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.817297101 1.816 1.69923187 9092.849439 4.234 1.731 1.69 1.615 1.632 1.619
thin2 1 thin_disk 8.77815125 -0.25 0.0084736 1.863396049 1.862 1.759351618 9212.977277 4.215 1.619 1.589 1.522 1.543 1.531
