# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.0900000036 0.09 0.1168564382 2426.610095 5.254 17.914 13.411 11.024 10.484 10.251
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.0908940658 0.091 0.1178833977 2441.181106 5.251 17.869 13.367 10.98 10.44 10.207
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.0978757888 0.098 0.1257918907 2555.641901 5.227 17.515 13.027 10.641 10.1 9.865
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.1000000015 0.1 0.1281895565 2590.597845 5.219 17.411 12.927 10.541 10.001 9.764
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.1012994796 0.101 0.1296440665 2604.353905 5.216 17.349 12.876 10.495 9.955 9.717
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.1200000048 0.12 0.1493663075 2793.830151 5.166 15.804 11.955 9.959 9.402 9.151
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.1222076342 0.122 0.1515837493 2808.665373 5.161 15.682 11.878 9.911 9.353 9.101
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.1400000006 0.14 0.1687145915 2920.78776 5.127 14.772 11.328 9.555 8.989 8.736
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.1599999964 0.16 0.1866176193 3013.699874 5.097 14.051 10.875 9.235 8.665 8.414
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.200000003 0.2 0.2200658456 3142.67883 5.052 13.067 10.23 8.748 8.173 7.928
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.25 0.25 0.2580789867 3252.370401 5.01 12.275 9.669 8.29 7.711 7.474
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.3120984733 0.312 0.3051073324 3350.425767 4.96 11.569 9.133 7.832 7.247 7.016
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.3324190974 0.332 0.3246778376 3377.536103 4.934 11.348 8.954 7.671 7.084 6.855
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.3498537838 0.35 0.3388852331 3402.51462 4.919 11.178 8.82 7.554 6.965 6.737
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.3500000536 0.35 0.3392756138 3402.51462 4.919 11.176 8.819 7.553 6.964 6.736
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.4000000358 0.4 0.3824306088 3489.795674 4.872 10.662 8.422 7.211 6.614 6.391
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.4172459841 0.417 0.3996249959 3527.767866 4.852 10.461 8.27 7.081 6.482 6.261
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.4500000179 0.45 0.4314720269 3598.3218 4.819 10.107 8.002 6.853 6.247 6.029
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.4587035179 0.458 0.4403040142 3624.098559 4.809 9.995 7.922 6.786 6.178 5.961
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.5 0.5 0.4827837512 3742.829122 4.767 9.502 7.564 6.488 5.869 5.66
thin3 2 thin_disk 9.18080146 -0.25 0.0084736 0.5500000119 0.55 0.5342599816 3928.257967 4.72 8.875 7.115 6.116 5.479 5.291
