# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.0955969095 0.095 0.1337065383 2304.092976 5.163 10.975 10.386 10.09 12.837 11.002 10.169
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.1005515978 0.1 0.1386923941 2351.25645 5.152 10.807 10.218 9.921 12.669 10.834 10
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.1055120975 0.105 0.1440962387 2398.832919 5.14 10.638 10.051 9.753 12.5 10.665 9.831
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.1099064723 0.11 0.1487827716 2433.884697 5.13 10.506 9.919 9.621 12.369 10.533 9.699
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.1164192334 0.116 0.1554005834 2483.704934 5.117 10.322 9.736 9.436 12.184 10.349 9.515
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.1253425032 0.125 0.1646844694 2549.764088 5.099 10.084 9.498 9.197 11.946 10.111 9.275
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.1274932176 0.127 0.1668985812 2562.123147 5.095 10.035 9.45 9.148 11.897 10.062 9.226
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.145172894 0.145 0.1836338099 2661.337785 5.068 9.677 9.095 8.794 11.462 9.694 8.868
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.1650032997 0.165 0.2015824155 2745.364414 5.043 9.371 8.791 8.496 11.026 9.37 8.563
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.1837493181 0.183 0.2175467727 2807.372232 5.024 9.129 8.55 8.26 10.698 9.117 8.324
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.2046640813 0.204 0.2346673369 2871.44168 5.004 8.889 8.31 8.025 10.375 8.866 8.085
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.222686097 0.222 0.2490305598 2912.057862 4.99 8.713 8.133 7.853 10.152 8.683 7.91
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.2542400956 0.254 0.2731194598 2977.83068 4.967 8.435 7.854 7.581 9.804 8.396 7.635
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.3121540844 0.312 0.3180919254 3074.680546 4.924 8 7.415 7.153 9.276 7.947 7.202
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.3246370554 0.324 0.3300294114 3092.43087 4.909 7.901 7.314 7.055 9.162 7.845 7.103
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.3312987685 0.331 0.3359329818 3102.415775 4.903 7.852 7.265 7.007 9.105 7.795 7.054
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.3533920944 0.353 0.3534700691 3136.172917 4.886 7.704 7.113 6.859 8.931 7.641 6.906
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.4029681087 0.403 0.3949595731 3219.585776 4.847 7.376 6.775 6.531 8.543 7.301 6.574
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.4350979328 0.435 0.4245732663 3281.708485 4.818 7.158 6.549 6.31 8.285 7.073 6.351
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.4525440931 0.452 0.4404054096 3314.36245 4.803 7.047 6.433 6.197 8.154 6.957 6.236
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.502120018 0.502 0.4898381936 3418.219914 4.756 6.715 6.085 5.857 7.763 6.608 5.892
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.5212715864 0.521 0.5098619996 3468.166988 4.738 6.581 5.944 5.719 7.603 6.467 5.752
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.5572474003 0.557 0.5462011936 3567.795883 4.707 6.341 5.691 5.474 7.313 6.214 5.502
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.5945910215 0.594 0.5809685792 3698.281798 4.681 6.096 5.431 5.225 7.007 5.954 5.248
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.601271987 0.601 0.5871548395 3721.34556 4.677 6.055 5.386 5.183 6.955 5.91 5.205
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.6084085107 0.608 0.5924512837 3754.049545 4.674 6.007 5.335 5.136 6.894 5.859 5.157
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.650848031 0.651 0.6248167231 3946.389982 4.657 5.732 5.049 4.876 6.553 5.573 4.892
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.6547678709 0.655 0.6271228785 3966.431879 4.656 5.706 5.023 4.854 6.521 5.547 4.869
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.7004240751 0.7 0.6566782692 4201.457744 4.646 5.42 4.752 4.614 6.173 5.265 4.624
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.75 0.75 0.6725934673 4536.281532 4.655 5.128 4.522 4.419 5.796 4.997 4.425
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.7659899592 0.766 0.6866772273 4599.387494 4.646 5.04 4.454 4.354 5.692 4.917 4.36
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.8000000119 0.8 0.716560138 4733.692033 4.628 4.862 4.317 4.224 5.477 4.754 4.229
thin3 2 thin_disk 9.176091259 0.25 0.025095 0.8500000238 0.85 0.757971096 4943.10687 4.605 4.61 4.125 4.041 5.173 4.523 4.045
