# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.0900000036 0.09 0.1165339976 2424.376134 5.256 11.033 10.493 10.261 12.729 11.088 10.337
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.090416126 0.09 0.1170449404 2431.644038 5.255 11.012 10.472 10.24 12.708 11.066 10.316
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.0927755386 0.093 0.1197712673 2471.155075 5.246 10.893 10.353 10.119 12.588 10.947 10.195
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.1000000015 0.1 0.1281895565 2590.597845 5.219 10.541 10.001 9.764 12.237 10.594 9.84
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.1200000048 0.12 0.1493663075 2793.830151 5.166 9.959 9.402 9.15 11.416 9.964 9.216
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.1400000006 0.14 0.1686369135 2921.460374 5.127 9.554 8.989 8.735 10.871 9.532 8.794
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.1599999964 0.16 0.1866176193 3013.699874 5.097 9.235 8.665 8.414 10.464 9.197 8.468
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.1975293308 0.197 0.2180482698 3135.450869 5.054 8.774 8.2 7.955 9.906 8.719 8.003
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.200000003 0.2 0.2200658456 3142.67883 5.051 8.747 8.172 7.928 9.873 8.691 7.975
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.25 0.25 0.2583762822 3252.370401 5.009 8.288 7.709 7.471 9.344 8.219 7.514
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.3254068196 0.325 0.3183117314 3368.216508 4.942 7.724 7.138 6.907 8.718 7.641 6.946
thin4 3 thin_disk 9.301029996 -0.25 0.0084736 0.3411625922 0.341 0.33315984 3388.441561 4.923 7.604 7.016 6.787 8.589 7.519 6.825
