# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin4 3 thin_disk 9.397940009 0 0.01471 0.0900000036 0.09 0.1216893706 2307.80973 5.219 18.146 13.732 11.177 10.573 10.312
thin4 3 thin_disk 9.397940009 0 0.01471 0.1000000015 0.1 0.1332148515 2450.755579 5.186 17.67 13.273 10.72 10.117 9.852
thin4 3 thin_disk 9.397940009 0 0.01471 0.1079831719 0.108 0.1415639411 2535.712433 5.166 17.379 12.993 10.44 9.838 9.571
thin4 3 thin_disk 9.397940009 0 0.01471 0.1200000048 0.12 0.1538695362 2657.66355 5.14 16.728 12.508 10.074 9.472 9.201
thin4 3 thin_disk 9.397940009 0 0.01471 0.1400000006 0.14 0.1733215822 2782.274658 5.104 15.619 11.798 9.665 9.063 8.791
thin4 3 thin_disk 9.397940009 0 0.01471 0.1599999964 0.16 0.1915810922 2870.119636 5.075 14.848 11.297 9.346 8.744 8.474
thin4 3 thin_disk 9.397940009 0 0.01471 0.200000003 0.2 0.2251399912 2996.40146 5.031 13.794 10.591 8.853 8.25 7.987
thin4 3 thin_disk 9.397940009 0 0.01471 0.25 0.25 0.2640296165 3111.716337 4.99 12.88 9.965 8.386 7.783 7.528
thin4 3 thin_disk 9.397940009 0 0.01471 0.3127991557 0.313 0.3129339232 3207.00768 4.939 12.122 9.395 7.917 7.31 7.064
thin4 3 thin_disk 9.397940009 0 0.01471 0.3437758088 0.344 0.3424148924 3245.637406 4.903 11.781 9.124 7.683 7.074 6.831
thin4 3 thin_disk 9.397940009 0 0.01471 0.3500000238 0.35 0.3474182632 3253.868518 4.898 11.719 9.076 7.643 7.033 6.791
thin4 3 thin_disk 9.397940009 0 0.01471 0.3575303555 0.358 0.3537957771 3267.382661 4.891 11.631 9.011 7.589 6.978 6.737
thin4 3 thin_disk 9.397940009 0 0.01471 0.371099025 0.371 0.3652183961 3290.78872 4.879 11.479 8.898 7.496 6.884 6.645
thin4 3 thin_disk 9.397940009 0 0.01471 0.4000000358 0.4 0.3887341053 3338.105052 4.858 11.18 8.674 7.313 6.698 6.462
thin4 3 thin_disk 9.397940009 0 0.01471 0.4500000179 0.45 0.4367698432 3433.207084 4.808 10.633 8.261 6.97 6.346 6.116
thin4 3 thin_disk 9.397940009 0 0.01471 0.5 0.5 0.4882616842 3552.221185 4.757 10.055 7.832 6.619 5.985 5.762
thin4 3 thin_disk 9.397940009 0 0.01471 0.5491492152 0.549 0.5390792864 3706.807218 4.711 9.429 7.39 6.268 5.621 5.41
thin4 3 thin_disk 9.397940009 0 0.01471 0.5500000119 0.55 0.5401975931 3709.368674 4.71 9.418 7.382 6.262 5.615 5.404
thin4 3 thin_disk 9.397940009 0 0.01471 0.6000000238 0.6 0.5863442152 3912.911271 4.677 8.765 6.94 5.915 5.25 5.065
thin4 3 thin_disk 9.397940009 0 0.01471 0.6499999762 0.65 0.6236668276 4169.653822 4.658 8.114 6.505 5.568 4.898 4.753
thin4 3 thin_disk 9.397940009 0 0.01471 0.7000000477 0.7 0.655771661 4453.485063 4.647 7.47 6.094 5.248 4.613 4.505
thin4 3 thin_disk 9.397940009 0 0.01471 0.7143173814 0.714 0.6639764023 4539.416167 4.645 7.288 5.978 5.162 4.55 4.449
thin4 3 thin_disk 9.397940009 0 0.01471 0.75 0.75 0.6838370781 4754.446885 4.64 6.867 5.7 4.957 4.41 4.321
thin4 3 thin_disk 9.397940009 0 0.01471 0.8000000119 0.8 0.725692517 4991.142852 4.616 6.395 5.356 4.685 4.203 4.125
thin4 3 thin_disk 9.397940009 0 0.01471 0.8466142416 0.846 0.7676312472 5205.950088 4.592 5.999 5.057 4.446 4.018 3.948
thin4 3 thin_disk 9.397940009 0 0.01471 0.8500000238 0.85 0.7709969231 5221.55672 4.59 5.972 5.036 4.429 4.004 3.935
thin4 3 thin_disk 9.397940009 0 0.01471 0.8589127064 0.858 0.779745083 5261.384003 4.585 5.901 4.981 4.384 3.969 3.901
thin4 3 thin_disk 9.397940009 0 0.01471 0.8999999762 0.899 0.8202620987 5440.013782 4.561 5.591 4.735 4.183 3.807 3.745
thin4 3 thin_disk 9.397940009 0 0.01471 0.9284406304 0.928 0.8526143638 5555.203848 4.541 5.387 4.573 4.049 3.695 3.638
thin4 3 thin_disk 9.397940009 0 0.01471 0.9499999881 0.949 0.8773091216 5642.869413 4.526 5.239 4.455 3.95 3.612 3.558
thin4 3 thin_disk 9.397940009 0 0.01471 0.9630833268 0.963 0.8938253031 5691.149576 4.516 5.152 4.383 3.888 3.559 3.507
thin4 3 thin_disk 9.397940009 0 0.01471 0.9929500222 0.993 0.933152545 5802.2976 4.492 4.956 4.223 3.75 3.439 3.392
thin4 3 thin_disk 9.397940009 0 0.01471 1 1 0.9433061043 5827.737748 4.487 4.911 4.186 3.718 3.412 3.365
thin4 3 thin_disk 9.397940009 0 0.01471 1.019366622 1.019 0.9712983363 5893.862502 4.469 4.789 4.083 3.629 3.333 3.289
thin4 3 thin_disk 9.397940009 0 0.01471 1.048980713 1.048 1.016137888 5992.389026 4.442 4.605 3.93 3.494 3.215 3.174
thin4 3 thin_disk 9.397940009 0 0.01471 1.049999952 1.049 1.018245841 5996.529852 4.441 4.599 3.925 3.489 3.21 3.17
thin4 3 thin_disk 9.397940009 0 0.01471 1.075362921 1.075 1.060846737 6074.352629 4.415 4.446 3.794 3.373 3.106 3.067
thin4 3 thin_disk 9.397940009 0 0.01471 1.100000024 1.099 1.104721089 6147.520703 4.39 4.3 3.669 3.26 3.003 2.967
thin4 3 thin_disk 9.397940009 0 0.01471 1.121340275 1.12 1.143806723 6207.260903 4.368 4.177 3.561 3.162 2.914 2.88
thin4 3 thin_disk 9.397940009 0 0.01471 1.143927097 1.143 1.188372641 6267.581645 4.343 4.048 3.449 3.059 2.82 2.787
thin4 3 thin_disk 9.397940009 0 0.01471 1.149999976 1.149 1.201579872 6283.47657 4.336 4.014 3.418 3.032 2.795 2.762
thin4 3 thin_disk 9.397940009 0 0.01471 1.176226854 1.175 1.255893015 6347.460398 4.307 3.868 3.29 2.914 2.685 2.654
