# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.0955969095 0.095 0.1330309354 2301.971805 5.168 17.883 13.644 10.99 10.401 10.105
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.1055120975 0.105 0.1439304373 2398.832919 5.141 17.521 13.294 10.641 10.053 9.755
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.1095624641 0.109 0.1482697806 2431.084196 5.132 17.394 13.172 10.519 9.932 9.633
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.1253425032 0.125 0.1646844694 2549.764088 5.099 16.943 12.735 10.083 9.498 9.197
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.145172894 0.145 0.1837607035 2661.950651 5.068 16.238 12.196 9.677 9.094 8.794
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.1650032997 0.165 0.2014896047 2745.996631 5.043 15.466 11.675 9.371 8.791 8.495
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.2046640813 0.204 0.2348294954 2872.10293 5.004 14.371 10.918 8.887 8.307 8.023
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.2542400956 0.254 0.2739382297 2978.516429 4.965 13.484 10.278 8.43 7.848 7.576
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.29498142 0.295 0.3049668576 3049.29892 4.936 12.911 9.859 8.118 7.534 7.269
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.3278774321 0.328 0.3339278527 3097.419299 4.903 12.493 9.545 7.87 7.283 7.024
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.3466308117 0.346 0.3515221087 3123.201467 4.883 12.282 9.377 7.731 7.141 6.885
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.3527475297 0.353 0.3570694091 3131.122075 4.877 12.215 9.325 7.687 7.097 6.842
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.3533920944 0.353 0.3577277614 3131.843125 4.876 12.209 9.32 7.683 7.092 6.838
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.3572404683 0.357 0.361204078 3138.340056 4.873 12.163 9.285 7.656 7.065 6.811
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.4029681087 0.403 0.3981554317 3215.881224 4.841 11.66 8.909 7.363 6.763 6.518
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.4347669482 0.434 0.4272210517 3277.177768 4.812 11.29 8.634 7.148 6.539 6.3
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.4525440931 0.452 0.4436624211 3309.786651 4.797 11.096 8.49 7.035 6.421 6.185
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.502120018 0.502 0.4930064996 3415.073067 4.751 10.549 8.073 6.704 6.074 5.845
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.5367333293 0.536 0.5289963127 3508.326469 4.718 10.13 7.762 6.463 5.82 5.598
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.5516960621 0.551 0.5449449657 3547.316998 4.704 9.956 7.635 6.363 5.715 5.496
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.601271987 0.601 0.5917695915 3723.917063 4.67 9.282 7.185 6.035 5.366 5.163
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.650848031 0.651 0.6301626298 3954.576671 4.65 8.585 6.738 5.707 5.023 4.852
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.7004240751 0.7 0.6622967819 4215.023497 4.638 7.919 6.319 5.39 4.722 4.586
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.7058363557 0.706 0.6644352194 4252.06603 4.639 7.84 6.272 5.356 4.69 4.559
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.75 0.75 0.6806951321 4550.928371 4.645 7.223 5.903 5.092 4.49 4.387
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.7774039507 0.777 0.70559037 4664.445252 4.629 6.952 5.712 4.94 4.373 4.277
thin5 4 thin_disk 9.477121255 0.25 0.025095 0.8000000119 0.8 0.7258596331 4757.732275 4.617 6.741 5.56 4.818 4.281 4.189
