# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.0955969095 0.095 0.1330615704 2303.032146 5.168 10.988 10.399 10.103 12.85 11.015 10.182
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.1055120975 0.105 0.1439635823 2399.937877 5.141 10.638 10.05 9.752 12.5 10.665 9.831
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.110334903 0.11 0.1490914178 2438.37221 5.13 10.493 9.906 9.607 12.355 10.52 9.686
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.1253425032 0.125 0.1646465538 2551.526011 5.099 10.08 9.494 9.193 11.942 10.107 9.272
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.145172894 0.145 0.1837183959 2663.790097 5.068 9.673 9.091 8.791 11.454 9.689 8.865
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.1650032997 0.165 0.2015824155 2748.526952 5.043 9.366 8.786 8.491 11.017 9.365 8.559
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.1891888529 0.189 0.2226653526 2828.134111 5.016 9.053 8.474 8.185 10.594 9.037 8.248
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.2046640813 0.204 0.2357505121 2874.749453 5 8.874 8.295 8.011 10.356 8.85 8.07
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.2173056751 0.217 0.2468042561 2903.354056 4.987 8.743 8.163 7.882 10.191 8.714 7.94
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.2542400956 0.254 0.2776851433 2980.574626 4.953 8.398 7.816 7.544 9.764 8.358 7.597
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.3038160801 0.303 0.3184583531 3064.079294 4.911 8.008 7.423 7.16 9.294 7.956 7.209
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.3291300833 0.329 0.3402927095 3100.273442 4.889 7.826 7.239 6.98 9.082 7.769 7.028
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.3533920944 0.353 0.3612872579 3132.564342 4.868 7.661 7.07 6.816 8.892 7.599 6.863
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.4029681087 0.403 0.4027658543 3215.881224 4.83 7.336 6.736 6.491 8.508 7.262 6.534
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.4174722731 0.417 0.4166320205 3244.890157 4.817 7.236 6.631 6.39 8.388 7.157 6.432
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.4525440931 0.452 0.4486964617 3312.07376 4.786 7.008 6.393 6.157 8.117 6.917 6.196
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.502120018 0.502 0.4994047225 3420.581953 4.74 6.671 6.04 5.812 7.719 6.564 5.847
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.5503590107 0.55 0.5546929483 3554.67582 4.687 6.317 5.667 5.448 7.297 6.191 5.477
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.5516960621 0.551 0.5566121023 3558.770648 4.686 6.308 5.657 5.439 7.286 6.181 5.468
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.5617732406 0.561 0.5664383445 3597.493352 4.678 6.235 5.58 5.365 7.194 6.104 5.392
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.601271987 0.601 0.6054142582 3748.003606 4.65 5.966 5.292 5.093 6.857 5.817 5.114
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.645861268 0.646 0.6415827 3973.745051 4.631 5.653 4.966 4.799 6.467 5.492 4.813
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.650848031 0.651 0.6454351971 3998.526697 4.629 5.618 4.933 4.768 6.426 5.458 4.783
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.7004240751 0.7 0.6814792627 4281.539943 4.614 5.278 4.613 4.487 6.014 5.124 4.496
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.735352993 0.735 0.7018634791 4520.640796 4.61 5.047 4.436 4.331 5.719 4.913 4.338
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.75 0.75 0.7104812888 4621.681361 4.607 4.952 4.372 4.274 5.598 4.831 4.279
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.7766373158 0.776 0.7388438196 4745.696932 4.588 4.786 4.245 4.152 5.399 4.68 4.157
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.8000000119 0.8 0.7651606807 4855.120352 4.57 4.642 4.133 4.046 5.227 4.548 4.05
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.8123396635 0.812 0.7804635856 4913.602273 4.56 4.566 4.073 3.988 5.136 4.477 3.992
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.8351938128 0.835 0.8088214213 5022.269342 4.541 4.425 3.961 3.881 4.97 4.346 3.884
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.8500000238 0.849 0.8286147214 5092.136068 4.528 4.335 3.888 3.811 4.863 4.262 3.814
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.8510558605 0.85 0.8295692487 5098.001982 4.527 4.328 3.883 3.805 4.855 4.256 3.809
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.872526288 0.872 0.8608998752 5195.17283 4.505 4.193 3.772 3.698 4.699 4.129 3.702
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.8927186131 0.892 0.8936195159 5284.452518 4.483 4.066 3.665 3.595 4.552 4.008 3.598
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.8999999762 0.899 0.9056338459 5316.183951 4.475 4.021 3.627 3.558 4.5 3.965 3.561
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9000335932 0.899 0.9052168821 5317.408188 4.475 4.021 3.627 3.557 4.5 3.965 3.561
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9125336409 0.912 0.9290790022 5367.84541 4.459 3.939 3.556 3.489 4.408 3.887 3.492
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9250071645 0.924 0.9535701437 5418.761045 4.442 3.859 3.486 3.421 4.317 3.809 3.424
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9365984797 0.936 0.9780310547 5462.607542 4.425 3.782 3.418 3.355 4.231 3.735 3.358
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9480504394 0.947 1.003581495 5505.540985 4.408 3.706 3.351 3.289 4.147 3.662 3.292
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9500000477 0.949 1.008213817 5511.883123 4.405 3.693 3.339 3.278 4.133 3.649 3.281
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9585706592 0.958 1.030273774 5541.15119 4.391 3.635 3.286 3.226 4.069 3.593 3.229
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9686387181 0.968 1.056702281 5573.140605 4.373 3.566 3.222 3.164 3.994 3.525 3.167
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9783065915 0.978 1.082810965 5601.444019 4.356 3.499 3.161 3.104 3.922 3.46 3.106
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9882716537 0.988 1.111866499 5627.29911 4.337 3.43 3.097 3.041 3.848 3.392 3.043
thin7 6 thin_disk 9.937318452 0.25 0.025095 0.9978404045 0.997 1.143806723 5648.069082 4.318 3.362 3.033 2.977 3.776 3.325 2.98
thin7 6 thin_disk 9.937318452 0.25 0.025095 1 1 1.14961559 5653.273543 4.313 3.346 3.018 2.963 3.76 3.31 2.965
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.007947683 1.007 1.178019949 5668.915715 4.296 3.287 2.961 2.907 3.698 3.251 2.909
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.02041316 1.02 1.22843631 5693.771051 4.265 3.187 2.866 2.813 3.594 3.153 2.815
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.028945684 1.028 1.267221827 5706.896549 4.242 3.115 2.796 2.743 3.519 3.081 2.745
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.04060626 1.039 1.326638647 5717.418729 4.207 3.011 2.694 2.641 3.414 2.978 2.644
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.049656391 1.048 1.3789631 5718.735365 4.177 2.926 2.609 2.556 3.328 2.892 2.559
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.049999952 1.049 1.381187518 5717.418729 4.175 2.922 2.605 2.553 3.325 2.889 2.555
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.057805061 1.056 1.434672074 5710.840095 4.145 2.842 2.524 2.471 3.246 2.809 2.474
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.060655594 1.059 1.456641386 5706.896549 4.134 2.812 2.493 2.44 3.217 2.778 2.443
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.067863226 1.066 1.51933186 5681.983916 4.1 2.73 2.407 2.353 3.14 2.695 2.355
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.075327873 1.074 1.596807798 5638.972803 4.06 2.641 2.31 2.254 3.058 2.604 2.256
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.083035827 1.081 1.698840652 5552.646171 4.009 2.545 2.197 2.138 2.98 2.503 2.14
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.089195848 1.087 1.803651573 5426.252513 3.959 2.474 2.1 2.036 2.935 2.425 2.039
