# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.0900000036 0.09 0.1118285374 2545.657664 5.293 10.887 10.433 10.234 12.475 10.98 10.305
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.0922942311 0.092 0.1145915635 2588.212915 5.282 10.762 10.308 10.107 12.351 10.856 10.179
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.1000000015 0.1 0.1240088399 2726.465459 5.248 10.421 9.938 9.721 11.875 10.476 9.787
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.1199999973 0.12 0.145496533 2936.973311 5.189 9.845 9.325 9.094 11.09 9.845 9.151
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.1400000006 0.14 0.1646465538 3071.142726 5.148 9.439 8.904 8.671 10.577 9.412 8.723
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.1599999964 0.16 0.1826638659 3165.920463 5.116 9.12 8.577 8.346 10.195 9.079 8.394
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.1999999881 0.2 0.2169464984 3299.134338 5.063 8.62 8.068 7.842 9.622 8.561 7.884
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.2206202298 0.221 0.2345052904 3345.800179 5.038 8.407 7.852 7.627 9.386 8.343 7.668
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.25 0.25 0.2590315384 3407.218617 5.007 8.135 7.576 7.354 9.087 8.064 7.392
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.3000000119 0.3 0.2989872336 3483.37315 4.961 7.753 7.187 6.969 8.675 7.673 7.004
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.3130899966 0.313 0.3099221705 3501.063598 4.949 7.661 7.093 6.875 8.575 7.578 6.91
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.3499999642 0.35 0.3399794327 3548.950974 4.917 7.418 6.845 6.63 8.314 7.33 6.662
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.3999999762 0.4 0.3845498487 3644.181508 4.867 7.069 6.487 6.275 7.933 6.97 6.303
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.4499999881 0.45 0.4357653004 3768.773174 4.81 6.695 6.101 5.895 7.519 6.583 5.918
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.4999999404 0.5 0.4897254172 3945.481397 4.755 6.299 5.687 5.498 7.075 6.171 5.515
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.5500000119 0.55 0.5431910991 4203.393032 4.705 5.865 5.227 5.082 6.59 5.721 5.093
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.5958385468 0.595 0.583919051 4486.420744 4.678 5.5 4.885 4.777 6.17 5.364 4.784
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.5999999642 0.6 0.5872900525 4512.321133 4.675 5.469 4.86 4.754 6.133 5.335 4.761
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.6499999166 0.65 0.6279898795 4865.19218 4.653 5.102 4.583 4.5 5.68 5.002 4.505
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.6591121554 0.659 0.636286406 4926.063433 4.647 5.038 4.536 4.455 5.6 4.944 4.46
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.6780285239 0.678 0.6544140951 5051.263219 4.635 4.906 4.437 4.361 5.439 4.823 4.366
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.6960684061 0.696 0.6729032794 5171.303179 4.622 4.783 4.343 4.272 5.29 4.71 4.276
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.6999999881 0.7 0.6769438466 5197.565847 4.619 4.757 4.322 4.252 5.258 4.686 4.256
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7064682841 0.706 0.6839945555 5239.622519 4.615 4.713 4.288 4.22 5.205 4.645 4.223
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7225444317 0.722 0.7017018877 5345.643594 4.601 4.603 4.202 4.137 5.074 4.543 4.14
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7373055816 0.737 0.7195361943 5442.519578 4.589 4.503 4.122 4.06 4.955 4.449 4.063
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7487857342 0.749 0.7340956403 5516.962094 4.578 4.425 4.058 3.999 4.864 4.375 4.002
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7595626116 0.759 0.7510219752 5578.276021 4.565 4.35 3.994 3.937 4.778 4.303 3.94
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7727318406 0.772 0.7722406253 5651.971978 4.547 4.257 3.913 3.859 4.672 4.214 3.862
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7848263383 0.784 0.7935104397 5718.735365 4.531 4.17 3.837 3.786 4.575 4.13 3.789
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7963664532 0.796 0.8153660883 5779.629512 4.513 4.086 3.763 3.714 4.481 4.049 3.717
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.7975714207 0.797 0.8181871319 5786.287388 4.511 4.078 3.755 3.707 4.472 4.041 3.709
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.8004993796 0.8 0.8234792207 5800.961725 4.507 4.056 3.736 3.687 4.448 4.02 3.69
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.8128128052 0.812 0.8512412188 5858.683001 4.485 3.962 3.651 3.605 4.346 3.929 3.607
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.8251585364 0.824 0.8817645706 5914.254378 4.461 3.866 3.563 3.519 4.241 3.835 3.521
thin7 6 thin_disk 9.937016107 -0.5 0.0048313 0.8362299204 0.835 0.9106524175 5962.110214 4.439 3.777 3.481 3.439 4.146 3.748 3.442
