# downloaded from PARSEC/CMD via ezpadova
# component=NSD family=NSD component_index=9 logAge=9.8451 MH=-0.25 photometric_system=ubvrijhk
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.0084736 -0.25 9.8451 0.0900000036 1.081689593 0.09 -3.374 3.3847 5.257 1 0 0.545 0 0 0 0 0 -1 -4.17e-17 0 0.7265 0.2649 0.001532 0.0004131 0.003747 -1 0.008515 13.205 22.547 19.834 17.925 15.693 13.421 11.092 10.541 10.28
0.0084736 -0.25 9.8451 0.1000000015 1.171106412 0.1 -3.175 3.4136 5.22 1 0 0.545 0 0 0 0 0 -1 -6.53e-17 0 0.7262 0.2653 0.001532 0.0004131 0.003747 -1 0.008515 12.708 21.981 19.307 17.408 15.191 12.925 10.597 10.045 9.78
0.0084736 -0.25 9.8451 0.1200000048 1.319315474 0.12 -2.91 3.4465 5.166 1 0 0.545 0 0 0 0 0 -1 -1.17e-16 0 0.7254 0.266 0.001532 0.0004131 0.003747 -1 0.008515 12.046 19.76 17.566 15.791 13.953 11.948 10.014 9.441 9.162
0.0084736 -0.25 9.8451 0.1400000006 1.438452672 0.14 -2.727 3.4659 5.127 1 0 0.545 0 0 0 0 0 -1 -1.72e-16 0 0.7248 0.2667 0.001532 0.0004131 0.003747 -1 0.008515 11.588 18.403 16.466 14.757 13.142 11.321 9.607 9.025 8.745
0.0084736 -0.25 9.8451 0.1599999964 1.537293155 0.16 -2.584 3.4795 5.096 1 0 0.545 0 0 0 0 0 -1 -2.32e-16 0 0.7243 0.2672 0.001532 0.0004131 0.003747 -1 0.008516 11.231 17.482 15.7 14.034 12.556 10.866 9.286 8.698 8.422
0.0084736 -0.25 9.8451 0.200000003 1.693879086 0.2 -2.366 3.4977 5.048 1 0 0.545 0 0 0 0 0 -1 -3.62e-16 0 0.7233 0.2682 0.001532 0.0004131 0.003747 -1 0.008515 10.686 16.264 14.661 13.044 11.721 10.215 8.791 8.197 7.929
0.0084736 -0.25 9.8451 0.2150874585 1.742690269 0.215 -2.299 3.5026 5.032 1 0 0.545 0 0 0 0 0 -1 -4.15e-16 0 0.7231 0.2684 0.001532 0.0004131 0.003747 -1 0.008515 10.517 15.941 14.377 12.776 11.488 10.024 8.635 8.04 7.774
0.0084736 -0.25 9.8451 0.25 1.8403258 0.25 -2.159 3.5125 4.998 1 0 0.545 0 0 0 0 0 -1 -5.52e-16 0 0.7226 0.2689 0.001532 0.0004131 0.003747 -1 0.008515 10.169 15.296 13.807 12.235 11.011 9.635 8.312 7.714 7.455
0.0084736 -0.25 9.8451 0.3000000119 1.952913977 0.3 -1.994 3.5229 4.953 1 0 0.545 0 0 0 0 0 -1 -7.75e-16 0 0.7222 0.2693 0.001531 0.0004131 0.003747 -1 0.008515 9.755 14.615 13.187 11.647 10.478 9.186 7.926 7.322 7.07
0.0084736 -0.25 9.8451 0.3140653968 1.98025312 0.314 -1.95 3.5255 4.939 1 0 0.545 0 0 0 0 0 -1 -8.52e-16 0 0.7239 0.2676 0.001531 0.0004131 0.003747 -1 0.008515 9.645 14.445 13.029 11.498 10.342 9.068 7.822 7.216 6.967
0.0084736 -0.25 9.8451 0.3500000536 2.043417562 0.35 -1.844 3.5315 4.905 1 0 0.545 0 0 0 0 0 -1 -1.07e-15 0 0.7272 0.2642 0.001532 0.0004131 0.003747 -1 0.008515 9.381 14.046 12.658 11.147 10.019 8.787 7.573 6.964 6.718
0.0084736 -0.25 9.8451 0.4000000358 2.118502481 0.4 -1.695 3.5426 4.858 1 0 0.545 0 0 0 0 0 -1 -1.49e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 9.009 13.461 12.108 10.63 9.546 8.389 7.23 6.612 6.375
0.0084736 -0.25 9.8451 0.4194330871 2.144461836 0.419 -1.631 3.5481 4.836 1 0 0.545 0 0 0 0 0 -1 -1.73e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 8.848 13.207 11.867 10.403 9.338 8.218 7.084 6.462 6.228
0.0084736 -0.25 9.8451 0.4500000179 2.182280936 0.45 -1.536 3.5562 4.804 1 0 0.545 0 0 0 0 0 -1 -2.16e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 8.61 12.839 11.514 10.069 9.031 7.965 6.868 6.24 6.012
0.0084736 -0.25 9.8451 0.5 2.237454153 0.5 -1.366 3.5738 4.751 1 0 0.545 0 0 0 0 0 -1 -3.22e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 8.186 12.166 10.86 9.449 8.462 7.517 6.495 5.853 5.639
0.0084736 -0.25 9.8451 0.5142492056 2.251676296 0.514 -1.312 3.5806 4.735 1 0 0.545 0 0 0 0 0 -1 -3.67e-15 0 0.7328 0.2589 0.001503 0.0004056 0.003679 -1 0.008363 8.05 11.942 10.641 9.245 8.275 7.372 6.377 5.73 5.523
0.0084736 -0.25 9.8451 0.5500000119 2.283658263 0.55 -1.182 3.5967 4.699 1 0 0.545 0 0 0 0 0 -1 -4.98e-15 0 0.7449 0.2471 0.00144 0.0003886 0.003525 -1 0.008026 7.725 11.419 10.132 8.778 7.848 7.036 6.096 5.433 5.248
0.0084736 -0.25 9.8451 0.6000000238 2.321121326 0.6 -1.002 3.6244 4.668 1 0 0.544 0 0 0 0 0 -1 -7.48e-15 0 0.7476 0.2445 0.001427 0.0003851 0.003494 -1 0.007958 7.276 10.634 9.362 8.111 7.256 6.573 5.711 5.033 4.895
0.0084736 -0.25 9.8451 0.6147656441 2.330853252 0.615 -0.948 3.634 4.662 1 0 0.544 0 0 0 0 0 -1 -8.43e-15 0 0.7483 0.2438 0.001423 0.0003841 0.003485 -1 0.007926 7.14 10.359 9.104 7.898 7.074 6.433 5.598 4.925 4.802
0.0084736 -0.25 9.8451 0.6499999762 2.352035311 0.65 -0.823 3.6562 4.65 1 0 0.544 0 0 0 0 0 -1 -1.11e-14 0 0.7501 0.2421 0.001415 0.0003819 0.003465 -1 0.007841 6.826 9.613 8.489 7.402 6.661 6.111 5.345 4.711 4.614
0.0084736 -0.25 9.8451 0.6597483158 2.357438221 0.66 -0.789 3.6621 4.646 1 0 0.544 0 0 0 0 0 -1 -1.19e-14 0 0.7506 0.2416 0.001412 0.0003812 0.003459 -1 0.007832 6.742 9.394 8.326 7.27 6.553 6.024 5.278 4.659 4.567
0.0084736 -0.25 9.8451 0.7000001073 2.377926754 0.7 -0.652 3.6857 4.63 1 0 0.544 0 0 0 0 0 -1 -1.62e-14 0 0.7528 0.2394 0.001402 0.0003784 0.003434 -1 0.007796 6.4 8.534 7.71 6.767 6.143 5.674 5.011 4.464 4.386
0.0084736 -0.25 9.8451 0.7081196308 2.381736329 0.708 -0.625 3.6902 4.626 1 0 0.543 0 0 0 0 0 -1 -1.72e-14 0 0.7533 0.2389 0.001396 0.0003776 0.003428 -1 0.007782 6.333 8.377 7.597 6.672 6.066 5.606 4.958 4.425 4.349
