# downloaded from PARSEC/CMD via ezpadova
# component=NSD family=NSD component_index=9 logAge=9.8451 MH=0.25 photometric_system=roman2021
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.025095 0.25 9.8451 0.0955969095 1.133236387 0.095 -3.349 3.3622 5.168 1 0 0.545 0 0 0 0 0 -1 -4.76e-17 0 0.6794 0.295 0.004602 0.001242 0.01126 -1 0.0256 13.142 16.226 12.85 11.657 11.005 10.585 10.44 11.016 10.183 11.407 10.911 10.558
0.025095 0.25 9.8451 0.1055120975 1.21556776 0.105 -3.209 3.3802 5.141 1 0 0.545 0 0 0 0 0 -1 -6.45e-17 0 0.6792 0.2952 0.004602 0.001242 0.01126 -1 0.0256 12.791 15.87 12.501 11.306 10.655 10.236 10.089 10.666 9.832 11.058 10.562 10.207
0.025095 0.25 9.8451 0.1253425032 1.353540291 0.125 -2.985 3.4067 5.099 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.6787 0.2957 0.004602 0.001242 0.01126 -1 0.0256 12.232 15.303 11.943 10.746 10.097 9.681 9.53 10.108 9.273 10.5 10.004 9.648
0.025095 0.25 9.8451 0.145172894 1.465702437 0.145 -2.815 3.4254 5.068 1 0 0.545 0 0 0 0 0 -1 -1.48e-16 0 0.6783 0.2961 0.004602 0.001242 0.01126 -1 0.0256 11.808 14.657 11.456 10.319 9.683 9.268 9.112 9.691 8.866 10.078 9.59 9.23
0.025095 0.25 9.8451 0.1650032997 1.559528955 0.165 -2.681 3.4389 5.043 1 0 0.545 0 0 0 0 0 -1 -1.95e-16 0 0.6779 0.2965 0.004602 0.001242 0.01126 -1 0.0256 11.472 13.988 11.02 9.979 9.365 8.951 8.789 9.367 8.561 9.746 9.271 8.905
0.025095 0.25 9.8451 0.2046640813 1.709466363 0.204 -2.467 3.4585 5.001 1 0 0.545 0 0 0 0 0 -1 -2.99e-16 0 0.6771 0.2973 0.004602 0.001242 0.01126 -1 0.0256 10.939 13.024 10.361 9.447 8.86 8.445 8.279 8.854 8.074 9.22 8.764 8.392
0.025095 0.25 9.8451 0.2542400956 1.850971178 0.254 -2.265 3.4742 4.957 1 0 0.545 0 0 0 0 0 -1 -4.5e-16 0 0.6765 0.2979 0.004602 0.001242 0.01126 -1 0.0256 10.433 12.228 9.774 8.948 8.379 7.961 7.795 8.368 7.607 8.722 8.281 7.906
0.025095 0.25 9.8451 0.3086011112 1.969824745 0.308 -2.083 3.4873 4.911 1 0 0.545 0 0 0 0 0 -1 -6.49e-16 0 0.6769 0.2975 0.004602 0.001242 0.01126 -1 0.0256 9.978 11.547 9.265 8.503 7.947 7.526 7.358 7.931 7.186 8.277 7.847 7.468
0.025095 0.25 9.8451 0.3353780806 2.018780217 0.335 -2.001 3.4926 4.887 0 0 0.545 0 0 0 0 0 -1 -7.64e-16 0 0.679 0.2954 0.004602 0.001242 0.01126 -1 0.0256 9.773 11.261 9.04 8.302 7.751 7.328 7.159 7.733 6.993 8.075 7.65 7.268
0.025095 0.25 9.8451 0.3533920944 2.048942254 0.353 -1.948 3.4959 4.87 0 0 0.545 0 0 0 0 0 -1 -8.72e-16 0 0.68 0.2944 0.004602 0.001242 0.01126 -1 0.0256 9.641 11.086 8.898 8.173 7.625 7.2 7.031 7.605 6.868 7.945 7.523 7.139
