# downloaded from PARSEC/CMD via ezpadova
# component=NSD family=NSD component_index=9 logAge=9.8451 MH=0.25 photometric_system=twomass
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Jmag Hmag Ksmag
0.025095 0.25 9.8451 0.0955969095 1.133236387 0.095 -3.349 3.3622 5.168 1 0 0.545 0 0 0 0 0 -1 -4.76e-17 0 0.6794 0.295 0.004602 0.001242 0.01126 -1 0.0256 13.142 10.989 10.4 10.104
0.025095 0.25 9.8451 0.1055120975 1.21556776 0.105 -3.209 3.3802 5.141 1 0 0.545 0 0 0 0 0 -1 -6.45e-17 0 0.6792 0.2952 0.004602 0.001242 0.01126 -1 0.0256 12.791 10.639 10.051 9.753
0.025095 0.25 9.8451 0.1253425032 1.353540291 0.125 -2.985 3.4067 5.099 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.6787 0.2957 0.004602 0.001242 0.01126 -1 0.0256 12.232 10.081 9.495 9.194
0.025095 0.25 9.8451 0.145172894 1.465702437 0.145 -2.815 3.4254 5.068 1 0 0.545 0 0 0 0 0 -1 -1.48e-16 0 0.6783 0.2961 0.004602 0.001242 0.01126 -1 0.0256 11.808 9.674 9.092 8.792
0.025095 0.25 9.8451 0.1650032997 1.559528955 0.165 -2.681 3.4389 5.043 1 0 0.545 0 0 0 0 0 -1 -1.95e-16 0 0.6779 0.2965 0.004602 0.001242 0.01126 -1 0.0256 11.472 9.368 8.788 8.493
0.025095 0.25 9.8451 0.2046640813 1.709466363 0.204 -2.467 3.4585 5.001 1 0 0.545 0 0 0 0 0 -1 -2.99e-16 0 0.6771 0.2973 0.004602 0.001242 0.01126 -1 0.0256 10.939 8.878 8.299 8.015
0.025095 0.25 9.8451 0.2542400956 1.850971178 0.254 -2.265 3.4742 4.957 1 0 0.545 0 0 0 0 0 -1 -4.5e-16 0 0.6765 0.2979 0.004602 0.001242 0.01126 -1 0.0256 10.433 8.407 7.826 7.553
0.025095 0.25 9.8451 0.3086011112 1.969824745 0.308 -2.083 3.4873 4.911 1 0 0.545 0 0 0 0 0 -1 -6.49e-16 0 0.6769 0.2975 0.004602 0.001242 0.01126 -1 0.0256 9.978 7.984 7.399 7.137
0.025095 0.25 9.8451 0.3353780806 2.018780217 0.335 -2.001 3.4926 4.887 0 0 0.545 0 0 0 0 0 -1 -7.64e-16 0 0.679 0.2954 0.004602 0.001242 0.01126 -1 0.0256 9.773 7.791 7.203 6.945
0.025095 0.25 9.8451 0.3533920944 2.048942254 0.353 -1.948 3.4959 4.87 0 0 0.545 0 0 0 0 0 -1 -8.72e-16 0 0.68 0.2944 0.004602 0.001242 0.01126 -1 0.0256 9.641 7.667 7.076 6.822
0.025095 0.25 9.8451 0.4029681087 2.122572238 0.403 -1.808 3.5073 4.832 1 0 0.545 0 0 0 0 0 -1 -1.18e-15 0 0.6802 0.2942 0.004602 0.001242 0.01126 -1 0.0256 9.29 7.342 6.742 6.497
0.025095 0.25 9.8451 0.4033249915 2.123058962 0.403 -1.807 3.5074 4.832 1 0 0.545 0 0 0 0 0 -1 -1.18e-15 0 0.6802 0.2942 0.004602 0.001242 0.01126 -1 0.0256 9.287 7.34 6.74 6.495
0.025095 0.25 9.8451 0.4525440931 2.185277485 0.452 -1.664 3.5199 4.789 1 0 0.545 0 0 0 0 0 -1 -1.63e-15 0 0.6803 0.2941 0.004602 0.001242 0.01126 -1 0.0256 8.93 7.014 6.4 6.164
0.025095 0.25 9.8451 0.502120018 2.239628983 0.502 -1.516 3.5338 4.742 1 0 0.545 0 0 0 0 0 -1 -2.3e-15 0 0.6809 0.2935 0.004593 0.001239 0.01124 -1 0.02555 8.561 6.68 6.049 5.821
