# downloaded from PARSEC/CMD via ezpadova
# component=NSD family=NSD component_index=9 logAge=9.8451 MH=0.25 photometric_system=ubvrijhk
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.025095 0.25 9.8451 0.0955969095 1.133236387 0.095 -3.349 3.3622 5.168 1 0 0.545 0 0 0 0 0 -1 -4.76e-17 0 0.6794 0.295 0.004602 0.001242 0.01126 -1 0.0256 13.142 21.941 19.642 17.882 15.842 13.642 11.047 10.446 10.12
0.025095 0.25 9.8451 0.1055120975 1.21556776 0.105 -3.209 3.3802 5.141 1 0 0.545 0 0 0 0 0 -1 -6.45e-17 0 0.6792 0.2952 0.004602 0.001242 0.01126 -1 0.0256 12.791 21.54 19.27 17.519 15.487 13.292 10.697 10.097 9.769
0.025095 0.25 9.8451 0.1253425032 1.353540291 0.125 -2.985 3.4067 5.099 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.6787 0.2957 0.004602 0.001242 0.01126 -1 0.0256 12.232 20.902 18.678 16.94 14.922 12.733 10.139 9.542 9.21
0.025095 0.25 9.8451 0.145172894 1.465702437 0.145 -2.815 3.4254 5.068 1 0 0.545 0 0 0 0 0 -1 -1.48e-16 0 0.6783 0.2961 0.004602 0.001242 0.01126 -1 0.0256 11.808 19.986 17.923 16.226 14.308 12.189 9.733 9.137 8.806
0.025095 0.25 9.8451 0.1650032997 1.559528955 0.165 -2.681 3.4389 5.043 1 0 0.545 0 0 0 0 0 -1 -1.95e-16 0 0.6779 0.2965 0.004602 0.001242 0.01126 -1 0.0256 11.472 18.947 17.089 15.455 13.682 11.668 9.426 8.83 8.506
0.025095 0.25 9.8451 0.2046640813 1.709466363 0.204 -2.467 3.4585 5.001 1 0 0.545 0 0 0 0 0 -1 -2.99e-16 0 0.6771 0.2973 0.004602 0.001242 0.01126 -1 0.0256 10.939 17.536 15.914 14.353 12.764 10.905 8.935 8.338 8.026
0.025095 0.25 9.8451 0.2542400956 1.850971178 0.254 -2.265 3.4742 4.957 1 0 0.545 0 0 0 0 0 -1 -4.5e-16 0 0.6765 0.2979 0.004602 0.001242 0.01126 -1 0.0256 10.433 16.441 14.965 13.456 11.992 10.253 8.464 7.864 7.565
0.025095 0.25 9.8451 0.3086011112 1.969824745 0.308 -2.083 3.4873 4.911 1 0 0.545 0 0 0 0 0 -1 -6.49e-16 0 0.6769 0.2975 0.004602 0.001242 0.01126 -1 0.0256 9.978 15.56 14.179 12.698 11.327 9.696 8.04 7.435 7.149
0.025095 0.25 9.8451 0.3353780806 2.018780217 0.335 -2.001 3.4926 4.887 0 0 0.545 0 0 0 0 0 -1 -7.64e-16 0 0.679 0.2954 0.004602 0.001242 0.01126 -1 0.0256 9.773 15.199 13.851 12.383 11.045 9.455 7.846 7.239 6.958
0.025095 0.25 9.8451 0.3533920944 2.048942254 0.353 -1.948 3.4959 4.87 0 0 0.545 0 0 0 0 0 -1 -8.72e-16 0 0.68 0.2944 0.004602 0.001242 0.01126 -1 0.0256 9.641 14.977 13.648 12.191 10.874 9.303 7.722 7.112 6.835
