# downloaded from PARSEC/CMD via ezpadova
# component=bar family=bar component_index=8 logAge=9.95424 MH=-0.25 photometric_system=roman2021
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.0084736 -0.25 9.95424 0.0900000036 1.081689593 0.09 -3.373 3.3848 5.257 1 0 0.545 0 0 0 0 0 -1 -4.18e-17 0 0.7262 0.2652 0.001532 0.0004131 0.003747 -1 0.008515 13.203 16.061 12.728 11.68 11.06 10.674 10.574 11.087 10.336 11.452 10.982 10.68
0.0084736 -0.25 9.95424 0.1000000015 1.171106412 0.1 -3.174 3.4138 5.219 1 0 0.545 0 0 0 0 0 -1 -6.54e-17 0 0.7258 0.2657 0.001532 0.0004131 0.003747 -1 0.008516 12.706 15.555 12.233 11.183 10.565 10.179 10.075 10.591 9.836 10.957 10.486 10.182
0.0084736 -0.25 9.95424 0.1200000048 1.319315474 0.12 -2.91 3.4466 5.165 1 0 0.545 0 0 0 0 0 -1 -1.17e-16 0 0.7248 0.2666 0.001532 0.0004131 0.003747 -1 0.008515 12.045 14.23 11.409 10.534 9.953 9.553 9.423 9.96 9.211 10.311 9.865 9.53
0.0084736 -0.25 9.95424 0.1400000006 1.438452672 0.14 -2.726 3.4661 5.126 1 0 0.545 0 0 0 0 0 -1 -1.73e-16 0 0.7241 0.2674 0.001532 0.0004131 0.003747 -1 0.008515 11.586 13.385 10.863 10.09 9.531 9.124 8.982 9.527 8.789 9.867 9.439 9.089
0.0084736 -0.25 9.95424 0.1528674662 1.503982258 0.153 -2.632 3.475 5.106 1 0 0.545 0 0 0 0 0 -1 -2.1e-16 0 0.7236 0.2679 0.001532 0.0004131 0.003747 -1 0.008515 11.35 12.987 10.593 9.863 9.313 8.904 8.758 9.305 8.573 9.639 9.219 8.864
0.0084736 -0.25 9.95424 0.1599999964 1.537293155 0.16 -2.583 3.4796 5.096 1 0 0.545 0 0 0 0 0 -1 -2.32e-16 0 0.7233 0.2681 0.001532 0.0004131 0.003747 -1 0.008515 11.228 12.783 10.454 9.745 9.201 8.79 8.642 9.19 8.461 9.521 9.105 8.747
0.0084736 -0.25 9.95424 0.1991589218 1.691017888 0.199 -2.368 3.4976 5.047 1 0 0.545 0 0 0 0 0 -1 -3.62e-16 0 0.7222 0.2693 0.001532 0.0004131 0.003747 -1 0.008515 10.689 11.945 9.864 9.228 8.701 8.286 8.131 8.683 7.967 9.004 8.602 8.235
0.0084736 -0.25 9.95424 0.200000003 1.693879086 0.2 -2.364 3.4979 5.046 1 0 0.545 0 0 0 0 0 -1 -3.65e-16 0 0.7222 0.2693 0.001532 0.0004131 0.003747 -1 0.008515 10.679 11.93 9.853 9.218 8.691 8.276 8.121 8.673 7.958 8.994 8.592 8.225
0.0084736 -0.25 9.95424 0.25 1.8403258 0.25 -2.154 3.5126 4.993 1 0 0.545 0 0 0 0 0 -1 -5.61e-16 0 0.7214 0.2701 0.001532 0.0004131 0.003747 -1 0.008515 10.156 11.206 9.3 8.714 8.2 7.782 7.621 8.176 7.471 8.489 8.098 7.724
0.0084736 -0.25 9.95424 0.3000000119 1.952913977 0.3 -1.988 3.523 4.947 1 0 0.545 0 0 0 0 0 -1 -7.91e-16 0 0.7211 0.2704 0.001531 0.0004131 0.003747 -1 0.008515 9.741 10.668 8.87 8.314 7.808 7.386 7.221 7.779 7.081 8.088 7.703 7.323
