# downloaded from PARSEC/CMD via ezpadova
# component=bar family=bar component_index=8 logAge=9.95424 MH=-0.25 photometric_system=ubvrijhk
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.0084736 -0.25 9.95424 0.0900000036 1.081689593 0.09 -3.373 3.3848 5.257 1 0 0.545 0 0 0 0 0 -1 -4.18e-17 0 0.7262 0.2652 0.001532 0.0004131 0.003747 -1 0.008515 13.203 22.545 19.832 17.924 15.692 13.419 11.091 10.539 10.279
0.0084736 -0.25 9.95424 0.1000000015 1.171106412 0.1 -3.174 3.4138 5.219 1 0 0.545 0 0 0 0 0 -1 -6.54e-17 0 0.7258 0.2657 0.001532 0.0004131 0.003747 -1 0.008516 12.706 21.98 19.306 17.407 15.189 12.923 10.596 10.044 9.778
0.0084736 -0.25 9.95424 0.1200000048 1.319315474 0.12 -2.91 3.4466 5.165 1 0 0.545 0 0 0 0 0 -1 -1.17e-16 0 0.7248 0.2666 0.001532 0.0004131 0.003747 -1 0.008515 12.045 19.753 17.56 15.786 13.95 11.945 10.013 9.44 9.16
0.0084736 -0.25 9.95424 0.1400000006 1.438452672 0.14 -2.726 3.4661 5.126 1 0 0.545 0 0 0 0 0 -1 -1.73e-16 0 0.7241 0.2674 0.001532 0.0004131 0.003747 -1 0.008515 11.586 18.396 16.46 14.752 13.137 11.318 9.606 9.023 8.743
0.0084736 -0.25 9.95424 0.1528674662 1.503982258 0.153 -2.632 3.475 5.106 1 0 0.545 0 0 0 0 0 -1 -2.1e-16 0 0.7236 0.2679 0.001532 0.0004131 0.003747 -1 0.008515 11.35 17.784 15.953 14.273 12.75 11.017 9.394 8.807 8.53
0.0084736 -0.25 9.95424 0.1599999964 1.537293155 0.16 -2.583 3.4796 5.096 1 0 0.545 0 0 0 0 0 -1 -2.32e-16 0 0.7233 0.2681 0.001532 0.0004131 0.003747 -1 0.008515 11.228 17.473 15.693 14.027 12.551 10.862 9.284 8.696 8.42
0.0084736 -0.25 9.95424 0.1991589218 1.691017888 0.199 -2.368 3.4976 5.047 1 0 0.545 0 0 0 0 0 -1 -3.62e-16 0 0.7222 0.2693 0.001532 0.0004131 0.003747 -1 0.008515 10.689 16.273 14.669 13.051 11.728 10.22 8.794 8.2 7.932
0.0084736 -0.25 9.95424 0.200000003 1.693879086 0.2 -2.364 3.4979 5.046 1 0 0.545 0 0 0 0 0 -1 -3.65e-16 0 0.7222 0.2693 0.001532 0.0004131 0.003747 -1 0.008515 10.679 16.251 14.65 13.034 11.712 10.208 8.785 8.191 7.923
0.0084736 -0.25 9.95424 0.25 1.8403258 0.25 -2.154 3.5126 4.993 1 0 0.545 0 0 0 0 0 -1 -5.61e-16 0 0.7214 0.2701 0.001532 0.0004131 0.003747 -1 0.008515 10.156 15.279 13.791 12.22 10.997 9.621 8.3 7.701 7.442
0.0084736 -0.25 9.95424 0.3000000119 1.952913977 0.3 -1.988 3.523 4.947 1 0 0.545 0 0 0 0 0 -1 -7.91e-16 0 0.7211 0.2704 0.001531 0.0004131 0.003747 -1 0.008515 9.741 14.598 13.171 11.632 10.464 9.171 7.911 7.307 7.056
0.0084736 -0.25 9.95424 0.3500000536 2.043417562 0.35 -1.841 3.5316 4.902 1 0 0.545 0 0 0 0 0 -1 -1.08e-15 0 0.7272 0.2643 0.001532 0.0004131 0.003747 -1 0.008515 9.373 14.036 12.649 11.139 10.011 8.78 7.566 6.956 6.711
0.0084736 -0.25 9.95424 0.4000000358 2.118502481 0.4 -1.692 3.5428 4.855 1 0 0.545 0 0 0 0 0 -1 -1.51e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008516 9 13.45 12.098 10.62 9.536 8.38 7.221 6.603 6.366
0.0084736 -0.25 9.95424 0.4500000179 2.182280936 0.45 -1.532 3.5565 4.801 1 0 0.545 0 0 0 0 0 -1 -2.19e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 8.599 12.823 11.499 10.054 9.017 7.954 6.858 6.229 6.001
0.0084736 -0.25 9.95424 0.5 2.237454153 0.5 -1.36 3.5744 4.747 1 0 0.545 0 0 0 0 0 -1 -3.28e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 8.17 12.142 10.837 9.428 8.442 7.5 6.481 5.838 5.625
0.0084736 -0.25 9.95424 0.5093017817 2.246841938 0.509 -1.323 3.579 4.736 1 0 0.545 0 0 0 0 0 -1 -3.58e-15 0 0.7318 0.2598 0.001508 0.0004069 0.00369 -1 0.008383 8.078 11.991 10.689 9.29 8.316 7.403 6.401 5.755 5.546
0.0084736 -0.25 9.95424 0.5500000119 2.283658263 0.55 -1.171 3.5979 4.692 1 0 0.545 0 0 0 0 0 -1 -5.15e-15 0 0.7497 0.2425 0.001415 0.0003819 0.003465 -1 0.007859 7.697 11.377 10.09 8.74 7.813 7.007 6.07 5.405 5.223
0.0084736 -0.25 9.95424 0.6000000238 2.321121326 0.6 -0.987 3.6264 4.66 1 0 0.544 0 0 0 0 0 -1 -7.82e-15 0 0.753 0.2392 0.001399 0.0003776 0.003426 -1 0.007794 7.237 10.57 9.299 8.057 7.208 6.534 5.676 4.998 4.864
0.0084736 -0.25 9.95424 0.6208153367 2.334687157 0.621 -0.908 3.6403 4.652 1 0 0.544 0 0 0 0 0 -1 -9.3e-15 0 0.7543 0.238 0.001392 0.000376 0.003411 -1 0.007757 7.04 10.157 8.92 7.746 6.944 6.331 5.514 4.847 4.733
0.0084736 -0.25 9.95424 0.6499999762 2.352035311 0.65 -0.801 3.6593 4.641 1 0 0.544 0 0 0 0 0 -1 -1.18e-14 0 0.756 0.2362 0.001384 0.0003737 0.003391 -1 0.00771 6.774 9.49 8.395 7.324 6.595 6.057 5.302 4.674 4.58
0.0084736 -0.25 9.95424 0.660527885 2.357862376 0.66 -0.764 3.6657 4.636 1 0 0.544 0 0 0 0 0 -1 -1.28e-14 0 0.7568 0.2355 0.00138 0.0003728 0.003383 -1 0.00769 6.679 9.25 8.218 7.18 6.478 5.96 5.226 4.617 4.528
0.0084736 -0.25 9.95424 0.7000001073 2.377926754 0.7 -0.625 3.6892 4.617 1 0 0.544 0 0 0 0 0 -1 -1.75e-14 0 0.7595 0.2329 0.001367 0.0003692 0.003351 -1 0.007662 6.332 8.393 7.605 6.677 6.067 5.605 4.953 4.418 4.341
0.0084736 -0.25 9.95424 0.7034510374 2.379558244 0.703 -0.613 3.6911 4.614 1 0 0.543 0 0 0 0 0 -1 -1.8e-14 0 0.7598 0.2326 0.001364 0.0003688 0.003348 -1 0.007657 6.302 8.324 7.556 6.636 6.033 5.575 4.93 4.4 4.325
0.0084736 -0.25 9.95424 0.7207102776 2.387448933 0.721 -0.553 3.7008 4.603 1 0 0.541 0 0 0 0 0 -1 -2.07e-14 0 0.7613 0.2312 0.001351 0.0003667 0.003332 -1 0.007545 6.152 7.98 7.313 6.433 5.865 5.426 4.814 4.312 4.241
0.0084736 -0.25 9.95424 0.7372355461 2.394607279 0.737 -0.495 3.7098 4.592 1 0 0.538 0 0 0 0 0 -1 -2.36e-14 0 0.7626 0.2299 0.001338 0.0003649 0.003316 -1 0.007537 6.009 7.669 7.092 6.247 5.709 5.287 4.703 4.227 4.161
0.0084736 -0.25 9.95424 0.75 2.399888909 0.75 -0.451 3.7166 4.583 1 0 0.536 0 0 0 0 0 -1 -2.62e-14 0 0.7636 0.2289 0.001329 0.0003634 0.003304 -1 0.007528 5.898 7.438 6.927 6.108 5.591 5.181 4.619 4.162 4.098
0.0084736 -0.25 9.95424 0.7660844922 2.406256924 0.766 -0.396 3.7242 4.567 1 0 0.536 0 0 0 0 0 -1 -3e-14 0 0.7653 0.2272 0.001321 0.0003612 0.003284 -1 0.007481 5.761 7.171 6.731 5.941 5.446 5.048 4.51 4.074 4.013
0.0084736 -0.25 9.95424 0.7821454406 2.412316014 0.782 -0.341 3.7315 4.55 1 0 0.536 0 0 0 0 0 -1 -3.43e-14 0 0.7671 0.2255 0.001312 0.0003589 0.003264 -1 0.007432 5.623 6.912 6.54 5.777 5.302 4.917 4.401 3.984 3.926
0.0084736 -0.25 9.95424 0.7975394726 2.417860882 0.797 -0.288 3.7384 4.533 1 0 0.536 0 0 0 0 0 -1 -3.91e-14 0 0.7688 0.2239 0.001304 0.0003568 0.003245 -1 0.007364 5.49 6.672 6.359 5.623 5.166 4.793 4.297 3.898 3.842
0.0084736 -0.25 9.95424 0.7983130813 2.41813305 0.798 -0.285 3.7387 4.532 1 0 0.536 0 0 0 0 0 -1 -3.94e-14 0 0.7688 0.2238 0.001304 0.0003567 0.003244 -1 0.00736 5.484 6.66 6.35 5.615 5.159 4.786 4.292 3.893 3.838
0.0084736 -0.25 9.95424 0.7995474935 2.418566082 0.799 -0.281 3.7393 4.531 1 0 0.536 0 0 0 0 0 -1 -3.98e-14 0 0.769 0.2236 0.001303 0.0003565 0.003242 -1 0.007353 5.473 6.642 6.336 5.603 5.149 4.776 4.284 3.886 3.831
0.0084736 -0.25 9.95424 0.8132262826 2.423263584 0.813 -0.234 3.7448 4.513 1 0 0.536 0 0 0 0 0 -1 -4.49e-14 0 0.7708 0.2218 0.001294 0.0003541 0.003221 -1 0.007349 5.355 6.436 6.181 5.47 5.03 4.667 4.19 3.805 3.753
0.0084736 -0.25 9.95424 0.8264698982 2.42764168 0.826 -0.188 3.75 4.494 1 0 0.536 0 0 0 0 0 -1 -5.07e-14 0 0.7726 0.2201 0.001286 0.0003518 0.0032 -1 0.007292 5.239 6.24 6.032 5.341 4.915 4.56 4.097 3.724 3.675
0.0084736 -0.25 9.95424 0.8385922909 2.431510033 0.838 -0.145 3.7545 4.476 1 0 0.536 0 0 0 0 0 -1 -5.66e-14 0 0.7743 0.2185 0.001278 0.0003496 0.003181 -1 0.007239 5.132 6.071 5.899 5.224 4.809 4.461 4.01 3.648 3.6
0.0084736 -0.25 9.95424 0.8466261625 2.434003634 0.846 -0.116 3.7574 4.463 1 0 0.536 0 0 0 0 0 -1 -6.11e-14 0 0.7754 0.2174 0.001273 0.0003482 0.003168 -1 0.007206 5.06 5.959 5.81 5.146 4.739 4.394 3.952 3.596 3.55
