# downloaded from PARSEC/CMD via ezpadova
# component=bar family=bar component_index=8 logAge=9.95424 MH=0.0 photometric_system=twomass
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Jmag Hmag Ksmag
0.01471 0 9.95424 0.0900000036 1.081689593 0.09 -3.421 3.3634 5.219 1 0 0.545 0 0 0 0 0 -1 -3.91e-17 0 0.7096 0.2756 0.002655 0.0007163 0.006496 -1 0.01476 13.324 11.175 10.571 10.31
0.01471 0 9.95424 0.1000000015 1.171106412 0.1 -3.238 3.3896 5.186 1 0 0.545 0 0 0 0 0 -1 -5.87e-17 0 0.7093 0.2759 0.002655 0.0007163 0.006496 -1 0.01476 12.864 10.717 10.114 9.849
0.01471 0 9.95424 0.1111498475 1.258023235 0.111 -3.083 3.41 5.159 1 0 0.545 0 0 0 0 0 -1 -8.2e-17 0 0.7088 0.2764 0.002655 0.0007163 0.006496 -1 0.01476 12.478 10.331 9.729 9.462
0.01471 0 9.95424 0.1200000048 1.319315474 0.12 -2.971 3.4249 5.139 1 0 0.545 0 0 0 0 0 -1 -1.05e-16 0 0.7085 0.2768 0.002655 0.0007163 0.006496 -1 0.01476 12.197 10.07 9.468 9.198
0.01471 0 9.95424 0.1400000006 1.438452672 0.14 -2.788 3.4447 5.103 1 0 0.545 0 0 0 0 0 -1 -1.54e-16 0 0.7078 0.2774 0.002655 0.0007163 0.006496 -1 0.01476 11.741 9.661 9.059 8.787
0.01471 0 9.95424 0.1496943682 1.488506653 0.15 -2.717 3.4516 5.089 1 0 0.545 0 0 0 0 0 -1 -1.78e-16 0 0.7075 0.2778 0.002655 0.0007163 0.006496 -1 0.01476 11.564 9.5 8.898 8.627
0.01471 0 9.95424 0.1599999964 1.537293155 0.16 -2.647 3.4583 5.074 1 0 0.545 0 0 0 0 0 -1 -2.06e-16 0 0.7071 0.2781 0.002655 0.0007163 0.006496 -1 0.01476 11.387 9.341 8.739 8.469
0.01471 0 9.95424 0.200000003 1.693879086 0.2 -2.428 3.4771 5.027 1 0 0.545 0 0 0 0 0 -1 -3.22e-16 0 0.7061 0.2791 0.002655 0.0007163 0.006496 -1 0.01476 10.839 8.84 8.237 7.974
0.01471 0 9.95424 0.25 1.8403258 0.25 -2.216 3.4933 4.977 1 0 0.545 0 0 0 0 0 -1 -2.54e-16 0 0.7053 0.2799 0.002655 0.0007163 0.006496 -1 0.01476 10.309 8.351 7.748 7.493
0.01471 0 9.95424 0.3000000119 1.952913977 0.3 -2.051 3.5038 4.934 1 0 0.545 0 0 0 0 0 -1 -2.85e-17 0 0.705 0.2802 0.002655 0.0007163 0.006496 -1 0.01476 9.899 7.965 7.359 7.111
0.01471 0 9.95424 0.3224172294 1.995744683 0.322 -1.982 3.5079 4.912 1 0 0.545 0 0 0 0 0 -1 -2.45e-16 0 0.7077 0.2775 0.002655 0.0007163 0.006496 -1 0.01476 9.726 7.802 7.194 6.949
0.01471 0 9.95424 0.3500000238 2.043417513 0.35 -1.903 3.5125 4.887 1 0 0.545 0 0 0 0 0 -1 -4.91e-16 0 0.7104 0.2748 0.002655 0.0007163 0.006496 -1 0.01476 9.527 7.614 7.004 6.762
0.01471 0 9.95424 0.4000000358 2.118502481 0.4 -1.758 3.5235 4.844 1 0 0.545 0 0 0 0 0 -1 -1.31e-15 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 9.166 7.28 6.664 6.428
0.01471 0 9.95424 0.4495986402 2.18180616 0.449 -1.609 3.5358 4.795 1 0 0.545 0 0 0 0 0 -1 -1.85e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.793 6.938 6.313 6.084
0.01471 0 9.95424 0.4500000179 2.182280936 0.45 -1.608 3.5359 4.795 1 0 0.545 0 0 0 0 0 -1 -1.85e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.79 6.935 6.311 6.081
0.01471 0 9.95424 0.4501869678 2.182501885 0.45 -1.607 3.536 4.794 1 0 0.545 0 0 0 0 0 -1 -1.85e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.788 6.934 6.309 6.08
0.01471 0 9.95424 0.5 2.237454153 0.5 -1.449 3.5514 4.743 1 0 0.545 0 0 0 0 0 -1 -2.69e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.392 6.578 5.942 5.72
0.01471 0 9.95424 0.5500000119 2.283658263 0.55 -1.272 3.5717 4.689 1 0 0.545 0 0 0 0 0 -1 -4.1e-15 0 0.7313 0.2549 0.002478 0.0006686 0.006066 -1 0.01379 7.95 6.192 5.541 5.332
0.01471 0 9.95424 0.6000000238 2.321121326 0.6 -1.098 3.5967 4.653 1 0 0.544 0 0 0 0 0 -1 -6.1e-15 0 0.7343 0.252 0.002453 0.0006622 0.006008 -1 0.01367 7.516 5.824 5.152 4.975
0.01471 0 9.95424 0.6499999762 2.352035311 0.65 -0.921 3.6272 4.632 1 0 0.544 0 0 0 0 0 -1 -9.03e-15 0 0.7371 0.2493 0.002431 0.0006563 0.005955 -1 0.01355 7.072 5.45 4.783 4.649
0.01471 0 9.95424 0.6587808728 2.35691024 0.659 -0.89 3.6328 4.629 1 0 0.544 0 0 0 0 0 -1 -9.67e-15 0 0.7376 0.2488 0.002427 0.0006553 0.005946 -1 0.01352 6.994 5.386 4.724 4.597
0.01471 0 9.95424 0.7000000477 2.377926726 0.7 -0.748 3.6581 4.616 1 0 0.544 0 0 0 0 0 -1 -1.32e-14 0 0.7399 0.2467 0.002409 0.0006507 0.005905 -1 0.01343 6.64 5.103 4.493 4.393
0.01471 0 9.95424 0.7213446498 2.387730697 0.721 -0.675 3.6709 4.607 1 0 0.541 0 0 0 0 0 -1 -1.55e-14 0 0.7411 0.2455 0.002385 0.0006475 0.00588 -1 0.01339 6.459 4.959 4.389 4.297
