# downloaded from PARSEC/CMD via ezpadova
# component=bar family=bar component_index=8 logAge=9.95424 MH=0.0 photometric_system=ubvrijhk
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.01471 0 9.95424 0.0900000036 1.081689593 0.09 -3.421 3.3634 5.219 1 0 0.545 0 0 0 0 0 -1 -3.91e-17 0 0.7096 0.2756 0.002655 0.0007163 0.006496 -1 0.01476 13.324 22.629 19.985 18.144 15.983 13.729 11.233 10.617 10.331
0.01471 0 9.95424 0.1000000015 1.171106412 0.1 -3.238 3.3896 5.186 1 0 0.545 0 0 0 0 0 -1 -5.87e-17 0 0.7093 0.2759 0.002655 0.0007163 0.006496 -1 0.01476 12.864 22.106 19.499 17.666 15.518 13.27 10.775 10.16 9.87
0.01471 0 9.95424 0.1111498475 1.258023235 0.111 -3.083 3.41 5.159 1 0 0.545 0 0 0 0 0 -1 -8.2e-17 0 0.7088 0.2764 0.002655 0.0007163 0.006496 -1 0.01476 12.478 21.669 19.09 17.266 15.127 12.884 10.389 9.776 9.482
0.01471 0 9.95424 0.1200000048 1.319315474 0.12 -2.971 3.4249 5.139 1 0 0.545 0 0 0 0 0 -1 -1.05e-16 0 0.7085 0.2768 0.002655 0.0007163 0.006496 -1 0.01476 12.197 20.925 18.501 16.708 14.671 12.497 10.128 9.513 9.216
0.01471 0 9.95424 0.1400000006 1.438452672 0.14 -2.788 3.4447 5.103 1 0 0.545 0 0 0 0 0 -1 -1.54e-16 0 0.7078 0.2774 0.002655 0.0007163 0.006496 -1 0.01476 11.741 19.417 17.309 15.603 13.796 11.789 9.718 9.101 8.803
0.01471 0 9.95424 0.1496943682 1.488506653 0.15 -2.717 3.4516 5.089 1 0 0.545 0 0 0 0 0 -1 -1.78e-16 0 0.7075 0.2778 0.002655 0.0007163 0.006496 -1 0.01476 11.564 18.907 16.895 15.215 13.483 11.535 9.557 8.939 8.642
0.01471 0 9.95424 0.1599999964 1.537293155 0.16 -2.647 3.4583 5.074 1 0 0.545 0 0 0 0 0 -1 -2.06e-16 0 0.7071 0.2781 0.002655 0.0007163 0.006496 -1 0.01476 11.387 18.408 16.489 14.829 13.17 11.286 9.398 8.779 8.483
0.01471 0 9.95424 0.200000003 1.693879086 0.2 -2.428 3.4771 5.027 1 0 0.545 0 0 0 0 0 -1 -3.22e-16 0 0.7061 0.2791 0.002655 0.0007163 0.006496 -1 0.01476 10.839 17.073 15.368 13.766 12.289 10.572 8.895 8.275 7.988
0.01471 0 9.95424 0.25 1.8403258 0.25 -2.216 3.4933 4.977 1 0 0.545 0 0 0 0 0 -1 -2.54e-16 0 0.7053 0.2799 0.002655 0.0007163 0.006496 -1 0.01476 10.309 15.962 14.404 12.837 11.491 9.928 8.406 7.783 7.507
0.01471 0 9.95424 0.3000000119 1.952913977 0.3 -2.051 3.5038 4.934 1 0 0.545 0 0 0 0 0 -1 -2.85e-17 0 0.705 0.2802 0.002655 0.0007163 0.006496 -1 0.01476 9.899 15.233 13.751 12.218 10.942 9.46 8.02 7.394 7.126
