# downloaded from PARSEC/CMD via ezpadova
# component=bar family=bar component_index=8 logAge=9.95424 MH=0.25 photometric_system=roman2021
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.025095 0.25 9.95424 0.0955969095 1.133236387 0.095 -3.348 3.3623 5.167 1 0 0.545 0 0 0 0 0 -1 -2.89e-17 0 0.6792 0.2953 0.004602 0.001242 0.01126 -1 0.0256 13.141 16.225 12.85 11.656 11.004 10.584 10.439 11.015 10.182 11.406 10.91 10.557
0.025095 0.25 9.95424 0.1055120975 1.21556776 0.105 -3.208 3.3802 5.141 1 0 0.545 0 0 0 0 0 -1 -4.75e-17 0 0.6788 0.2956 0.004602 0.001242 0.01126 -1 0.0256 12.79 15.869 12.5 11.305 10.654 10.235 10.088 10.665 9.831 11.057 10.56 10.206
0.025095 0.25 9.95424 0.1253425032 1.353540291 0.125 -2.984 3.4069 5.099 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.6783 0.2962 0.004602 0.001242 0.01126 -1 0.0256 12.231 15.301 11.942 10.745 10.096 9.679 9.528 10.107 9.271 10.499 10.003 9.647
0.025095 0.25 9.95424 0.145172894 1.465702437 0.145 -2.815 3.4255 5.068 1 0 0.545 0 0 0 0 0 -1 -1.48e-16 0 0.6777 0.2967 0.004602 0.001242 0.01126 -1 0.0256 11.806 14.651 11.453 10.317 9.682 9.267 9.11 9.689 8.864 10.077 9.588 9.228
0.025095 0.25 9.95424 0.1650032997 1.559528955 0.165 -2.68 3.4391 5.043 1 0 0.545 0 0 0 0 0 -1 -1.5e-16 0 0.6772 0.2972 0.004602 0.001242 0.01126 -1 0.0256 11.47 13.982 11.016 9.977 9.363 8.948 8.787 9.365 8.559 9.744 9.268 8.903
0.025095 0.25 9.95424 0.2046640813 1.709466363 0.204 -2.465 3.4586 5 1 0 0.545 0 0 0 0 0 -1 -2.46e-16 0 0.6762 0.2982 0.004602 0.001242 0.01126 -1 0.0256 10.933 13.016 10.355 9.442 8.854 8.439 8.274 8.849 8.069 9.214 8.759 8.387
0.025095 0.25 9.95424 0.2542400956 1.850971178 0.254 -2.26 3.4743 4.952 1 0 0.545 0 0 0 0 0 -1 -4.57e-16 0 0.6755 0.2989 0.004602 0.001242 0.01126 -1 0.0256 10.421 12.215 9.762 8.936 8.367 7.949 7.783 8.356 7.595 8.71 8.269 7.894
0.025095 0.25 9.95424 0.3106895983 1.973838678 0.31 -2.071 3.4877 4.904 1 0 0.545 0 0 0 0 0 -1 -6.62e-16 0 0.6763 0.2981 0.004602 0.001242 0.01126 -1 0.0256 9.948 11.509 9.233 8.473 7.918 7.497 7.329 7.901 7.157 8.247 7.818 7.438
0.025095 0.25 9.95424 0.3392335474 2.025410206 0.339 -1.986 3.4933 4.879 1 0 0.545 0 0 0 0 0 -1 -7.5e-16 0 0.6789 0.2955 0.004602 0.001242 0.01126 -1 0.0256 9.735 11.213 9 8.265 7.715 7.291 7.122 7.696 6.956 8.037 7.613 7.231
0.025095 0.25 9.95424 0.3533920944 2.048942254 0.353 -1.946 3.4959 4.867 0 0 0.545 0 0 0 0 0 -1 -8.11e-16 0 0.68 0.2944 0.004602 0.001242 0.01126 -1 0.0256 9.634 11.079 8.891 8.166 7.619 7.193 7.024 7.598 6.861 7.938 7.516 7.132
