# downloaded from PARSEC/CMD via ezpadova
# component=thick family=thick_disk component_index=7 logAge=10.07918 MH=-0.8 photometric_system=roman2021
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.0024432 -0.8 10.07918 0.090000011 1.081689664 0.09 -3.27 3.4295 5.332 1 0 0.545 0 0 0 0 0 -1 -4.27e-17 0 0.7422 0.2552 0.0004635 0.000125 0.001134 -1 0.002577 12.945 15.221 12.164 11.347 10.805 10.534 10.47 10.871 10.283 11.189 10.77 10.558
0.0024432 -0.8 10.07918 0.0922382846 1.102791149 0.092 -3.218 3.4368 5.32 1 0 0.545 0 0 0 0 0 -1 -4.83e-17 0 0.742 0.2554 0.0004635 0.000125 0.001134 -1 0.002578 12.815 14.962 12.014 11.227 10.689 10.404 10.334 10.747 10.151 11.062 10.648 10.422
0.0024432 -0.8 10.07918 0.0994170234 1.166218066 0.099 -3.06 3.459 5.283 1 0 0.545 0 0 0 0 0 -1 -7.2e-17 0 0.7413 0.2561 0.0004635 0.000125 0.001134 -1 0.002578 12.419 14.17 11.565 10.864 10.338 10.013 9.925 10.373 9.754 10.682 10.281 10.016
0.0024432 -0.8 10.07918 0.1026887596 1.193181883 0.103 -3.01 3.4651 5.271 1 0 0.545 0 0 0 0 0 -1 -8.17e-17 0 0.741 0.2564 0.0004635 0.000125 0.001134 -1 0.002577 12.294 13.942 11.43 10.75 10.228 9.894 9.799 10.257 9.632 10.564 10.166 9.892
0.0024432 -0.8 10.07918 0.1182510555 1.30767844 0.118 -2.793 3.4914 5.221 1 0 0.545 0 0 0 0 0 -1 -1.45e-16 0 0.7396 0.2578 0.0004635 0.000125 0.001134 -1 0.002577 11.753 12.972 10.851 10.255 9.748 9.382 9.266 9.755 9.112 10.055 9.671 9.361
0.0024432 -0.8 10.07918 0.1370850801 1.422513994 0.137 -2.609 3.5105 5.177 1 0 0.545 0 0 0 0 0 -1 -1.83e-16 0 0.7382 0.2592 0.0004635 0.000125 0.001134 -1 0.002578 11.293 12.246 10.378 9.833 9.336 8.955 8.826 9.331 8.683 9.625 9.252 8.921
0.0024432 -0.8 10.07918 0.1559191346 1.518476691 0.156 -2.468 3.5229 5.142 1 0 0.545 0 0 0 0 0 -1 -2.91e-16 0 0.737 0.2604 0.0004635 0.000125 0.001134 -1 0.002578 10.941 11.74 10.021 9.505 9.017 8.628 8.49 9.004 8.355 9.295 8.928 8.586
0.0024432 -0.8 10.07918 0.1935872138 1.671658789 0.193 -2.253 3.5387 5.083 1 0 0.545 0 0 0 0 0 -1 -4.59e-16 0 0.7354 0.262 0.0004635 0.0001251 0.001134 -1 0.002578 10.402 11.038 9.48 8.996 8.519 8.122 7.974 8.497 7.848 8.784 8.424 8.07
0.0024432 -0.8 10.07918 0.2406722903 1.816058415 0.24 -2.049 3.5511 5.023 1 0 0.545 0 0 0 0 0 -1 -9.09e-17 0 0.7348 0.2627 0.0004634 0.0001251 0.001134 -1 0.002578 9.891 10.414 8.97 8.51 8.041 7.638 7.482 8.013 7.363 8.296 7.942 7.578
0.0024432 -0.8 10.07918 0.2877573967 1.927725072 0.287 -1.889 3.5601 4.977 1 0 0.545 0 0 0 0 0 -1 -2.3e-17 0 0.7347 0.2627 0.0004634 0.0001251 0.001134 -1 0.002578 9.493 9.942 8.574 8.13 7.667 7.259 7.096 7.633 6.983 7.915 7.565 7.192
