# downloaded from PARSEC/CMD via ezpadova
# component=thick family=thick_disk component_index=7 logAge=10.07918 MH=-0.8 photometric_system=twomass
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Jmag Hmag Ksmag
0.0024432 -0.8 10.07918 0.090000011 1.081689664 0.09 -3.27 3.4295 5.332 1 0 0.545 0 0 0 0 0 -1 -4.27e-17 0 0.7422 0.2552 0.0004635 0.000125 0.001134 -1 0.002577 12.945 10.77 10.393 10.225
0.0024432 -0.8 10.07918 0.0922382846 1.102791149 0.092 -3.218 3.4368 5.32 1 0 0.545 0 0 0 0 0 -1 -4.83e-17 0 0.742 0.2554 0.0004635 0.000125 0.001134 -1 0.002578 12.815 10.661 10.266 10.094
0.0024432 -0.8 10.07918 0.0994170234 1.166218066 0.099 -3.06 3.459 5.283 1 0 0.545 0 0 0 0 0 -1 -7.2e-17 0 0.7413 0.2561 0.0004635 0.000125 0.001134 -1 0.002578 12.419 10.334 9.886 9.7
0.0024432 -0.8 10.07918 0.1026887596 1.193181883 0.103 -3.01 3.4651 5.271 1 0 0.545 0 0 0 0 0 -1 -8.17e-17 0 0.741 0.2564 0.0004635 0.000125 0.001134 -1 0.002577 12.294 10.229 9.768 9.579
0.0024432 -0.8 10.07918 0.1182510555 1.30767844 0.118 -2.793 3.4914 5.221 1 0 0.545 0 0 0 0 0 -1 -1.45e-16 0 0.7396 0.2578 0.0004635 0.000125 0.001134 -1 0.002577 11.753 9.771 9.267 9.065
0.0024432 -0.8 10.07918 0.1370850801 1.422513994 0.137 -2.609 3.5105 5.177 1 0 0.545 0 0 0 0 0 -1 -1.83e-16 0 0.7382 0.2592 0.0004635 0.000125 0.001134 -1 0.002578 11.293 9.372 8.847 8.64
0.0024432 -0.8 10.07918 0.1559191346 1.518476691 0.156 -2.468 3.5229 5.142 1 0 0.545 0 0 0 0 0 -1 -2.91e-16 0 0.737 0.2604 0.0004635 0.000125 0.001134 -1 0.002578 10.941 9.058 8.523 8.316
0.0024432 -0.8 10.07918 0.1935872138 1.671658789 0.193 -2.253 3.5387 5.083 1 0 0.545 0 0 0 0 0 -1 -4.59e-16 0 0.7354 0.262 0.0004635 0.0001251 0.001134 -1 0.002578 10.402 8.566 8.021 7.813
0.0024432 -0.8 10.07918 0.2406722903 1.816058415 0.24 -2.049 3.5511 5.023 1 0 0.545 0 0 0 0 0 -1 -9.09e-17 0 0.7348 0.2627 0.0004634 0.0001251 0.001134 -1 0.002578 9.891 8.093 7.539 7.332
0.0024432 -0.8 10.07918 0.2877573967 1.927725072 0.287 -1.889 3.5601 4.977 1 0 0.545 0 0 0 0 0 -1 -2.3e-17 0 0.7347 0.2627 0.0004634 0.0001251 0.001134 -1 0.002578 9.493 7.722 7.162 6.955
0.0024432 -0.8 10.07918 0.3348424733 2.017851331 0.334 -1.755 3.5676 4.94 1 0 0.545 0 0 0 0 0 -1 -5.57e-16 0 0.7412 0.2563 0.0004635 0.000125 0.001134 -1 0.002577 9.158 7.411 6.845 6.638
0.0024432 -0.8 10.07918 0.3819275498 2.092844897 0.381 -1.616 3.5773 4.896 1 0 0.545 0 0 0 0 0 -1 -1.76e-15 0 0.744 0.2534 0.0004635 0.000125 0.001134 -1 0.002577 8.81 7.09 6.518 6.314
0.0024432 -0.8 10.07918 0.4290127158 2.156690068 0.428 -1.459 3.5906 4.843 1 0 0.545 0 0 0 0 0 -1 -2.53e-15 0 0.7442 0.2533 0.0004635 0.000125 0.001134 -1 0.002578 8.417 6.736 6.154 5.956
0.0024432 -0.8 10.07918 0.4760977626 2.212019482 0.475 -1.283 3.6097 4.789 1 0 0.545 0 0 0 0 0 -1 -3.83e-15 0 0.7442 0.2533 0.0004635 0.000125 0.001134 -1 0.002578 7.977 6.346 5.748 5.574
0.0024432 -0.8 10.07918 0.523182869 2.260140026 0.522 -1.085 3.637 4.741 1 0 0.545 0 0 0 0 0 -1 -6.09e-15 0 0.7596 0.238 0.0004313 0.0001164 0.001056 -1 0.002417 7.482 5.92 5.308 5.177
0.0024432 -0.8 10.07918 0.5517140627 2.285072315 0.551 -0.959 3.6565 4.716 1 0 0.544 0 0 0 0 0 -1 -8.15e-15 0 0.7721 0.2256 0.0004141 0.0001118 0.001014 -1 0.002309 7.168 5.661 5.075 4.966
0.0024432 -0.8 10.07918 0.5702679157 2.29975534 0.569 -0.881 3.6686 4.701 1 0 0.544 0 0 0 0 0 -1 -9.77e-15 0 0.7799 0.2178 0.0004033 0.0001089 0.0009882 -1 0.002241 6.972 5.502 4.94 4.841
0.0024432 -0.8 10.07918 0.6173529625 2.332503504 0.617 -0.688 3.6987 4.662 1 0 0.544 0 0 0 0 0 -1 -1.53e-14 0 0.786 0.2118 0.0003942 0.0001065 0.0009669 -1 0.002202 6.489 5.124 4.651 4.568
0.0024432 -0.8 10.07918 0.6243764758 2.336904071 0.624 -0.659 3.7033 4.657 1 0 0.544 0 0 0 0 0 -1 -1.64e-14 0 0.787 0.2108 0.0003928 0.0001061 0.0009635 -1 0.002188 6.416 5.068 4.608 4.528
0.0024432 -0.8 10.07918 0.6403790712 2.346517137 0.64 -0.592 3.7135 4.642 1 0 0.544 0 0 0 0 0 -1 -1.92e-14 0 0.7894 0.2084 0.0003895 0.0001052 0.0009555 -1 0.002175 6.25 4.942 4.51 4.434
0.0024432 -0.8 10.07918 0.655905962 2.355330687 0.655 -0.528 3.7233 4.627 1 0 0.543 0 0 0 0 0 -1 -1.53e-14 0 0.7918 0.206 0.0003862 0.0001044 0.0009478 -1 0.00217 6.089 4.82 4.413 4.342
0.0024432 -0.8 10.07918 0.6644381285 2.359972638 0.664 -0.492 3.7286 4.619 1 0 0.543 0 0 0 0 0 -1 -2.43e-14 0 0.7931 0.2047 0.0003844 0.0001039 0.0009435 -1 0.002145 6 4.752 4.359 4.29
0.0024432 -0.8 10.07918 0.6697745323 2.362806891 0.669 -0.47 3.7317 4.612 1 0 0.543 0 0 0 0 0 -1 -2.57e-14 0 0.7941 0.2037 0.0003827 0.0001035 0.00094 -1 0.002124 5.945 4.709 4.323 4.256
0.0024432 -0.8 10.07918 0.6841529608 2.370191077 0.684 -0.409 3.7398 4.593 1 0 0.542 0 0 0 0 0 -1 -2.98e-14 0 0.7968 0.2011 0.0003779 0.0001024 0.0009302 -1 0.002097 5.794 4.592 4.226 4.161
0.0024432 -0.8 10.07918 0.6970304847 2.376507929 0.696 -0.355 3.7469 4.575 1 0 0.541 0 0 0 0 0 -1 -3.43e-14 0 0.7993 0.1986 0.0003735 0.0001014 0.0009213 -1 0.002097 5.657 4.486 4.134 4.073
0.0024432 -0.8 10.07918 0.709233284 2.382251023 0.709 -0.302 3.7533 4.555 1 0 0.541 0 0 0 0 0 -1 -1.79e-15 0 0.8018 0.1962 0.0003693 0.0001004 0.0009126 -1 0.002028 5.524 4.382 4.043 3.986
0.0024432 -0.8 10.07918 0.7127447128 2.383861789 0.712 -0.286 3.7552 4.549 1 0 0.54 0 0 0 0 0 -1 -1.13e-14 0 0.8025 0.1955 0.000368 0.0001001 0.00091 -1 0.00203 5.486 4.352 4.016 3.96
0.0024432 -0.8 10.07918 0.7203077674 2.387269858 0.72 -0.253 3.7589 4.535 1 0 0.539 0 0 0 0 0 -1 -1.52e-14 0 0.8043 0.1936 0.0003647 9.931e-05 0.0009032 -1 0.002035 5.402 4.285 3.956 3.902
0.0024432 -0.8 10.07918 0.730789423 2.391859252 0.73 -0.205 3.7638 4.514 1 0 0.538 0 0 0 0 0 -1 -2.28e-14 0 0.807 0.191 0.0003601 9.82e-05 0.0008934 -1 0.001997 5.282 4.189 3.869 3.818
0.0024432 -0.8 10.07918 0.740953207 2.396167166 0.74 -0.157 3.7684 4.49 1 0 0.537 0 0 0 0 0 -1 -3.4e-14 0 0.8097 0.1883 0.0003555 9.708e-05 0.0008836 -1 0.002007 5.163 4.091 3.78 3.732
0.0024432 -0.8 10.07918 0.7500967383 2.399928148 0.749 -0.113 3.7724 4.467 1 0 0.536 0 0 0 0 0 -1 -3.12e-15 0 0.8121 0.1859 0.0003513 9.604e-05 0.0008743 -1 0.002011 5.052 4 3.695 3.65
0.0024432 -0.8 10.07918 0.7589950562 2.403488392 0.758 -0.069 3.776 4.442 1 0 0.535 0 0 0 0 0 -1 -1.95e-15 0 0.8146 0.1834 0.000347 9.5e-05 0.0008651 -1 0.001987 4.941 3.907 3.609 3.566
0.0024432 -0.8 10.07918 0.7610512972 2.404297493 0.76 -0.058 3.7769 4.436 1 0 0.535 0 0 0 0 0 -1 -5.57e-15 0 0.8152 0.1828 0.000346 9.475e-05 0.000863 -1 0.001983 4.915 3.884 3.588 3.545
0.0024432 -0.8 10.07918 0.767663002 2.406865356 0.767 -0.023 3.7791 4.414 1 0 0.534 0 0 0 0 0 -1 -8.86e-15 0 0.8179 0.1801 0.0003419 9.364e-05 0.0008532 -1 0.001959 4.828 3.809 3.517 3.475
0.0024432 -0.8 10.07918 0.777299583 2.410518206 0.776 0.03 3.7823 4.379 1 0 0.534 0 0 0 0 0 -1 -1.75e-14 0 0.8221 0.176 0.0003356 9.198e-05 0.0008381 -1 0.001929 4.696 3.692 3.405 3.366
0.0024432 -0.8 10.07918 0.786370635 2.413862781 0.785 0.083 3.7849 4.342 1 0 0.533 0 0 0 0 0 -1 -3.35e-14 0 0.8261 0.1721 0.0003295 9.035e-05 0.0008236 -1 0.001845 4.564 3.573 3.291 3.253
0.0024432 -0.8 10.07918 0.7949765921 2.416954866 0.794 0.134 3.7869 4.303 1 0 0.533 0 0 0 0 0 -1 -6.24e-14 0 0.8298 0.1684 0.000324 8.886e-05 0.0008103 -1 0.001812 4.434 3.453 3.176 3.138
0.0024432 -0.8 10.07918 0.803267777 2.419861905 0.802 0.187 3.7884 4.26 1 0 0.533 0 0 0 0 0 -1 -1.15e-13 0 0.8323 0.1659 0.0003203 8.79e-05 0.0008016 -1 0.001816 4.302 3.329 3.054 3.017
0.0024432 -0.8 10.07918 0.808868289 2.421786809 0.807 0.225 3.7891 4.229 1 0 0.532 0 0 0 0 0 -1 -2.55e-15 0 0.8333 0.1649 0.0003188 8.751e-05 0.0007981 -1 0.001833 4.208 3.239 2.965 2.929
0.0024432 -0.8 10.07918 0.8093579412 2.421953648 0.808 0.228 3.7891 4.226 1 0 0.532 0 0 0 0 0 -1 -3.27e-15 0 0.8333 0.1649 0.0003187 8.75e-05 0.000798 -1 0.001833 4.199 3.23 2.956 2.92
0.0024432 -0.8 10.07918 0.8117730021 2.422773143 0.81 0.246 3.7892 4.209 1 0 0.532 0 0 0 0 0 -1 -4.24e-15 0 0.8334 0.1647 0.0003187 8.749e-05 0.000798 -1 0.001833 4.155 3.186 2.913 2.877
0.0024432 -0.8 10.07918 0.8173043132 2.424629097 0.816 0.289 3.7886 4.167 1 0 0.532 0 0 0 0 0 -1 -7.74e-15 0 0.8336 0.1646 0.0003188 8.752e-05 0.0007984 -1 0.001798 4.048 3.076 2.802 2.765
0.0024432 -0.8 10.07918 0.823559165 2.426693322 0.822 0.341 3.7866 4.11 1 0 0.532 0 0 0 0 0 -1 -1.56e-14 0 0.833 0.1651 0.0003206 8.803e-05 0.0008031 -1 0.001824 3.916 2.935 2.657 2.62
0.0024432 -0.8 10.07918 0.8257540464 2.427409159 0.824 0.361 3.7855 4.087 1 0 0.532 0 0 0 0 0 -1 -2.01e-14 0 0.8325 0.1656 0.0003219 8.841e-05 0.0008066 -1 0.001852 3.868 2.882 2.602 2.564
