# downloaded from PARSEC/CMD via ezpadova
# component=thin2 family=thin_disk component_index=1 logAge=8.778151250383644 MH=-0.25 photometric_system=ubvrijhk
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.0084736 -0.25 8.77815 0.0900000036 1.081689593 0.09 -3.274 3.3947 5.197 0 0 0.545 0 0 0 0 0 -1 -5.67e-17 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 12.954 22.187 19.536 17.643 15.434 13.172 10.845 10.293 10.024
0.0084736 -0.25 8.77815 0.0921016037 1.10152174 0.092 -3.245 3.3992 5.196 0 0 0.545 0 0 0 0 0 -1 -5.99e-17 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 12.884 22.115 19.465 17.572 15.363 13.102 10.775 10.222 9.954
0.0084736 -0.25 8.77815 0.1000000015 1.171106412 0.1 -3.12 3.418 5.181 0 0 0.545 0 0 0 0 0 -1 -7.82e-17 0 0.7273 0.2641 0.001532 0.0004131 0.003747 -1 0.008516 12.569 21.689 19.081 17.197 15.014 12.77 10.465 9.912 9.64
0.0084736 -0.25 8.77815 0.1200000048 1.319315474 0.12 -2.892 3.447 5.149 0 0 0.545 0 0 0 0 0 -1 -1.25e-16 0 0.7273 0.2642 0.001532 0.0004131 0.003747 -1 0.008515 12 19.669 17.494 15.725 13.897 11.898 9.97 9.397 9.116
0.0084736 -0.25 8.77815 0.1400000006 1.438452672 0.14 -2.711 3.4658 5.11 0 0 0.545 0 0 0 0 0 -1 -1.83e-16 0 0.7273 0.2642 0.001532 0.0004131 0.003747 -1 0.008515 11.547 18.343 16.418 14.712 13.1 11.281 9.567 8.985 8.704
0.0084736 -0.25 8.77815 0.1599999964 1.537293155 0.16 -2.57 3.4791 5.081 0 0 0.545 0 0 0 0 0 -1 -2.45e-16 0 0.7272 0.2643 0.001532 0.0004131 0.003747 -1 0.008515 11.196 17.444 15.668 14.004 12.526 10.834 9.251 8.663 8.386
0.0084736 -0.25 8.77815 0.1815625727 1.627295147 0.182 -2.464 3.4893 5.071 0 0 0.545 0 0 0 0 0 -1 -2.97e-16 0 0.7272 0.2643 0.001532 0.0004131 0.003747 -1 0.008515 10.931 16.795 15.117 13.475 12.087 10.503 9.015 8.423 8.15
0.0084736 -0.25 8.77815 0.200000003 1.693879086 0.2 -2.371 3.4972 5.051 0 0 0.545 0 0 0 0 0 -1 -3.58e-16 0 0.7272 0.2643 0.001532 0.0004131 0.003747 -1 0.008515 10.698 16.296 14.687 13.068 11.741 10.23 8.802 8.208 7.94
0.0084736 -0.25 8.77815 0.2409115881 1.816696185 0.241 -2.207 3.5096 5.017 0 0 0.545 0 0 0 0 0 -1 -4.93e-16 0 0.7271 0.2644 0.001532 0.0004131 0.003747 -1 0.008515 10.288 15.502 13.989 12.408 11.166 9.764 8.423 7.826 7.565
0.0084736 -0.25 8.77815 0.25 1.8403258 0.25 -2.174 3.5121 5.011 0 0 0.545 0 0 0 0 0 -1 -5.26e-16 0 0.727 0.2644 0.001532 0.0004131 0.003747 -1 0.008515 10.206 15.352 13.855 12.28 11.053 9.673 8.348 7.749 7.49
0.0084736 -0.25 8.77815 0.3047362864 1.96230284 0.305 -2.003 3.5237 4.972 0 0 0.545 0 0 0 0 0 -1 -7.39e-16 0 0.7271 0.2644 0.001532 0.0004131 0.003747 -1 0.008515 9.779 14.629 13.198 11.658 10.492 9.206 7.951 7.347 7.096
0.0084736 -0.25 8.77815 0.3118949831 1.976139416 0.312 -1.979 3.5251 4.963 0 0 0.545 0 0 0 0 0 -1 -7.82e-16 0 0.7272 0.2642 0.001532 0.0004131 0.003747 -1 0.008516 9.717 14.534 13.111 11.576 10.417 9.14 7.893 7.288 7.038
0.0084736 -0.25 8.77815 0.3500000536 2.043417562 0.35 -1.869 3.533 4.935 0 0 0.545 0 0 0 0 0 -1 -9.84e-16 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 9.441 14.087 12.698 11.187 10.063 8.843 7.638 7.028 6.784
0.0084736 -0.25 8.77815 0.4000000358 2.118502481 0.4 -1.715 3.5443 4.884 0 0 0.545 0 0 0 0 0 -1 -1.39e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 9.057 13.486 12.134 10.656 9.577 8.433 7.283 6.666 6.429
0.0084736 -0.25 8.77815 0.4500000179 2.182280936 0.45 -1.554 3.5575 4.827 0 0 0.545 0 0 0 0 0 -1 -2.02e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 8.656 12.868 11.543 10.098 9.063 8.008 6.918 6.29 6.063
0.0084736 -0.25 8.77815 0.5 2.237454153 0.5 -1.388 3.5741 4.774 0 0 0.545 0 0 0 0 0 -1 -2.98e-15 0 0.7274 0.2641 0.001532 0.0004131 0.003747 -1 0.008515 8.241 12.216 10.911 9.5 8.513 7.57 6.551 5.911 5.696
0.0084736 -0.25 8.77815 0.5500000119 2.283658263 0.55 -1.219 3.596 4.733 0 0 0.545 0 0 0 0 0 -1 -4.42e-15 0 0.7288 0.2627 0.001523 0.000411 0.003728 -1 0.008484 7.816 11.513 10.229 8.872 7.941 7.126 6.185 5.526 5.34
