# downloaded from PARSEC/CMD via ezpadova
# component=thin2 family=thin_disk component_index=1 logAge=8.778151250383644 MH=-0.5 photometric_system=twomass
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Jmag Hmag Ksmag
0.0048313 -0.5 8.77815 0.0900000036 1.081689593 0.09 -3.236 3.4154 5.242 0 0 0.545 0 0 0 0 0 -1 -5.88e-17 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 12.86 10.668 10.211 10.005
0.0048313 -0.5 8.77815 0.0966539159 1.14253149 0.097 -3.127 3.4307 5.225 0 0 0.545 0 0 0 0 0 -1 -7.42e-17 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 12.589 10.438 9.96 9.742
0.0048313 -0.5 8.77815 0.1000000015 1.171106412 0.1 -3.069 3.4391 5.215 0 0 0.545 0 0 0 0 0 -1 -8.45e-17 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 12.442 10.314 9.826 9.603
0.0048313 -0.5 8.77815 0.1199999973 1.319315425 0.12 -2.841 3.4678 5.181 0 0 0.545 0 0 0 0 0 -1 -1.36e-16 0 0.7375 0.2576 0.0008868 0.0002392 0.00217 -1 0.004931 11.872 9.827 9.306 9.075
0.0048313 -0.5 8.77815 0.1212908998 1.327764227 0.121 -2.828 3.4691 5.178 0 0 0.545 0 0 0 0 0 -1 -1.39e-16 0 0.7375 0.2576 0.0008868 0.0002392 0.00217 -1 0.004932 11.84 9.799 9.277 9.046
0.0048313 -0.5 8.77815 0.1400000006 1.438452672 0.14 -2.655 3.487 5.139 0 0 0.545 0 0 0 0 0 -1 -2.02e-16 0 0.7374 0.2576 0.0008868 0.0002392 0.00217 -1 0.004931 11.408 9.42 8.885 8.652
0.0048313 -0.5 8.77815 0.1551143527 1.514690268 0.155 -2.556 3.4968 5.124 0 0 0.545 0 0 0 0 0 -1 -2.44e-16 0 0.7374 0.2577 0.0008868 0.0002392 0.00217 -1 0.004931 11.16 9.2 8.659 8.428
0.0048313 -0.5 8.77815 0.1599999964 1.537293155 0.16 -2.523 3.4998 5.116 0 0 0.545 0 0 0 0 0 -1 -2.62e-16 0 0.7374 0.2577 0.0008868 0.0002392 0.00217 -1 0.004931 11.077 9.126 8.584 8.353
0.0048313 -0.5 8.77815 0.1999999881 1.693879036 0.2 -2.309 3.5176 5.07 0 0 0.545 0 0 0 0 0 -1 -4.03e-16 0 0.7373 0.2577 0.0008868 0.0002392 0.00217 -1 0.004931 10.542 8.643 8.091 7.865
0.0048313 -0.5 8.77815 0.2128849477 1.73584671 0.213 -2.254 3.5216 5.059 0 0 0.545 0 0 0 0 0 -1 -4.49e-16 0 0.7373 0.2578 0.0008868 0.0002392 0.00217 -1 0.004931 10.405 8.518 7.964 7.739
0.0048313 -0.5 8.77815 0.25 1.8403258 0.25 -2.112 3.5319 5.028 0 0 0.545 0 0 0 0 0 -1 -5.95e-16 0 0.7372 0.2578 0.0008868 0.0002392 0.00217 -1 0.004931 10.051 8.192 7.633 7.411
0.0048313 -0.5 8.77815 0.309913218 1.972350634 0.31 -1.926 3.5435 4.981 0 0 0.545 0 0 0 0 0 -1 -8.65e-16 0 0.7373 0.2577 0.0008868 0.0002392 0.00217 -1 0.004931 9.586 7.759 7.192 6.975
0.0048313 -0.5 8.77815 0.3191390336 1.989726934 0.319 -1.896 3.5451 4.97 0 0 0.545 0 0 0 0 0 -1 -9.25e-16 0 0.7375 0.2576 0.0008868 0.0002392 0.00217 -1 0.004931 9.51 7.687 7.12 6.903
0.0048313 -0.5 8.77815 0.3499999642 2.043417416 0.35 -1.81 3.5512 4.949 0 0 0.545 0 0 0 0 0 -1 -1.1e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 9.295 7.49 6.918 6.703
0.0048313 -0.5 8.77815 0.3999999762 2.118502399 0.4 -1.654 3.5626 4.897 0 0 0.545 0 0 0 0 0 -1 -1.57e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 8.905 7.134 6.553 6.341
0.0048313 -0.5 8.77815 0.4499999881 2.182280901 0.45 -1.488 3.5765 4.837 0 0 0.545 0 0 0 0 0 -1 -2.33e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 8.49 6.76 6.169 5.962
0.0048313 -0.5 8.77815 0.4999999404 2.237454072 0.5 -1.315 3.5944 4.781 0 0 0.545 0 0 0 0 0 -1 -3.5e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 8.057 6.378 5.771 5.579
0.0048313 -0.5 8.77815 0.5463183522 2.280586455 0.546 -1.151 3.6181 4.75 0 0 0.545 0 0 0 0 0 -1 -5.07e-15 0 0.7392 0.2559 0.0008818 0.0002379 0.002157 -1 0.004931 7.647 6.027 5.397 5.242
0.0048313 -0.5 8.77815 0.5500000119 2.283658263 0.55 -1.139 3.6199 4.748 0 0 0.545 0 0 0 0 0 -1 -5.21e-15 0 0.7392 0.2558 0.0008816 0.0002378 0.002157 -1 0.004931 7.616 6.001 5.369 5.217
0.0048313 -0.5 8.77815 0.5996693373 2.320897055 0.599 -0.965 3.6459 4.716 0 0 0.545 0 0 0 0 0 -1 -7.7e-15 0 0.7395 0.2556 0.0008804 0.0002375 0.002154 -1 0.004885 7.182 5.631 5.009 4.894
0.0048313 -0.5 8.77815 0.5999999642 2.321121285 0.6 -0.964 3.6461 4.716 0 0 0.545 0 0 0 0 0 -1 -7.72e-15 0 0.7395 0.2556 0.0008804 0.0002375 0.002154 -1 0.004885 7.179 5.629 5.007 4.892
0.0048313 -0.5 8.77815 0.6499999166 2.352035277 0.65 -0.799 3.6746 4.7 1 0 0.545 0 0 0 0 0 -1 -1.11e-14 0 0.7398 0.2553 0.0008798 0.0002374 0.002153 -1 0.004912 6.767 5.303 4.746 4.655
0.0048313 -0.5 8.77815 0.6999999881 2.377926697 0.7 -0.646 3.7011 4.685 0 0 0.545 0 0 0 0 0 -1 -1.54e-14 0 0.7402 0.255 0.0008788 0.0002371 0.002151 -1 0.004872 6.385 5.012 4.537 4.46
0.0048313 -0.5 8.77815 0.7487857342 2.399395381 0.749 -0.507 3.7245 4.669 1 0 0.538 0 0 0 0 0 -1 -2.09e-14 0 0.7405 0.2546 0.0008664 0.0002365 0.002148 -1 0.004908 6.036 4.754 4.343 4.277
0.0048313 -0.5 8.77815 0.7518785596 2.400648823 0.752 -0.498 3.7258 4.667 1 0 0.538 0 0 0 0 0 -1 -2.13e-14 0 0.7406 0.2545 0.0008662 0.0002365 0.002148 -1 0.004904 6.015 4.738 4.331 4.265
0.0048313 -0.5 8.77815 0.7975714207 2.417872134 0.797 -0.377 3.744 4.644 1 0 0.538 0 0 0 0 0 -1 -2.81e-14 0 0.7411 0.2541 0.0008647 0.0002361 0.002144 -1 0.004839 5.711 4.509 4.148 4.09
0.0048313 -0.5 8.77815 0.8463571072 2.433921003 0.846 -0.254 3.7614 4.617 1 0 0.538 0 0 0 0 0 -1 -3.73e-14 0 0.7418 0.2533 0.0008625 0.0002355 0.00214 -1 0.004817 5.406 4.282 3.958 3.909
0.0048313 -0.5 8.77815 0.8951427937 2.447974956 0.894 -0.138 3.7763 4.585 1 0 0.537 0 0 0 0 0 -1 -4.92e-14 0 0.7429 0.2523 0.0008588 0.0002346 0.002131 -1 0.004827 5.115 4.063 3.769 3.727
0.0048313 -0.5 8.77815 0.9439284801 2.460371516 0.943 -0.027 3.7893 4.549 1 0 0.537 0 0 0 0 0 -1 -6.44e-14 0 0.7449 0.2503 0.0008538 0.0002332 0.002119 -1 0.004811 4.839 3.854 3.586 3.55
0.0048313 -0.5 8.77815 0.9758538008 2.467716763 0.976 0.043 3.7969 4.524 1 0 0.537 0 0 0 0 0 -1 -7.66e-14 0 0.7461 0.2491 0.0008505 0.0002323 0.002111 -1 0.004785 4.663 3.717 3.463 3.431
0.0048313 -0.5 8.77815 0.9927142262 2.471377441 0.993 0.079 3.8009 4.512 1 0 0.537 0 0 0 0 0 -1 -8.38e-14 0 0.7468 0.2485 0.0008487 0.0002318 0.002106 -1 0.004767 4.573 3.647 3.4 3.37
0.0048313 -0.5 8.77815 1.041499853 2.481206102 1.041 0.18 3.8118 4.474 1 0 0.537 0 0 0 0 0 -1 -1.01e-13 0 0.7471 0.2481 0.0008492 0.000232 0.002109 -1 0.004777 4.32 3.449 3.223 3.197
0.0048313 -0.5 8.77815 1.05726397 2.484159917 1.057 0.212 3.8152 4.463 1 0 0.537 0 0 0 0 0 -1 -1.07e-13 0 0.7472 0.248 0.0008491 0.000232 0.002108 -1 0.004782 4.24 3.387 3.168 3.143
0.0048313 -0.5 8.77815 1.090285659 2.490030193 1.089 0.277 3.8224 4.439 1 0 0.537 0 0 0 0 0 -1 -1.19e-13 0 0.7473 0.2479 0.0008491 0.000232 0.002108 -1 0.004795 4.076 3.26 3.055 3.032
0.0048313 -0.5 8.77815 1.119942427 2.494964386 1.119 0.334 3.829 4.421 1 0 0.537 0 0 0 0 0 -1 -1.3e-13 0 0.7474 0.2478 0.0008488 0.000232 0.002108 -1 0.004813 3.935 3.152 2.961 2.938
0.0048313 -0.5 8.77815 1.139071226 2.497990689 1.138 0.37 3.8331 4.409 1 0 0.537 0 0 0 0 0 -1 -1.38e-13 0 0.7473 0.2479 0.000849 0.000232 0.002108 -1 0.004813 3.845 3.084 2.901 2.879
0.0048313 -0.5 8.77815 1.187857151 2.505203987 1.187 0.457 3.8444 4.385 1 0 0.537 0 0 0 0 0 -1 -1.55e-13 0 0.7472 0.2481 0.0008491 0.000232 0.002109 -1 0.004769 3.627 2.924 2.764 2.744
0.0048313 -0.5 8.77815 1.223233819 2.510022829 1.223 0.518 3.8535 4.373 1 0 0.537 0 0 0 0 0 -1 -1.65e-13 0 0.7474 0.2478 0.0008485 0.0002319 0.002107 -1 0.00477 3.475 2.821 2.68 2.66
0.0048313 -0.5 8.77815 1.236642718 2.511766672 1.236 0.54 3.8569 4.369 1 0 0.537 0 0 0 0 0 -1 -1.69e-13 0 0.7475 0.2478 0.0008483 0.0002318 0.002107 -1 0.00477 3.419 2.783 2.648 2.629
