# downloaded from PARSEC/CMD via ezpadova
# component=thin6 family=thin_disk component_index=5 logAge=9.78175537465247 MH=0.0 photometric_system=twomass
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Jmag Hmag Ksmag
0.01471 0 9.78176 0.0900000036 1.081689593 0.09 -3.422 3.3633 5.219 1 0 0.545 0 0 0 0 0 -1 -3.9e-17 0 0.71 0.2752 0.002655 0.0007163 0.006496 -1 0.01476 13.325 11.176 10.572 10.311
0.01471 0 9.78176 0.1000000015 1.171106412 0.1 -3.238 3.3894 5.186 1 0 0.545 0 0 0 0 0 -1 -5.87e-17 0 0.7098 0.2754 0.002655 0.0007163 0.006496 -1 0.01476 12.866 10.718 10.115 9.851
0.01471 0 9.78176 0.1129350215 1.270886663 0.113 -3.061 3.413 5.155 1 0 0.545 0 0 0 0 0 -1 -8.61e-17 0 0.7094 0.2758 0.002655 0.0007163 0.006496 -1 0.01476 12.421 10.275 9.673 9.405
0.01471 0 9.78176 0.1200000048 1.319315474 0.12 -2.972 3.4247 5.14 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.7092 0.276 0.002655 0.0007163 0.006496 -1 0.01476 12.2 10.072 9.47 9.199
0.01471 0 9.78176 0.1400000006 1.438452672 0.14 -2.789 3.4446 5.103 1 0 0.545 0 0 0 0 0 -1 -1.53e-16 0 0.7088 0.2765 0.002655 0.0007163 0.006496 -1 0.01476 11.743 9.663 9.061 8.789
0.01471 0 9.78176 0.1498039067 1.489047972 0.15 -2.718 3.4514 5.089 1 0 0.545 0 0 0 0 0 -1 -1.78e-16 0 0.7086 0.2767 0.002655 0.0007163 0.006496 -1 0.01476 11.564 9.501 8.899 8.627
0.01471 0 9.78176 0.1599999964 1.537293155 0.16 -2.648 3.4581 5.075 1 0 0.545 0 0 0 0 0 -1 -2.05e-16 0 0.7084 0.2769 0.002655 0.0007163 0.006496 -1 0.01476 11.39 9.344 8.742 8.471
0.01471 0 9.78176 0.200000003 1.693879086 0.2 -2.431 3.4769 5.029 1 0 0.545 0 0 0 0 0 -1 -3.19e-16 0 0.7076 0.2776 0.002655 0.0007163 0.006496 -1 0.01476 10.847 8.847 8.244 7.981
0.01471 0 9.78176 0.25 1.8403258 0.25 -2.223 3.4932 4.983 1 0 0.545 0 0 0 0 0 -1 -4.85e-16 0 0.7069 0.2783 0.002655 0.0007163 0.006496 -1 0.01476 10.327 8.368 7.765 7.51
0.01471 0 9.78176 0.3000000119 1.952913977 0.3 -2.061 3.5038 4.943 1 0 0.545 0 0 0 0 0 -1 -3.17e-16 0 0.7067 0.2786 0.002655 0.0007163 0.006496 -1 0.01476 9.921 7.988 7.382 7.134
0.01471 0 9.78176 0.3319175541 2.012744443 0.332 -1.961 3.5094 4.909 1 0 0.545 0 0 0 0 0 -1 -6.32e-16 0 0.7094 0.2758 0.002655 0.0007163 0.006496 -1 0.01476 9.672 7.751 7.143 6.899
0.01471 0 9.78176 0.3500000238 2.043417513 0.35 -1.907 3.5124 4.891 1 0 0.545 0 0 0 0 0 -1 -8.43e-16 0 0.7105 0.2747 0.002655 0.0007163 0.006496 -1 0.01476 9.538 7.625 7.015 6.773
0.01471 0 9.78176 0.4000000358 2.118502481 0.4 -1.763 3.5234 4.849 1 0 0.545 0 0 0 0 0 -1 -1.29e-15 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 9.178 7.292 6.676 6.44
0.01471 0 9.78176 0.4500000179 2.182280936 0.45 -1.614 3.5356 4.799 1 0 0.545 0 0 0 0 0 -1 -1.82e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.804 6.949 6.325 6.095
0.01471 0 9.78176 0.5 2.237454153 0.5 -1.456 3.5508 4.749 1 0 0.545 0 0 0 0 0 -1 -2.63e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.411 6.595 5.96 5.738
0.01471 0 9.78176 0.5083072782 2.245857089 0.508 -1.427 3.5542 4.74 1 0 0.545 0 0 0 0 0 -1 -2.81e-15 0 0.713 0.2724 0.002635 0.000711 0.006449 -1 0.01465 8.338 6.531 5.894 5.673
0.01471 0 9.78176 0.5500000119 2.283658263 0.55 -1.286 3.5704 4.698 1 0 0.545 0 0 0 0 0 -1 -3.93e-15 0 0.7248 0.2611 0.002534 0.0006836 0.006201 -1 0.01408 7.985 6.223 5.574 5.364
0.01471 0 9.78176 0.6000000238 2.321121326 0.6 -1.117 3.5946 4.663 1 0 0.545 0 0 0 0 0 -1 -5.77e-15 0 0.7269 0.2591 0.002516 0.0006791 0.006161 -1 0.01401 7.562 5.865 5.196 5.016
0.01471 0 9.78176 0.6499999762 2.352035311 0.65 -0.946 3.6238 4.644 1 0 0.545 0 0 0 0 0 -1 -8.41e-15 0 0.7289 0.2572 0.002501 0.0006749 0.006123 -1 0.01393 7.134 5.504 4.835 4.696
0.01471 0 9.78176 0.7000000477 2.377926726 0.7 -0.78 3.6536 4.63 1 0 0.544 0 0 0 0 0 -1 -1.2e-14 0 0.7307 0.2555 0.002486 0.000671 0.006088 -1 0.01379 6.721 5.171 4.548 4.444
0.01471 0 9.78176 0.7255893946 2.389601478 0.726 -0.698 3.6686 4.623 1 0 0.541 0 0 0 0 0 -1 -1.44e-14 0 0.7318 0.2544 0.00246 0.0006682 0.006068 -1 0.01378 6.515 5.009 4.432 4.339
0.01471 0 9.78176 0.75 2.399888909 0.75 -0.621 3.6824 4.616 1 0 0.537 0 0 0 0 0 -1 -1.7e-14 0 0.7328 0.2535 0.002436 0.0006657 0.00605 -1 0.01372 6.323 4.86 4.331 4.244
0.01471 0 9.78176 0.785420835 2.413516744 0.785 -0.516 3.6983 4.594 1 0 0.537 0 0 0 0 0 -1 -2.18e-14 0 0.7348 0.2515 0.00242 0.0006614 0.006011 -1 0.01365 6.059 4.648 4.167 4.089
0.01471 0 9.78176 0.8000000119 2.418724441 0.8 -0.473 3.7047 4.585 1 0 0.537 0 0 0 0 0 -1 -2.41e-14 0 0.7357 0.2507 0.002414 0.0006596 0.005995 -1 0.01362 5.952 4.564 4.102 4.026
0.01471 0 9.78176 0.8001872897 2.418789918 0.8 -0.472 3.7048 4.585 1 0 0.537 0 0 0 0 0 -1 -2.41e-14 0 0.7357 0.2507 0.002414 0.0006596 0.005994 -1 0.01362 5.951 4.563 4.101 4.026
0.01471 0 9.78176 0.8304499984 2.428926086 0.83 -0.384 3.7173 4.562 1 0 0.537 0 0 0 0 0 -1 -2.97e-14 0 0.7377 0.2487 0.002397 0.0006552 0.005955 -1 0.01353 5.73 4.387 3.962 3.892
0.01471 0 9.78176 0.8500000238 2.435034684 0.849 -0.328 3.7252 4.547 1 0 0.537 0 0 0 0 0 -1 -3.4e-14 0 0.7391 0.2475 0.002386 0.0006523 0.005929 -1 0.01347 5.589 4.275 3.871 3.805
0.01471 0 9.78176 0.8764252663 2.442795484 0.876 -0.251 3.735 4.524 1 0 0.536 0 0 0 0 0 -1 -4.11e-14 0 0.7413 0.2453 0.002368 0.0006475 0.005886 -1 0.01339 5.398 4.123 3.745 3.683
0.01471 0 9.78176 0.8999999762 2.449278602 0.899 -0.184 3.7433 4.501 1 0 0.536 0 0 0 0 0 -1 -4.86e-14 0 0.7433 0.2434 0.002352 0.0006431 0.005847 -1 0.01328 5.229 3.99 3.632 3.574
0.01471 0 9.78176 0.9086174965 2.451552107 0.908 -0.159 3.7462 4.491 1 0 0.536 0 0 0 0 0 -1 -5.18e-14 0 0.7443 0.2425 0.002345 0.0006411 0.005829 -1 0.01325 5.167 3.94 3.59 3.533
0.01471 0 9.78176 0.9235229492 2.455369573 0.923 -0.116 3.7509 4.474 1 0 0.536 0 0 0 0 0 -1 -5.79e-14 0 0.7459 0.2409 0.002332 0.0006376 0.005798 -1 0.01319 5.059 3.854 3.514 3.461
0.01471 0 9.78176 0.9376888871 2.458868585 0.937 -0.075 3.7553 4.457 1 0 0.536 0 0 0 0 0 -1 -6.44e-14 0 0.7475 0.2394 0.002319 0.0006342 0.005767 -1 0.01314 4.956 3.771 3.441 3.39
0.01471 0 9.78176 0.9499999881 2.461812187 0.949 -0.039 3.7589 4.442 1 0 0.536 0 0 0 0 0 -1 -7.07e-14 0 0.7489 0.238 0.002307 0.0006311 0.00574 -1 0.01308 4.867 3.698 3.377 3.327
0.01471 0 9.78176 0.9517028332 2.462212451 0.951 -0.034 3.7594 4.44 1 0 0.536 0 0 0 0 0 -1 -7.17e-14 0 0.7492 0.2378 0.002305 0.0006306 0.005735 -1 0.01307 4.855 3.688 3.368 3.318
0.01471 0 9.78176 0.9643545747 2.465135481 0.964 0.003 3.7628 4.422 1 0 0.536 0 0 0 0 0 -1 -7.91e-14 0 0.7511 0.236 0.00229 0.0006265 0.005699 -1 0.01299 4.762 3.611 3.299 3.251
0.01471 0 9.78176 0.9765542746 2.467871744 0.976 0.039 3.7659 4.404 1 0 0.536 0 0 0 0 0 -1 -8.71e-14 0 0.7529 0.2342 0.002275 0.0006225 0.005663 -1 0.0129 4.672 3.537 3.232 3.185
0.01471 0 9.78176 0.9988940358 2.472683642 0.999 0.105 3.7713 4.369 1 0 0.536 0 0 0 0 0 -1 -1.05e-13 0 0.7565 0.2307 0.002247 0.0006148 0.005594 -1 0.01272 4.507 3.398 3.105 3.061
0.01471 0 9.78176 1 2.472915448 1 0.109 3.7715 4.367 1 0 0.536 0 0 0 0 0 -1 -1.05e-13 0 0.7567 0.2306 0.002246 0.0006144 0.00559 -1 0.01272 4.499 3.391 3.098 3.054
0.01471 0 9.78176 1.005673647 2.474095406 1.005 0.125 3.7727 4.358 1 0 0.536 0 0 0 0 0 -1 -1.1e-13 0 0.7579 0.2294 0.002236 0.0006118 0.005567 -1 0.01268 4.456 3.355 3.065 3.021
0.01471 0 9.78176 1.017046571 2.476415128 1.016 0.16 3.775 4.338 1 0 0.535 0 0 0 0 0 -1 -1.19e-13 0 0.7604 0.227 0.002216 0.0006065 0.005519 -1 0.01257 4.371 3.281 2.996 2.954
0.01471 0 9.78176 1.027657032 2.478526175 1.027 0.191 3.7769 4.318 1 0 0.535 0 0 0 0 0 -1 -1.28e-13 0 0.7628 0.2248 0.002197 0.0006015 0.005474 -1 0.01248 4.293 3.212 2.932 2.89
0.01471 0 9.78176 1.038569093 2.480645569 1.038 0.222 3.7784 4.298 1 0 0.535 0 0 0 0 0 -1 -1.38e-13 0 0.7652 0.2224 0.002178 0.0005963 0.005427 -1 0.01238 4.215 3.142 2.865 2.824
0.01471 0 9.78176 1.048614263 2.482551817 1.048 0.251 3.7797 4.277 1 0 0.535 0 0 0 0 0 -1 -1.48e-13 0 0.7673 0.2205 0.002162 0.0005919 0.005388 -1 0.01229 4.142 3.075 2.801 2.761
0.01471 0 9.78176 1.049999952 2.482811486 1.049 0.255 3.7798 4.275 1 0 0.535 0 0 0 0 0 -1 -1.49e-13 0 0.7675 0.2202 0.00216 0.0005913 0.005383 -1 0.01228 4.131 3.066 2.792 2.752
0.01471 0 9.78176 1.060522795 2.484757959 1.059 0.287 3.7809 4.252 1 0 0.535 0 0 0 0 0 -1 -1.61e-13 0 0.7703 0.2175 0.002138 0.0005855 0.005331 -1 0.01216 4.052 2.992 2.721 2.681
0.01471 0 9.78176 1.074708104 2.487312651 1.073 0.333 3.7824 4.217 1 0 0.535 0 0 0 0 0 -1 -1.81e-13 0 0.7719 0.216 0.002126 0.0005822 0.005302 -1 0.01207 3.937 2.885 2.617 2.578
0.01471 0 9.78176 1.07675457 2.487674824 1.075 0.34 3.7826 4.212 1 0 0.535 0 0 0 0 0 -1 -1.84e-13 0 0.7721 0.2158 0.002125 0.0005819 0.005299 -1 0.01205 3.921 2.87 2.602 2.563
0.01471 0 9.78176 1.087909818 2.489621503 1.086 0.377 3.7833 4.182 1 0 0.534 0 0 0 0 0 -1 -2.03e-13 0 0.7727 0.2153 0.002122 0.0005813 0.005293 -1 0.01205 3.826 2.779 2.513 2.474
0.01471 0 9.78176 1.098706842 2.49146244 1.097 0.415 3.7835 4.149 1 0 0.534 0 0 0 0 0 -1 -2.25e-13 0 0.7729 0.2151 0.002122 0.0005815 0.005296 -1 0.01203 3.733 2.686 2.421 2.381
0.01471 0 9.78176 1.100000024 2.491680148 1.099 0.42 3.7834 4.145 1 0 0.534 0 0 0 0 0 -1 -2.28e-13 0 0.7728 0.2152 0.002124 0.0005818 0.005299 -1 0.01204 3.721 2.674 2.409 2.37
0.01471 0 9.78176 1.107580662 2.492944601 1.106 0.447 3.7832 4.12 1 0 0.534 0 0 0 0 0 -1 -2.45e-13 0 0.7711 0.2167 0.002141 0.0005867 0.005342 -1 0.01216 3.653 2.605 2.339 2.299
0.01471 0 9.78176 1.116230011 2.494363219 1.115 0.479 3.7823 4.087 1 0 0.534 0 0 0 0 0 -1 -2.69e-13 0 0.7691 0.2186 0.002162 0.0005927 0.005396 -1 0.01231 3.572 2.52 2.252 2.212
0.01471 0 9.78176 1.119690776 2.49492378 1.118 0.492 3.7819 4.074 1 0 0.534 0 0 0 0 0 -1 -2.8e-13 0 0.7684 0.2193 0.002169 0.0005948 0.005414 -1 0.01235 3.54 2.485 2.216 2.176
