# downloaded from PARSEC/CMD via ezpadova
# component=thin6 family=thin_disk component_index=5 logAge=9.78175537465247 MH=0.25 photometric_system=roman2021
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.025095 0.25 9.78176 0.0955969095 1.133236387 0.095 -3.349 3.3622 5.168 1 0 0.545 0 0 0 0 0 -1 -4.75e-17 0 0.6795 0.2949 0.004602 0.001242 0.01126 -1 0.0256 13.142 16.227 12.851 11.657 11.005 10.585 10.44 11.016 10.183 11.408 10.912 10.558
0.025095 0.25 9.78176 0.1055120975 1.21556776 0.105 -3.209 3.3801 5.141 1 0 0.545 0 0 0 0 0 -1 -6.45e-17 0 0.6793 0.2951 0.004602 0.001242 0.01126 -1 0.0256 12.792 15.871 12.501 11.306 10.655 10.237 10.089 10.666 9.832 11.058 10.562 10.208
0.025095 0.25 9.78176 0.1253425032 1.353540291 0.125 -2.985 3.4067 5.099 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.6789 0.2955 0.004602 0.001242 0.01126 -1 0.0256 12.233 15.303 11.944 10.747 10.098 9.681 9.53 10.108 9.273 10.501 10.005 9.649
0.025095 0.25 9.78176 0.145172894 1.465702437 0.145 -2.816 3.4253 5.068 1 0 0.545 0 0 0 0 0 -1 -1.48e-16 0 0.6786 0.2958 0.004602 0.001242 0.01126 -1 0.0256 11.809 14.659 11.457 10.32 9.684 9.269 9.112 9.691 8.866 10.079 9.591 9.23
0.025095 0.25 9.78176 0.1650032997 1.559528955 0.165 -2.681 3.4389 5.043 1 0 0.545 0 0 0 0 0 -1 -1.94e-16 0 0.6782 0.2962 0.004602 0.001242 0.01126 -1 0.0256 11.474 13.991 11.021 9.98 9.366 8.952 8.79 9.368 8.562 9.747 9.272 8.906
0.025095 0.25 9.78176 0.2046640813 1.709466363 0.204 -2.468 3.4584 5.002 1 0 0.545 0 0 0 0 0 -1 -2.99e-16 0 0.6776 0.2968 0.004602 0.001242 0.01126 -1 0.0256 10.941 13.028 10.364 9.45 8.862 8.447 8.281 8.857 8.076 9.222 8.766 8.395
0.025095 0.25 9.78176 0.2542400956 1.850971178 0.254 -2.267 3.4742 4.959 1 0 0.545 0 0 0 0 0 -1 -4.47e-16 0 0.677 0.2974 0.004602 0.001242 0.01126 -1 0.0256 10.439 12.235 9.78 8.953 8.384 7.967 7.8 8.373 7.613 8.727 8.286 7.911
0.025095 0.25 9.78176 0.3091013432 1.970789367 0.309 -2.085 3.4873 4.914 1 0 0.545 0 0 0 0 0 -1 -6.47e-16 0 0.6774 0.2971 0.004602 0.001242 0.01126 -1 0.0256 9.982 11.549 9.267 8.507 7.951 7.53 7.362 7.935 7.19 8.28 7.851 7.471
0.025095 0.25 9.78176 0.3351003528 2.018298804 0.335 -2.004 3.4925 4.889 0 0 0.545 0 0 0 0 0 -1 -7.73e-16 0 0.6792 0.2952 0.004602 0.001242 0.01126 -1 0.0256 9.78 11.269 9.048 8.309 7.759 7.335 7.167 7.74 7 8.082 7.657 7.275
0.025095 0.25 9.78176 0.3533920944 2.048942254 0.353 -1.95 3.4959 4.871 0 0 0.545 0 0 0 0 0 -1 -8.7e-16 0 0.6801 0.2943 0.004602 0.001242 0.01126 -1 0.0256 9.645 11.09 8.902 8.177 7.629 7.204 7.035 7.609 6.872 7.949 7.526 7.143
0.025095 0.25 9.78176 0.4029681087 2.122572238 0.403 -1.81 3.5073 4.834 1 0 0.545 0 0 0 0 0 -1 -1.17e-15 0 0.6802 0.2942 0.004602 0.001242 0.01126 -1 0.0256 9.294 10.596 8.518 7.838 7.299 6.867 6.696 7.272 6.545 7.607 7.192 6.802
0.025095 0.25 9.78176 0.4070539474 2.128111342 0.407 -1.797 3.5083 4.83 1 0 0.545 0 0 0 0 0 -1 -1.21e-15 0 0.6802 0.2942 0.004602 0.001242 0.01126 -1 0.0256 9.263 10.551 8.484 7.808 7.27 6.837 6.665 7.242 6.516 7.576 7.163 6.772
0.025095 0.25 9.78176 0.4525440931 2.185277485 0.452 -1.666 3.5199 4.79 1 0 0.545 0 0 0 0 0 -1 -1.62e-15 0 0.6803 0.2941 0.004602 0.001242 0.01126 -1 0.0256 8.934 10.084 8.129 7.495 6.965 6.521 6.345 6.929 6.208 7.258 6.852 6.45
