# downloaded from PARSEC/CMD via ezpadova
# component=thin7 family=thin_disk component_index=6 logAge=9.937016107464814 MH=-0.5 photometric_system=roman2021
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.0048313 -0.5 9.93702 0.0900000036 1.081689593 0.09 -3.325 3.4058 5.293 1 0 0.545 0 0 0 0 0 -1 -4.48e-17 0 0.7364 0.2587 0.0008868 0.0002392 0.00217 -1 0.004931 13.082 15.758 12.475 11.51 10.931 10.608 10.528 10.98 10.305 11.325 10.876 10.626
0.0048313 -0.5 9.93702 0.0922942311 1.10331004 0.092 -3.275 3.413 5.282 1 0 0.545 0 0 0 0 0 -1 -5.02e-17 0 0.7362 0.2588 0.0008868 0.0002392 0.00217 -1 0.004931 12.958 15.631 12.351 11.385 10.807 10.483 10.403 10.856 10.179 11.2 10.751 10.5
0.0048313 -0.5 9.93702 0.1000000015 1.171106412 0.1 -3.116 3.4356 5.248 1 0 0.545 0 0 0 0 0 -1 -7.24e-17 0 0.7358 0.2592 0.0008868 0.0002392 0.00217 -1 0.004931 12.56 14.846 11.875 11.005 10.444 10.099 9.998 10.476 9.787 10.813 10.378 10.097
0.0048313 -0.5 9.93702 0.1199999973 1.319315425 0.12 -2.848 3.4679 5.189 1 0 0.545 0 0 0 0 0 -1 -1.31e-16 0 0.7348 0.2603 0.0008868 0.0002392 0.00217 -1 0.004931 11.89 13.575 11.09 10.37 9.837 9.462 9.338 9.845 9.151 10.167 9.757 9.439
0.0048313 -0.5 9.93702 0.1400000006 1.438452672 0.14 -2.663 3.4873 5.148 1 0 0.545 0 0 0 0 0 -1 -1.95e-16 0 0.7339 0.2612 0.0008868 0.0002392 0.00217 -1 0.004931 11.426 12.777 10.577 9.934 9.415 9.029 8.894 9.412 8.723 9.726 9.329 8.994
0.0048313 -0.5 9.93702 0.1599999964 1.537293155 0.16 -2.52 3.5005 5.116 1 0 0.545 0 0 0 0 0 -1 -2.63e-16 0 0.7331 0.262 0.0008868 0.0002392 0.00217 -1 0.004931 11.069 12.22 10.195 9.597 9.088 8.696 8.554 9.079 8.394 9.386 8.999 8.654
0.0048313 -0.5 9.93702 0.1999999881 1.693879036 0.2 -2.299 3.5184 5.063 1 0 0.545 0 0 0 0 0 -1 -4.15e-16 0 0.7319 0.2632 0.0008868 0.0002392 0.00217 -1 0.004931 10.517 11.426 9.622 9.075 8.579 8.179 8.029 8.561 7.884 8.861 8.485 8.129
0.0048313 -0.5 9.93702 0.2206202298 1.759486914 0.221 -2.207 3.5245 5.038 1 0 0.545 0 0 0 0 0 -1 -4.24e-16 0 0.7315 0.2636 0.0008868 0.0002392 0.00217 -1 0.004931 10.286 11.125 9.386 8.855 8.363 7.961 7.808 8.343 7.668 8.64 8.267 7.908
0.0048313 -0.5 9.93702 0.25 1.8403258 0.25 -2.089 3.5324 5.007 1 0 0.545 0 0 0 0 0 -1 -3.85e-16 0 0.731 0.2641 0.0008868 0.0002393 0.00217 -1 0.004931 9.993 10.749 9.087 8.575 8.088 7.682 7.526 8.064 7.392 8.359 7.99 7.625
0.0048313 -0.5 9.93702 0.3000000119 1.952913977 0.3 -1.926 3.542 4.961 1 0 0.545 0 0 0 0 0 -1 -7.36e-16 0 0.7308 0.2643 0.0008868 0.0002393 0.00217 -1 0.004931 9.585 10.25 8.675 8.183 7.703 7.292 7.131 7.673 7.004 7.966 7.601 7.23
0.0048313 -0.5 9.93702 0.3130899966 1.978408978 0.313 -1.886 3.5442 4.949 1 0 0.545 0 0 0 0 0 -1 -9.78e-16 0 0.7328 0.2623 0.0008868 0.0002393 0.00217 -1 0.004931 9.486 10.131 8.575 8.088 7.609 7.197 7.035 7.578 6.91 7.87 7.507 7.133
0.0048313 -0.5 9.93702 0.3499999642 2.043417416 0.35 -1.782 3.5501 4.917 1 0 0.545 0 0 0 0 0 -1 -1.22e-15 0 0.7374 0.2577 0.0008868 0.0002392 0.00217 -1 0.004931 9.226 9.82 8.314 7.84 7.364 6.949 6.782 7.33 6.662 7.62 7.259 6.881
0.0048313 -0.5 9.93702 0.3999999762 2.118502399 0.4 -1.629 3.5616 4.867 1 0 0.545 0 0 0 0 0 -1 -1.72e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 8.843 9.341 7.933 7.481 7.012 6.589 6.414 6.97 6.303 7.259 6.902 6.512
0.0048313 -0.5 9.93702 0.4499999881 2.182280901 0.45 -1.462 3.5762 4.81 1 0 0.545 0 0 0 0 0 -1 -2.55e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 8.425 8.811 7.519 7.095 6.634 6.202 6.016 6.583 5.918 6.868 6.518 6.113
0.0048313 -0.5 9.93702 0.4999999404 2.237454072 0.5 -1.281 3.5961 4.755 1 0 0.545 0 0 0 0 0 -1 -3.9e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 7.973 8.235 7.075 6.684 6.233 5.788 5.594 6.171 5.515 6.452 6.109 5.691
0.0048313 -0.5 9.93702 0.5500000119 2.283658263 0.55 -1.081 3.6236 4.705 1 0 0.545 0 0 0 0 0 -1 -6.25e-15 0 0.7607 0.2347 0.0008144 0.0002198 0.001994 -1 0.004555 7.471 7.604 6.59 6.237 5.794 5.33 5.142 5.721 5.093 5.995 5.661 5.237
0.0048313 -0.5 9.93702 0.5958385468 2.318278135 0.595 -0.905 3.6519 4.678 1 0 0.544 0 0 0 0 0 -1 -9.28e-15 0 0.7641 0.2314 0.0008046 0.0002172 0.001971 -1 0.00449 7.033 7.039 6.17 5.857 5.429 4.98 4.814 5.364 4.784 5.621 5.304 4.906
0.0048313 -0.5 9.93702 0.5999999642 2.321121285 0.6 -0.89 3.6544 4.675 1 0 0.544 0 0 0 0 0 -1 -9.6e-15 0 0.7644 0.2311 0.0008038 0.000217 0.001969 -1 0.004484 6.994 6.99 6.133 5.823 5.399 4.954 4.79 5.335 4.761 5.59 5.275 4.882
0.0048313 -0.5 9.93702 0.6499999166 2.352035277 0.65 -0.701 3.6871 4.653 1 0 0.544 0 0 0 0 0 -1 -1.46e-14 0 0.7681 0.2275 0.0007934 0.0002143 0.001945 -1 0.004396 6.523 6.403 5.68 5.42 5.042 4.66 4.526 5.002 4.505 5.224 4.945 4.609
0.0048313 -0.5 9.93702 0.6591121554 2.357091238 0.659 -0.668 3.6925 4.647 1 0 0.544 0 0 0 0 0 -1 -1.58e-14 0 0.7689 0.2267 0.0007909 0.0002136 0.001939 -1 0.004374 6.44 6.305 5.6 5.349 4.98 4.61 4.481 4.944 4.46 5.159 4.887 4.563
0.0048313 -0.5 9.93702 0.6780285239 2.367089836 0.678 -0.6 3.7034 4.635 1 0 0.544 0 0 0 0 0 -1 -1.85e-14 0 0.7706 0.225 0.0007857 0.0002122 0.001926 -1 0.004344 6.27 6.109 5.439 5.204 4.853 4.505 4.386 4.823 4.366 5.027 4.768 4.464
