# downloaded from PARSEC/CMD via ezpadova
# component=thin7 family=thin_disk component_index=6 logAge=9.937016107464814 MH=0.25 photometric_system=ubvrijhk
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.025095 0.25 9.93702 0.0955969095 1.133236387 0.095 -3.348 3.3623 5.168 1 0 0.545 0 0 0 0 0 -1 -3.61e-17 0 0.6792 0.2952 0.004602 0.001242 0.01126 -1 0.0256 13.141 21.94 19.641 17.881 15.841 13.642 11.047 10.445 10.12
0.025095 0.25 9.93702 0.1055120975 1.21556776 0.105 -3.208 3.3802 5.141 1 0 0.545 0 0 0 0 0 -1 -5.26e-17 0 0.6789 0.2955 0.004602 0.001242 0.01126 -1 0.0256 12.79 21.539 19.269 17.518 15.486 13.291 10.696 10.097 9.768
0.025095 0.25 9.93702 0.1105110496 1.253354834 0.11 -3.148 3.3874 5.129 1 0 0.545 0 0 0 0 0 -1 -6.1e-17 0 0.6787 0.2957 0.004602 0.001242 0.01126 -1 0.0256 12.64 21.367 19.11 17.362 15.334 13.141 10.546 9.947 9.618
0.025095 0.25 9.93702 0.1253425032 1.353540291 0.125 -2.985 3.4068 5.099 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.6783 0.2961 0.004602 0.001242 0.01126 -1 0.0256 12.231 20.901 18.677 16.939 14.921 12.732 10.138 9.541 9.209
0.025095 0.25 9.93702 0.145172894 1.465702437 0.145 -2.815 3.4255 5.068 1 0 0.545 0 0 0 0 0 -1 -1.48e-16 0 0.6778 0.2966 0.004602 0.001242 0.01126 -1 0.0256 11.807 19.979 17.917 16.22 14.304 12.186 9.732 9.136 8.805
0.025095 0.25 9.93702 0.1650032997 1.559528955 0.165 -2.68 3.439 5.043 1 0 0.545 0 0 0 0 0 -1 -1.85e-16 0 0.6773 0.2971 0.004602 0.001242 0.01126 -1 0.0256 11.471 18.939 17.083 15.449 13.678 11.665 9.424 8.829 8.504
0.025095 0.25 9.93702 0.1875936985 1.650008516 0.187 -2.552 3.4507 5.017 1 0 0.545 0 0 0 0 0 -1 -2.53e-16 0 0.6767 0.2977 0.004602 0.001242 0.01126 -1 0.0256 11.151 18.078 16.37 14.787 13.128 11.204 9.13 8.534 8.216
0.025095 0.25 9.93702 0.2046640813 1.709466363 0.204 -2.466 3.4586 5 1 0 0.545 0 0 0 0 0 -1 -3.01e-16 0 0.6764 0.298 0.004602 0.001242 0.01126 -1 0.0256 10.934 17.526 15.906 14.345 12.757 10.9 8.931 8.334 8.022
0.025095 0.25 9.93702 0.2187128365 1.753758809 0.218 -2.403 3.4634 4.986 1 0 0.545 0 0 0 0 0 -1 -3.42e-16 0 0.6762 0.2982 0.004602 0.001242 0.01126 -1 0.0256 10.778 17.18 15.609 14.065 12.516 10.696 8.785 8.188 7.88
0.025095 0.25 9.93702 0.2542400956 1.850971178 0.254 -2.261 3.4743 4.953 1 0 0.545 0 0 0 0 0 -1 -4.56e-16 0 0.6757 0.2987 0.004602 0.001242 0.01126 -1 0.0256 10.423 16.426 14.952 13.444 11.981 10.243 8.454 7.854 7.556
0.025095 0.25 9.93702 0.3038160801 1.960493596 0.303 -2.094 3.4863 4.911 1 0 0.545 0 0 0 0 0 -1 -6.44e-16 0 0.6757 0.2987 0.004602 0.001242 0.01126 -1 0.0256 10.004 15.614 14.228 12.746 11.369 9.729 8.063 7.459 7.172
0.025095 0.25 9.93702 0.3289523423 2.007507136 0.329 -2.017 3.4914 4.889 1 0 0.545 0 0 0 0 0 -1 -7.17e-16 0 0.6781 0.2963 0.004602 0.001242 0.01126 -1 0.0256 9.812 15.269 13.915 12.444 11.099 9.501 7.883 7.276 6.994
0.025095 0.25 9.93702 0.3533920944 2.048942254 0.353 -1.946 3.4959 4.868 0 0 0.545 0 0 0 0 0 -1 -8.21e-16 0 0.68 0.2944 0.004602 0.001242 0.01126 -1 0.0256 9.635 14.969 13.641 12.185 10.867 9.298 7.716 7.106 6.829
0.025095 0.25 9.93702 0.4029681087 2.122572238 0.403 -1.806 3.5073 4.83 1 0 0.545 0 0 0 0 0 -1 -1.19e-15 0 0.6802 0.2942 0.004602 0.001242 0.01126 -1 0.0256 9.284 14.343 13.063 11.635 10.381 8.884 7.391 6.771 6.506
0.025095 0.25 9.93702 0.4179978073 2.142598453 0.418 -1.76 3.5113 4.816 1 0 0.545 0 0 0 0 0 -1 -1.32e-15 0 0.6802 0.2942 0.004602 0.001242 0.01126 -1 0.0256 9.17 14.142 12.874 11.454 10.221 8.75 7.287 6.662 6.402
0.025095 0.25 9.93702 0.4525440931 2.185277485 0.452 -1.661 3.5201 4.786 1 0 0.545 0 0 0 0 0 -1 -1.65e-15 0 0.6802 0.2942 0.004602 0.001242 0.01126 -1 0.0256 8.922 13.724 12.473 11.066 9.874 8.462 7.062 6.427 6.175
0.025095 0.25 9.93702 0.502120018 2.239628983 0.502 -1.512 3.5341 4.74 1 0 0.545 0 0 0 0 0 -1 -2.33e-15 0 0.6811 0.2934 0.00459 0.001238 0.01123 -1 0.02553 8.551 13.127 11.883 10.508 9.378 8.037 6.725 6.073 5.834
0.025095 0.25 9.93702 0.550958693 2.2844504 0.55 -1.352 3.551 4.687 1 0 0.545 0 0 0 0 0 -1 -3.42e-15 0 0.6995 0.2763 0.004341 0.001171 0.01063 -1 0.02416 8.149 12.509 11.243 9.892 8.828 7.58 6.366 5.694 5.471
