# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
0.0900000036 0.09 0.1216333435 2308.341184 5.219 18.145 13.731 11.176 10.572 10.311
0.1000000015 0.1 0.1332455288 2451.884454 5.186 17.668 13.271 10.718 10.115 9.85
0.1138685867 0.114 0.1477245395 2597.76583 5.153 17.175 12.797 10.244 9.643 9.375
0.1200000048 0.12 0.1539049701 2658.887731 5.14 16.715 12.5 10.071 9.47 9.199
0.1400000006 0.14 0.1733614955 2783.556238 5.103 15.608 11.792 9.662 9.061 8.788
0.1523650587 0.152 0.1848215656 2839.226239 5.085 15.119 11.472 9.46 8.858 8.586
0.1599999964 0.16 0.1915369841 2872.10293 5.075 14.835 11.29 9.343 8.741 8.47
0.200000003 0.2 0.2258669279 2998.472016 5.029 13.776 10.579 8.845 8.242 7.979
0.25 0.25 0.2668410524 3113.149665 4.981 12.851 9.94 8.363 7.759 7.504
0.3000000119 0.3 0.3065862298 3190.068436 4.94 12.233 9.475 7.98 7.374 7.126
0.3500000238 0.35 0.3506328848 3253.868518 4.89 11.699 9.056 7.621 7.012 6.769
0.4000000358 0.4 0.3934165674 3337.336513 4.847 11.158 8.651 7.288 6.672 6.436
0.4500000179 0.45 0.4418273996 3433.207084 4.798 10.608 8.236 6.945 6.32 6.09
0.5 0.5 0.493915488 3556.313186 4.747 10.018 7.8 6.589 5.954 5.732
0.5500000119 0.55 0.5502406162 3722.20253 4.695 9.349 7.327 6.213 5.563 5.354
0.6000000238 0.6 0.5977955046 3938.220241 4.66 8.671 6.868 5.852 5.182 5.002
0.6499999762 0.65 0.6365794942 4215.994154 4.64 7.98 6.41 5.487 4.818 4.681
0.6548562646 0.655 0.6402545078 4245.218029 4.639 7.911 6.365 5.452 4.786 4.653
0.7000000477 0.7 0.6724386148 4518.559444 4.626 7.296 5.973 5.149 4.531 4.428
0.7248401642 0.725 0.6898467853 4674.121529 4.618 6.975 5.76 4.989 4.415 4.323
0.75 0.75 0.7090104641 4830.58802 4.609 6.673 5.552 4.832 4.308 4.222
0.7542995811 0.754 0.7131036261 4852.885002 4.606 6.628 5.518 4.805 4.287 4.202
0.7846645117 0.784 0.7451653375 5008.411453 4.586 6.315 5.286 4.62 4.143 4.066
0.8000000119 0.8 0.7614697316 5087.448196 4.575 6.165 5.172 4.528 4.072 3.997
0.8253647089 0.825 0.7911387282 5214.347854 4.555 5.923 4.985 4.376 3.95 3.88
0.8490846753 0.848 0.8213961158 5330.893422 4.535 5.708 4.813 4.234 3.835 3.769
0.8500000238 0.849 0.8227211175 5335.805618 4.534 5.699 4.807 4.229 3.83 3.764
0.8685000539 0.868 0.8500659976 5421.257051 4.515 5.535 4.674 4.117 3.737 3.674
0.8905221224 0.89 0.8844079643 5520.774393 4.492 5.343 4.518 3.986 3.625 3.566
0.8999999762 0.899 0.8996066245 5562.88395 4.481 5.262 4.452 3.929 3.576 3.519
0.9041494727 0.903 0.9073036225 5580.845504 4.476 5.227 4.423 3.904 3.554 3.498
0.9177008271 0.917 0.9325081686 5636.376558 4.458 5.112 4.327 3.82 3.48 3.427
0.9301823378 0.929 0.9573101087 5685.910247 4.441 5.007 4.238 3.741 3.411 3.359
0.9422539473 0.941 0.982998024 5731.918412 4.424 4.906 4.152 3.665 3.342 3.292
0.9499999881 0.949 1.0015039 5761.028186 4.412 4.841 4.096 3.614 3.297 3.248
0.9640735984 0.963 1.036221609 5808.981589 4.389 4.724 3.994 3.522 3.213 3.165
0.974644959 0.974 1.064026991 5842.517205 4.37 4.635 3.916 3.451 3.147 3.101
0.9936217666 0.993 1.118800482 5897.935245 4.335 4.476 3.775 3.32 3.026 2.981
1 1 1.138551408 5914.254378 4.322 4.424 3.728 3.276 2.985 2.941
1.003346324 1.003 1.14988033 5922.430869 4.315 4.397 3.703 3.253 2.963 2.919
1.013129234 1.012 1.183184972 5940.1854 4.295 4.319 3.631 3.184 2.897 2.854
1.028725386 1.028 1.242374832 5966.230116 4.258 4.189 3.51 3.068 2.785 2.742
1.041233659 1.04 1.298531965 5985.494003 4.226 4.079 3.405 2.967 2.687 2.646
1.049999952 1.049 1.342000399 5993.768983 4.2 3.999 3.328 2.891 2.613 2.572
1.051494241 1.05 1.350680546 5995.149258 4.196 3.985 3.315 2.878 2.6 2.559
1.06122601 1.06 1.407837875 5995.149258 4.163 3.893 3.223 2.787 2.509 2.467
1.06946671 1.068 1.463364937 5989.630064 4.133 3.813 3.142 2.705 2.426 2.384
1.079768658 1.078 1.543308133 5971.727749 4.091 3.712 3.038 2.596 2.315 2.273
1.088762403 1.087 1.632873891 5930.618664 4.045 3.625 2.939 2.489 2.201 2.157
1.096884251 1.095 1.735212409 5860.032168 3.997 3.555 2.849 2.386 2.086 2.04
1.100000024 1.098 1.777676146 5826.396016 3.976 3.532 2.816 2.345 2.04 1.993
1.106377006 1.105 1.890830699 5701.642723 3.925 3.512 2.758 2.262 1.935 1.883
1.110283017 1.109 1.979486959 5562.88395 3.887 3.546 2.749 2.222 1.869 1.812
1.112637162 1.111 2.04669272 5436.257252 3.859 3.602 2.766 2.21 1.83 1.769
1.114280582 1.112 2.105487391 5332.121047 3.835 3.653 2.782 2.199 1.797 1.732
1.115833759 1.114 2.180482698 5233.593652 3.805 3.687 2.782 2.173 1.748 1.68
1.117692471 1.116 2.299072384 5132.157785 3.76 3.692 2.75 2.112 1.663 1.591
1.119503737 1.118 2.44766876 5054.753714 3.707 3.652 2.681 2.02 1.552 1.477
1.120019674 1.118 2.493174319 5037.325328 3.69 3.632 2.654 1.989 1.516 1.44
1.120558381 1.119 2.546552563 5024.582715 3.671 3.602 2.618 1.949 1.473 1.396
1.122111559 1.12 2.719271962 4989.993731 3.615 3.503 2.506 1.826 1.341 1.263
1.123350263 1.121 2.875760041 4968.210633 3.567 3.41 2.405 1.718 1.227 1.148
1.124791622 1.123 3.080013676 4946.522627 3.508 3.289 2.276 1.582 1.085 1.004
1.125857472 1.124 3.257261641 4930.602596 3.461 3.188 2.17 1.471 0.969 0.888
1.127051592 1.125 3.478184736 4913.602273 3.404 3.066 2.041 1.337 0.831 0.749
1.127962828 1.126 3.674960241 4900.044228 3.356 2.964 1.934 1.225 0.716 0.633
1.128813982 1.127 3.889131652 4885.398559 3.308 2.863 1.826 1.112 0.6 0.516
1.129554033 1.127 4.099705352 4871.918336 3.262 2.767 1.724 1.006 0.49 0.405
1.130443096 1.128 4.393925052 4851.767712 3.202 2.643 1.592 0.867 0.346 0.26
1.131062031 1.129 4.630763962 4836.152643 3.156 2.549 1.491 0.761 0.236 0.15
1.131778479 1.13 4.953961702 4815.041117 3.098 2.431 1.364 0.627 0.097 0.009
1.132312179 1.13 5.231818206 4797.334486 3.051 2.337 1.262 0.519 -0.016 -0.105
1.132910967 1.131 5.602123063 4774.193311 2.992 2.222 1.137 0.386 -0.156 -0.246
1.133462548 1.131 6.008314327 4750.069894 2.932 2.105 1.009 0.249 -0.299 -0.391
1.133940697 1.131 6.421738917 4726.068369 2.873 1.994 0.887 0.119 -0.437 -0.53
1.134378195 1.132 6.877849126 4700.023182 2.814 1.883 0.764 -0.013 -0.576 -0.671
1.134783268 1.132 7.374840718 4674.121529 2.754 1.771 0.64 -0.147 -0.717 -0.814
1.135136008 1.132 7.87503776 4647.292417 2.697 1.667 0.523 -0.273 -0.851 -0.949
1.135474324 1.133 8.438254989 4620.617302 2.637 1.56 0.403 -0.404 -0.99 -1.09
1.135781527 1.133 9.014728363 4593.037593 2.579 1.457 0.287 -0.529 -1.123 -1.226
1.136083007 1.133 9.604010912 4566.673896 2.525 1.361 0.178 -0.648 -1.25 -1.355
1.136475682 1.133 10.21063249 4542.552967 2.472 1.269 0.072 -0.764 -1.372 -1.479
1.136710405 1.133 9.769057028 4564.57135 2.51 1.328 0.144 -0.683 -1.285 -1.39
1.136862516 1.134 9.228957475 4591.980128 2.56 1.409 0.239 -0.578 -1.172 -1.275
1.136895776 1.134 9.112816912 4597.269885 2.57 1.426 0.259 -0.556 -1.148 -1.251
1.136986852 1.134 9.34657822 4586.696458 2.548 1.388 0.215 -0.604 -1.199 -1.302
1.137227654 1.134 10.00581905 4557.220056 2.489 1.287 0.099 -0.731 -1.335 -1.44
1.137465 1.134 10.70662631 4528.975799 2.431 1.187 -0.018 -0.858 -1.471 -1.579
1.137685776 1.134 11.44860693 4499.870339 2.372 1.089 -0.133 -0.985 -1.605 -1.716
1.137884974 1.134 12.22792158 4470.951925 2.315 0.994 -0.245 -1.108 -1.737 -1.85
1.138068557 1.134 13.06630059 4441.196614 2.258 0.902 -0.357 -1.231 -1.868 -1.984
1.138240576 1.134 13.97824489 4411.639332 2.199 0.809 -0.47 -1.356 -2.002 -2.121
1.138393402 1.134 14.91257514 4383.287934 2.143 0.719 -0.578 -1.476 -2.131 -2.252
1.138536096 1.134 15.92401745 4353.113592 2.086 0.631 -0.687 -1.597 -2.26 -2.385
1.138665795 1.134 16.9766754 4324.142525 2.03 0.546 -0.793 -1.716 -2.389 -2.517
1.138784766 1.134 18.12811489 4294.375337 1.973 0.459 -0.899 -1.834 -2.514 -2.646
1.138893843 1.134 19.33537702 4264.813065 1.917 0.371 -1.003 -1.951 -2.635 -2.773
1.138992786 1.133 20.62303813 4235.454299 1.861 0.287 -1.104 -2.065 -2.753 -2.898
1.139084101 1.133 21.99645248 4206.297637 1.805 0.202 -1.205 -2.18 -2.872 -3.023
1.13916719 1.133 23.44512998 4176.37993 1.75 0.119 -1.303 -2.292 -2.988 -3.146
1.139243603 1.133 24.96046345 4146.675015 1.695 0.039 -1.401 -2.404 -3.104 -3.269
1.139315009 1.132 26.60434952 4117.18138 1.639 -0.042 -1.498 -2.516 -3.221 -3.393
1.139378667 1.132 28.3108328 4088.838903 1.585 -0.119 -1.592 -2.624 -3.334 -3.512
1.139439583 1.132 30.15453563 4058.821947 1.53 -0.195 -1.687 -2.736 -3.45 -3.636
1.139493585 1.131 32.0665801 4029.953175 1.477 -0.264 -1.779 -2.843 -3.564 -3.756
1.139543533 1.131 34.11557102 4000.36851 1.423 -0.327 -1.872 -2.952 -3.681 -3.878
1.139590859 1.13 36.29548841 3971.001033 1.369 -0.389 -1.967 -3.063 -3.801 -4.003
1.13963294 1.13 38.57026696 3941.849147 1.316 -0.444 -2.057 -3.169 -3.916 -4.124
1.139672399 1.129 40.9404531 3912.911271 1.263 -0.497 -2.147 -3.276 -4.032 -4.245
1.139708996 1.128 43.52638958 3883.29157 1.21 -0.549 -2.236 -3.383 -4.148 -4.366
1.139741421 1.128 46.07365276 3855.671276 1.16 -0.59 -2.32 -3.485 -4.257 -4.481
1.139772415 1.127 48.94999422 3825.603887 1.108 -0.63 -2.404 -3.588 -4.369 -4.598
1.139801621 1.126 51.92214729 3796.645079 1.056 -0.668 -2.488 -3.692 -4.481 -4.716
1.139827609 1.125 54.94809556 3767.905482 1.007 -0.69 -2.566 -3.791 -4.588 -4.828
1.139858007 1.124 58.97292173 3732.501578 0.945 -0.715 -2.663 -3.915 -4.722 -4.969
1.139885783 1.123 63.24885165 3696.579068 0.883 -0.723 -2.755 -4.038 -4.854 -5.108
1.139911175 1.121 67.86606127 3660.159406 0.822 -0.718 -2.842 -4.159 -4.983 -5.245
1.139934778 1.12 72.7030524 3624.933135 0.761 -0.707 -2.927 -4.279 -5.112 -5.381
1.139956474 1.118 77.83100616 3589.219346 0.701 -0.671 -3.003 -4.397 -5.238 -5.515
1.139976025 1.116 83.09074346 3554.67582 0.643 -0.634 -3.075 -4.511 -5.36 -5.644
1.139994621 1.114 88.8490206 3519.654225 0.585 -0.569 -3.136 -4.626 -5.482 -5.774
1.140011549 1.112 94.78784394 3484.977672 0.528 -0.496 -3.192 -4.738 -5.601 -5.901
1.140027165 1.109 101.0072727 3450.642762 0.471 -0.406 -3.239 -4.848 -5.717 -6.025
1.140041828 1.106 107.6347843 3416.646128 0.415 -0.293 -3.274 -4.958 -5.832 -6.148
1.140055418 1.104 114.5651808 3382.984438 0.36 -0.173 -3.304 -5.066 -5.945 -6.27
1.140067935 1.1 121.8015023 3349.654392 0.305 -0.021 -3.306 -5.171 -6.054 -6.388
1.140079856 1.097 129.3458934 3316.652722 0.252 0.136 -3.306 -5.274 -6.161 -6.505
1.140090823 1.093 137.3575845 3283.976193 0.199 0.334 -3.274 -5.374 -6.265 -6.619
1.140101075 1.089 145.4630351 3252.370401 0.147 0.542 -3.233 -5.471 -6.367 -6.73
1.14011097 1.085 154.0467871 3221.068791 0.095 0.728 -3.194 -5.567 -6.466 -6.838
1.14012301 1.079 164.6844694 3184.197522 0.034 0.938 -3.143 -5.68 -6.583 -6.965
1.14012301 1.079 164.6844694 3184.197522 0.034 0.923 -0.2 -5.68 -6.583 -6.965
1.140256166 1.078 11.02687991 4662.29769 2.383 0.905 -0.223 -1.016 -1.584 -1.684
1.140392661 1.079 11.10075825 4660.151117 2.378 0.896 -0.234 -1.028 -1.596 -1.696
1.140530467 1.079 11.07777767 4662.29769 2.379 0.895 -0.233 -1.026 -1.594 -1.694
1.140672326 1.079 11.02687991 4667.66845 2.383 0.897 -0.229 -1.021 -1.587 -1.687
1.140813708 1.079 10.9812719 4671.969512 2.387 0.899 -0.223 -1.013 -1.578 -1.677
1.140953064 1.079 10.93081754 4677.351413 2.392 0.902 -0.217 -1.005 -1.569 -1.668
1.141091943 1.079 10.86807545 4682.739514 2.396 0.906 -0.212 -0.998 -1.56 -1.659
