# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
0.0900000036 0.09 0.1216333435 2308.341184 5.219 11.176 10.572 10.311 12.976 11.197 10.388
0.1000000015 0.1 0.1332455288 2451.884454 5.186 10.718 10.115 9.85 12.518 10.739 9.928
0.1138685867 0.114 0.1477245395 2597.76583 5.153 10.244 9.643 9.375 12.045 10.265 9.452
0.1200000048 0.12 0.1539049701 2658.887731 5.14 10.071 9.47 9.199 11.799 10.081 9.273
0.1400000006 0.14 0.1733614955 2783.556238 5.103 9.662 9.061 8.788 11.208 9.645 8.854
0.1523650587 0.152 0.1848215656 2839.226239 5.085 9.46 8.858 8.586 10.932 9.431 8.649
0.1599999964 0.16 0.1915369841 2872.10293 5.075 9.343 8.741 8.47 10.775 9.308 8.531
0.200000003 0.2 0.2258669279 2998.472016 5.029 8.845 8.242 7.979 10.14 8.791 8.032
0.25 0.25 0.2668410524 3113.149665 4.981 8.363 7.759 7.504 9.555 8.294 7.552
0.3000000119 0.3 0.3065862298 3190.068436 4.94 7.98 7.374 7.126 9.117 7.902 7.17
0.3500000238 0.35 0.3506328848 3253.868518 4.89 7.621 7.012 6.769 8.717 7.536 6.811
0.4000000358 0.4 0.3934165674 3337.336513 4.847 7.288 6.672 6.436 8.335 7.193 6.475
0.4500000179 0.45 0.4418273996 3433.207084 4.798 6.945 6.32 6.09 7.942 6.838 6.125
0.5 0.5 0.493915488 3556.313186 4.747 6.589 5.954 5.732 7.531 6.469 5.761
0.5500000119 0.55 0.5502406162 3722.20253 4.695 6.213 5.563 5.354 7.087 6.076 5.377
0.6000000238 0.6 0.5977955046 3938.220241 4.66 5.852 5.182 5.002 6.659 5.699 5.018
0.6499999762 0.65 0.6365794942 4215.994154 4.64 5.487 4.818 4.681 6.231 5.331 4.691
0.6548562646 0.655 0.6402545078 4245.218029 4.639 5.452 4.786 4.653 6.19 5.297 4.663
0.7000000477 0.7 0.6724386148 4518.559444 4.626 5.149 4.531 4.428 5.823 5.012 4.434
0.7248401642 0.725 0.6898467853 4674.121529 4.618 4.989 4.415 4.323 5.621 4.87 4.328
0.75 0.75 0.7090104641 4830.58802 4.609 4.832 4.308 4.222 5.423 4.731 4.226
0.7542995811 0.754 0.7131036261 4852.885002 4.606 4.805 4.287 4.202 5.391 4.707 4.206
0.7846645117 0.784 0.7451653375 5008.411453 4.586 4.62 4.143 4.066 5.169 4.536 4.069
0.8000000119 0.8 0.7614697316 5087.448196 4.575 4.528 4.072 3.997 5.059 4.451 4.001
0.8253647089 0.825 0.7911387282 5214.347854 4.555 4.376 3.95 3.88 4.878 4.309 3.884
0.8490846753 0.848 0.8213961158 5330.893422 4.535 4.234 3.835 3.769 4.711 4.176 3.772
0.8500000238 0.849 0.8227211175 5335.805618 4.534 4.229 3.83 3.764 4.705 4.171 3.768
0.8685000539 0.868 0.8500659976 5421.257051 4.515 4.117 3.737 3.674 4.576 4.065 3.677
0.8905221224 0.89 0.8844079643 5520.774393 4.492 3.986 3.625 3.566 4.424 3.939 3.569
0.8999999762 0.899 0.8996066245 5562.88395 4.481 3.929 3.576 3.519 4.36 3.885 3.522
0.9041494727 0.903 0.9073036225 5580.845504 4.476 3.904 3.554 3.498 4.331 3.86 3.501
0.9177008271 0.917 0.9325081686 5636.376558 4.458 3.82 3.48 3.427 4.237 3.779 3.429
0.9301823378 0.929 0.9573101087 5685.910247 4.441 3.741 3.411 3.359 4.151 3.703 3.361
