# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
0.0900000036 0.09 0.1217173938 2308.87276 5.219 11.175 10.571 10.31 12.975 11.196 10.387
0.1000000015 0.1 0.1331841811 2452.449086 5.186 10.717 10.114 9.849 12.517 10.738 9.927
0.1111498475 0.111 0.1449281154 2570.395783 5.159 10.331 9.729 9.462 12.132 10.352 9.539
0.1200000048 0.12 0.1539404121 2660.112476 5.139 10.07 9.468 9.198 11.797 10.079 9.271
0.1400000006 0.14 0.1734812908 2784.197249 5.103 9.661 9.059 8.787 11.206 9.643 8.853
0.1496943682 0.15 0.1823696837 2828.785388 5.089 9.5 8.898 8.627 10.987 9.474 8.69
0.1599999964 0.16 0.1916693389 2872.764332 5.074 9.341 8.739 8.469 10.772 9.307 8.529
0.200000003 0.2 0.2261791902 2999.853181 5.027 8.84 8.237 7.974 10.134 8.786 8.027
0.25 0.25 0.2679493111 3113.866577 4.977 8.351 7.748 7.493 9.544 8.282 7.54
0.3000000119 0.3 0.3087113841 3190.068436 4.934 7.965 7.359 7.111 9.102 7.888 7.155
0.3224172294 0.322 0.32798399 3220.327198 4.912 7.802 7.194 6.949 8.919 7.721 6.992
0.3500000238 0.35 0.3516840279 3254.617835 4.887 7.614 7.004 6.762 8.71 7.529 6.804
0.4000000358 0.4 0.3950505264 3338.105052 4.844 7.28 6.664 6.428 8.327 7.185 6.467
0.4495986402 0.449 0.4431519298 3433.9977 4.795 6.938 6.313 6.084 7.935 6.831 6.118
0.4500000179 0.45 0.443458154 3434.788499 4.795 6.935 6.311 6.081 7.932 6.828 6.115
0.4501869678 0.45 0.4437645899 3435.579479 4.794 6.934 6.309 6.08 7.93 6.827 6.114
0.5 0.5 0.4958526571 3559.59018 4.743 6.578 5.942 5.72 7.517 6.456 5.749
0.5500000119 0.55 0.5536721067 3729.924148 4.689 6.192 5.541 5.332 7.064 6.054 5.355
0.6000000238 0.6 0.6029102188 3950.936048 4.653 5.824 5.152 4.975 6.628 5.67 4.99
0.6499999762 0.65 0.6423217747 4238.381058 4.632 5.45 4.783 4.649 6.19 5.295 4.658
0.6587808728 0.659 0.6487130653 4293.386635 4.629 5.386 4.724 4.597 6.114 5.232 4.606
0.7000000477 0.7 0.6799119039 4550.928371 4.616 5.103 4.493 4.393 5.767 4.969 4.399
0.7213446498 0.721 0.6971924009 4687.054463 4.607 4.959 4.389 4.297 5.588 4.841 4.302
0.7457822561 0.746 0.7175507866 4840.608956 4.596 4.799 4.277 4.192 5.387 4.699 4.196
0.75 0.75 0.722025681 4867.4332 4.594 4.771 4.256 4.172 5.353 4.674 4.177
0.7562907338 0.756 0.7287065024 4901.172635 4.589 4.73 4.224 4.141 5.304 4.635 4.146
0.7789114714 0.779 0.75483607 5022.269342 4.571 4.584 4.11 4.033 5.129 4.501 4.037
0.7987108231 0.798 0.7786685692 5127.433069 4.554 4.456 4.01 3.937 4.978 4.383 3.94
0.8000000119 0.8 0.781002897 5134.521775 4.553 4.448 4.004 3.93 4.968 4.375 3.934
0.8142478466 0.814 0.8006683195 5207.14894 4.54 4.356 3.928 3.858 4.86 4.289 3.862
0.8326369524 0.832 0.8267089605 5301.515067 4.521 4.236 3.83 3.763 4.72 4.175 3.766
0.8500000238 0.849 0.8537931082 5387.657757 4.501 4.122 3.734 3.67 4.587 4.067 3.673
