# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
0.090000011 0.09 0.1068200175 2688.437843 5.332 17.063 12.698 10.77 10.393 10.225
0.0922382846 0.092 0.1096611118 2734.009379 5.32 16.721 12.522 10.661 10.266 10.094
0.0994170234 0.099 0.1187552026 2877.398415 5.283 15.674 11.997 10.334 9.886 9.7
0.1026887596 0.103 0.1223073749 2918.098854 5.271 15.379 11.843 10.229 9.768 9.579
0.1182510555 0.118 0.1391081724 3100.273442 5.221 14.152 11.194 9.771 9.267 9.065
0.1370850801 0.137 0.1574536182 3239.664224 5.177 13.29 10.681 9.372 8.847 8.64
0.1559191346 0.156 0.174925307 3333.496473 5.142 12.716 10.302 9.058 8.523 8.316
0.1935872138 0.193 0.2083303986 3457.004939 5.083 11.945 9.738 8.566 8.021 7.813
0.2406722903 0.24 0.248858595 3557.132151 5.023 11.278 9.212 8.093 7.539 7.332
0.2877573967 0.287 0.2870467571 3631.616662 4.977 10.778 8.806 7.722 7.162 6.955
0.3348424733 0.334 0.3235583744 3694.877123 4.94 10.366 8.468 7.411 6.845 6.638
0.3819275498 0.381 0.3631220695 3778.330987 4.896 9.926 8.114 7.09 6.518 6.314
0.4290127158 0.428 0.4092160367 3895.830022 4.843 9.419 7.717 6.736 6.154 5.956
0.4760977626 0.475 0.4589365482 4070.989667 4.789 8.838 7.271 6.346 5.748 5.574
0.523182869 0.522 0.5083380807 4335.108784 4.741 8.155 6.777 5.92 5.308 5.177
0.5517140627 0.551 0.5372205843 4534.192978 4.716 7.702 6.462 5.661 5.075 4.966
0.5702679157 0.569 0.5558436452 4662.29769 4.701 7.427 6.268 5.502 4.94 4.841
0.6173529625 0.617 0.6043000704 4996.892426 4.662 6.777 5.788 5.124 4.651 4.568
0.6243764758 0.624 0.6117199507 5050.100257 4.657 6.684 5.717 5.068 4.608 4.528
0.6403790712 0.64 0.6304528972 5170.11258 4.642 6.478 5.559 4.942 4.51 4.434
0.655905962 0.655 0.6487130653 5288.104149 4.627 6.285 5.407 4.82 4.413 4.342
0.6644381285 0.664 0.6598612795 5353.033977 4.619 6.18 5.323 4.752 4.359 4.29
0.6697745323 0.669 0.6671947877 5391.380705 4.612 6.117 5.272 4.709 4.323 4.256
0.6841529608 0.684 0.6895291723 5492.878592 4.593 5.947 5.131 4.592 4.226 4.161
0.6970304847 0.696 0.7101541754 5583.41617 4.575 5.795 5.007 4.486 4.134 4.073
0.709233284 0.709 0.7329133709 5666.305684 4.555 5.651 4.887 4.382 4.043 3.986
0.7127447128 0.712 0.7400356554 5691.149576 4.549 5.609 4.852 4.352 4.016 3.96
0.7203077674 0.72 0.7557056076 5739.842822 4.535 5.519 4.776 4.285 3.956 3.902
