# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
0.0900000036 0.09 0.2190547348 2528.13348 4.709 16.27 12.071 9.517 8.931 8.625
0.0928532481 0.093 0.2216422983 2546.830253 4.712 16.214 12.014 9.46 8.874 8.569
0.1000000015 0.1 0.2279043659 2595.374301 4.72 16.073 11.87 9.316 8.73 8.425
0.1005477011 0.101 0.2284297397 2598.364057 4.72 16.063 11.861 9.307 8.721 8.416
0.1111151651 0.111 0.2379866769 2656.439932 4.728 15.641 11.575 9.138 8.55 8.247
0.1200000048 0.12 0.2452746388 2707.073204 4.735 15.223 11.314 9.01 8.421 8.121
0.1392779052 0.139 0.2612478018 2781.634089 4.745 14.627 10.918 8.78 8.189 7.896
0.1400000006 0.14 0.261669223 2784.197249 4.745 14.606 10.904 8.772 8.181 7.889
0.1402355582 0.14 0.2621516798 2784.838408 4.745 14.599 10.9 8.77 8.179 7.886
0.1599999964 0.16 0.2774933915 2855.617271 4.753 14.055 10.547 8.562 7.969 7.683
0.1994030327 0.199 0.3055291451 2966.88013 4.765 13.246 10.018 8.224 7.628 7.354
0.200000003 0.2 0.3059515409 2968.246743 4.765 13.236 10.011 8.219 7.623 7.349
0.2154091895 0.215 0.3165575273 3003.308879 4.768 12.986 9.844 8.107 7.509 7.239
0.25 0.25 0.3389632732 3076.096815 4.773 12.481 9.514 7.881 7.281 7.019
0.2828295529 0.283 0.3602074118 3131.843125 4.774 12.11 9.256 7.69 7.086 6.83
0.3000000119 0.3 0.3712381885 3158.639048 4.773 11.937 9.133 7.597 6.992 6.739
0.3500000238 0.35 0.4036943255 3234.446709 4.767 11.467 8.794 7.334 6.723 6.479
0.4000000358 0.4 0.4386848586 3315.125698 4.753 11.003 8.46 7.072 6.455 6.218
0.4500000179 0.45 0.4785779057 3408.78806 4.728 10.517 8.108 6.794 6.168 5.937
0.5 0.5 0.5213779316 3539.973411 4.7 9.953 7.711 6.487 5.85 5.626
0.5205717683 0.52 0.5400732224 3627.438015 4.686 9.637 7.501 6.332 5.688 5.47
0.5500000119 0.55 0.5678748627 3751.457235 4.667 9.21 7.219 6.119 5.464 5.258
0.5516369939 0.551 0.569315024 3761.837228 4.666 9.181 7.201 6.106 5.451 5.246
