# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
0.0900000036 0.09 0.2190547348 2528.13348 4.709 9.517 8.931 8.625 11.328 9.538 8.7
0.0928532481 0.093 0.2216422983 2546.830253 4.712 9.46 8.874 8.569 11.271 9.481 8.644
0.1000000015 0.1 0.2279043659 2595.374301 4.72 9.316 8.73 8.425 11.127 9.337 8.5
0.1005477011 0.101 0.2284297397 2598.364057 4.72 9.307 8.721 8.416 11.117 9.327 8.491
0.1111151651 0.111 0.2379866769 2656.439932 4.728 9.138 8.55 8.247 10.878 9.148 8.319
0.1200000048 0.12 0.2452746388 2707.073204 4.735 9.01 8.421 8.121 10.67 9.008 8.19
0.1392779052 0.139 0.2612478018 2781.634089 4.745 8.78 8.189 7.896 10.337 8.764 7.96
0.1400000006 0.14 0.261669223 2784.197249 4.745 8.772 8.181 7.889 10.325 8.756 7.952
0.1402355582 0.14 0.2621516798 2784.838408 4.745 8.77 8.179 7.886 10.321 8.753 7.95
0.1599999964 0.16 0.2774933915 2855.617271 4.753 8.562 7.969 7.683 10.022 8.532 7.743
0.1994030327 0.199 0.3055291451 2966.88013 4.765 8.224 7.628 7.354 9.561 8.177 7.408
0.200000003 0.2 0.3059515409 2968.246743 4.765 8.219 7.623 7.349 9.555 8.172 7.403
0.2154091895 0.215 0.3165575273 3003.308879 4.768 8.107 7.509 7.239 9.407 8.054 7.292
0.25 0.25 0.3389632732 3076.096815 4.773 7.881 7.281 7.019 9.112 7.818 7.067
0.2828295529 0.283 0.3602074118 3131.843125 4.774 7.69 7.086 6.83 8.876 7.619 6.876
0.3000000119 0.3 0.3712381885 3158.639048 4.773 7.597 6.992 6.739 8.763 7.523 6.784
0.3500000238 0.35 0.4036943255 3234.446709 4.767 7.334 6.723 6.479 8.448 7.25 6.521
0.4000000358 0.4 0.4386848586 3315.125698 4.753 7.072 6.455 6.218 8.137 6.979 6.257
0.4500000179 0.45 0.4785779057 3408.78806 4.728 6.794 6.168 5.937 7.808 6.689 5.972
0.5 0.5 0.5213779316 3539.973411 4.7 6.487 5.85 5.626 7.438 6.367 5.656
0.5205717683 0.52 0.5400732224 3627.438015 4.686 6.332 5.688 5.47 7.245 6.203 5.497
0.5500000119 0.55 0.5678748627 3751.457235 4.667 6.119 5.464 5.258 6.984 5.978 5.28
0.5516369939 0.551 0.569315024 3761.837228 4.666 6.106 5.451 5.246 6.967 5.965 5.267
0.6000000238 0.6 0.599587603 4035.524609 4.658 5.765 5.092 4.927 6.549 5.609 4.941
0.6204252839 0.62 0.6026326323 4176.37993 4.668 5.638 4.968 4.825 6.39 5.482 4.836
0.6424230933 0.642 0.6069496214 4260.886836 4.677 5.557 4.896 4.763 6.29 5.404 4.773
0.6499999762 0.65 0.6089093528 4278.583382 4.679 5.535 4.875 4.746 6.264 5.382 4.755
0.6582319736 0.658 0.6114383081 4299.322267 4.681 5.512 4.855 4.728 6.237 5.361 4.737
0.7000000477 0.7 0.6333629356 4466.835922 4.677 5.313 4.682 4.575 5.999 5.172 4.582
0.7004067302 0.701 0.6335087896 4468.893449 4.677 5.311 4.681 4.573 5.996 5.17 4.58
0.75 0.75 0.6618394415 4750.069894 4.669 5.032 4.484 4.394 5.643 4.922 4.399
0.8000000119 0.8 0.7013788164 4967.066792 4.647 4.774 4.286 4.207 5.332 4.686 4.211
0.8485322595 0.848 0.7415708411 5170.11258 4.624 4.541 4.106 4.034 5.052 4.471 4.037
