# downloaded from PARSEC/CMD via ezpadova
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Jmag Hmag Ksmag
0.01471 0 9.8451 0.0900000036 1.081689593 0.09 -3.422 3.3633 5.219 1 0 0.545 0 0 0 0 0 -1 -3.9e-17 0 0.7099 0.2753 0.002655 0.0007163 0.006496 -1 0.01476 13.325 11.176 10.572 10.311
0.01471 0 9.8451 0.1000000015 1.171106412 0.1 -3.238 3.3895 5.186 1 0 0.545 0 0 0 0 0 -1 -5.87e-17 0 0.7096 0.2756 0.002655 0.0007163 0.006496 -1 0.01476 12.865 10.718 10.115 9.85
0.01471 0 9.8451 0.1138685867 1.27750886 0.114 -3.048 3.4146 5.153 1 0 0.545 0 0 0 0 0 -1 -8.84e-17 0 0.7092 0.2761 0.002655 0.0007163 0.006496 -1 0.01476 12.391 10.244 9.643 9.375
0.01471 0 9.8451 0.1200000048 1.319315474 0.12 -2.972 3.4247 5.14 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.709 0.2762 0.002655 0.0007163 0.006496 -1 0.01476 12.199 10.071 9.47 9.199
0.01471 0 9.8451 0.1400000006 1.438452672 0.14 -2.789 3.4446 5.103 1 0 0.545 0 0 0 0 0 -1 -1.53e-16 0 0.7085 0.2768 0.002655 0.0007163 0.006496 -1 0.01476 11.743 9.662 9.061 8.788
0.01471 0 9.8451 0.1523650587 1.501559916 0.152 -2.699 3.4532 5.085 1 0 0.545 0 0 0 0 0 -1 -1.85e-16 0 0.7081 0.2771 0.002655 0.0007163 0.006496 -1 0.01476 11.519 9.46 8.858 8.586
0.01471 0 9.8451 0.1599999964 1.537293155 0.16 -2.648 3.4582 5.075 1 0 0.545 0 0 0 0 0 -1 -2.05e-16 0 0.708 0.2773 0.002655 0.0007163 0.006496 -1 0.01476 11.389 9.343 8.741 8.47
0.01471 0 9.8451 0.200000003 1.693879086 0.2 -2.43 3.4769 5.029 1 0 0.545 0 0 0 0 0 -1 -3.2e-16 0 0.7071 0.2781 0.002655 0.0007163 0.006496 -1 0.01476 10.845 8.845 8.242 7.979
0.01471 0 9.8451 0.25 1.8403258 0.25 -2.22 3.4932 4.981 1 0 0.545 0 0 0 0 0 -1 -4.88e-16 0 0.7064 0.2788 0.002655 0.0007163 0.006496 -1 0.01476 10.321 8.363 7.759 7.504
0.01471 0 9.8451 0.3000000119 1.952913977 0.3 -2.057 3.5038 4.94 1 0 0.545 0 0 0 0 0 -1 -2.32e-16 0 0.7061 0.2791 0.002655 0.0007163 0.006496 -1 0.01476 9.913 7.98 7.374 7.126
