# downloaded from PARSEC/CMD via ezpadova
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.01471 0 9.95424 0.0900000036 1.081689593 0.09 -3.421 3.3634 5.219 1 0 0.545 0 0 0 0 0 -1 -3.91e-17 0 0.7096 0.2756 0.002655 0.0007163 0.006496 -1 0.01476 13.324 16.368 12.975 11.844 11.186 10.753 10.632 11.196 10.387 11.581 11.09 10.746
0.01471 0 9.95424 0.1000000015 1.171106412 0.1 -3.238 3.3896 5.186 1 0 0.545 0 0 0 0 0 -1 -5.87e-17 0 0.7093 0.2759 0.002655 0.0007163 0.006496 -1 0.01476 12.864 15.901 12.517 11.384 10.728 10.296 10.172 10.738 9.927 11.123 10.632 10.286
0.01471 0 9.95424 0.1111498475 1.258023235 0.111 -3.083 3.41 5.159 1 0 0.545 0 0 0 0 0 -1 -8.2e-17 0 0.7088 0.2764 0.002655 0.0007163 0.006496 -1 0.01476 12.478 15.508 12.132 10.998 10.342 9.912 9.785 10.352 9.539 10.737 10.247 9.9
0.01471 0 9.95424 0.1200000048 1.319315474 0.12 -2.971 3.4249 5.139 1 0 0.545 0 0 0 0 0 -1 -1.05e-16 0 0.7085 0.2768 0.002655 0.0007163 0.006496 -1 0.01476 12.197 15.02 11.797 10.717 10.074 9.643 9.509 10.079 9.271 10.461 9.977 9.623
0.01471 0 9.95424 0.1400000006 1.438452672 0.14 -2.788 3.4447 5.103 1 0 0.545 0 0 0 0 0 -1 -1.54e-16 0 0.7078 0.2774 0.002655 0.0007163 0.006496 -1 0.01476 11.741 14.084 11.206 10.259 9.648 9.216 9.069 9.643 8.853 10.012 9.548 9.181
0.01471 0 9.95424 0.1496943682 1.488506653 0.15 -2.717 3.4516 5.089 1 0 0.545 0 0 0 0 0 -1 -1.78e-16 0 0.7075 0.2778 0.002655 0.0007163 0.006496 -1 0.01476 11.564 13.755 10.987 10.083 9.481 9.049 8.899 9.474 8.69 9.838 9.381 9.01
0.01471 0 9.95424 0.1599999964 1.537293155 0.16 -2.647 3.4583 5.074 1 0 0.545 0 0 0 0 0 -1 -2.06e-16 0 0.7071 0.2781 0.002655 0.0007163 0.006496 -1 0.01476 11.387 13.429 10.772 9.91 9.317 8.885 8.731 9.307 8.529 9.666 9.216 8.842
0.01471 0 9.95424 0.200000003 1.693879086 0.2 -2.428 3.4771 5.027 1 0 0.545 0 0 0 0 0 -1 -3.22e-16 0 0.7061 0.2791 0.002655 0.0007163 0.006496 -1 0.01476 10.839 12.521 10.134 9.372 8.804 8.37 8.209 8.786 8.027 9.132 8.7 8.318
0.01471 0 9.95424 0.25 1.8403258 0.25 -2.216 3.4933 4.977 1 0 0.545 0 0 0 0 0 -1 -2.54e-16 0 0.7053 0.2799 0.002655 0.0007163 0.006496 -1 0.01476 10.309 11.707 9.544 8.857 8.307 7.872 7.706 8.282 7.54 8.619 8.201 7.813
0.01471 0 9.95424 0.3000000119 1.952913977 0.3 -2.051 3.5038 4.934 1 0 0.545 0 0 0 0 0 -1 -2.85e-17 0 0.705 0.2802 0.002655 0.0007163 0.006496 -1 0.01476 9.899 11.151 9.102 8.455 7.917 7.479 7.311 7.888 7.155 8.217 7.808 7.417
0.01471 0 9.95424 0.3224172294 1.995744683 0.322 -1.982 3.5079 4.912 1 0 0.545 0 0 0 0 0 -1 -2.45e-16 0 0.7077 0.2775 0.002655 0.0007163 0.006496 -1 0.01476 9.726 10.927 8.919 8.286 7.752 7.313 7.143 7.721 6.992 8.048 7.642 7.249
0.01471 0 9.95424 0.3500000238 2.043417513 0.35 -1.903 3.5125 4.887 1 0 0.545 0 0 0 0 0 -1 -4.91e-16 0 0.7104 0.2748 0.002655 0.0007163 0.006496 -1 0.01476 9.527 10.671 8.71 8.092 7.562 7.122 6.951 7.529 6.804 7.854 7.451 7.056
0.01471 0 9.95424 0.4000000358 2.118502481 0.4 -1.758 3.5235 4.844 1 0 0.545 0 0 0 0 0 -1 -1.31e-15 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 9.166 10.182 8.327 7.745 7.224 6.779 6.603 7.185 6.467 7.505 7.11 6.706
0.01471 0 9.95424 0.4495986402 2.18180616 0.449 -1.609 3.5358 4.795 1 0 0.545 0 0 0 0 0 -1 -1.85e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.793 9.683 7.935 7.389 6.878 6.425 6.242 6.831 6.118 7.147 6.758 6.345
0.01471 0 9.95424 0.4500000179 2.182280936 0.45 -1.608 3.5359 4.795 1 0 0.545 0 0 0 0 0 -1 -1.85e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.79 9.679 7.932 7.386 6.875 6.423 6.24 6.828 6.115 7.144 6.756 6.342
0.01471 0 9.95424 0.4501869678 2.182501885 0.45 -1.607 3.536 4.794 1 0 0.545 0 0 0 0 0 -1 -1.85e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.788 9.677 7.93 7.385 6.874 6.421 6.238 6.827 6.114 7.143 6.754 6.34
