# downloaded from PARSEC/CMD via ezpadova
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.0024432 -0.8 10.07918 0.090000011 1.081689664 0.09 -3.27 3.4295 5.332 1 0 0.545 0 0 0 0 0 -1 -4.27e-17 0 0.7422 0.2552 0.0004635 0.000125 0.001134 -1 0.002577 12.945 21.778 19.095 17.063 14.88 12.698 10.829 10.435 10.238
0.0024432 -0.8 10.07918 0.0922382846 1.102791149 0.092 -3.218 3.4368 5.32 1 0 0.545 0 0 0 0 0 -1 -4.83e-17 0 0.742 0.2554 0.0004635 0.000125 0.001134 -1 0.002578 12.815 21.311 18.721 16.721 14.638 12.522 10.72 10.307 10.107
0.0024432 -0.8 10.07918 0.0994170234 1.166218066 0.099 -3.06 3.459 5.283 1 0 0.545 0 0 0 0 0 -1 -7.2e-17 0 0.7413 0.2561 0.0004635 0.000125 0.001134 -1 0.002578 12.419 19.888 17.593 15.674 13.891 11.997 10.392 9.924 9.713
0.0024432 -0.8 10.07918 0.1026887596 1.193181883 0.103 -3.01 3.4651 5.271 1 0 0.545 0 0 0 0 0 -1 -8.17e-17 0 0.741 0.2564 0.0004635 0.000125 0.001134 -1 0.002577 12.294 19.493 17.278 15.379 13.671 11.843 10.287 9.807 9.591
0.0024432 -0.8 10.07918 0.1182510555 1.30767844 0.118 -2.793 3.4914 5.221 1 0 0.545 0 0 0 0 0 -1 -1.45e-16 0 0.7396 0.2578 0.0004635 0.000125 0.001134 -1 0.002577 11.753 17.853 15.966 14.152 12.732 11.194 9.827 9.303 9.077
0.0024432 -0.8 10.07918 0.1370850801 1.422513994 0.137 -2.609 3.5105 5.177 1 0 0.545 0 0 0 0 0 -1 -1.83e-16 0 0.7382 0.2592 0.0004635 0.000125 0.001134 -1 0.002578 11.293 16.695 15.025 13.29 12.02 10.681 9.427 8.881 8.652
0.0024432 -0.8 10.07918 0.1559191346 1.518476691 0.156 -2.468 3.5229 5.142 1 0 0.545 0 0 0 0 0 -1 -2.91e-16 0 0.737 0.2604 0.0004635 0.000125 0.001134 -1 0.002578 10.941 15.939 14.393 12.716 11.522 10.302 9.113 8.557 8.328
0.0024432 -0.8 10.07918 0.1935872138 1.671658789 0.193 -2.253 3.5387 5.083 1 0 0.545 0 0 0 0 0 -1 -4.59e-16 0 0.7354 0.262 0.0004635 0.0001251 0.001134 -1 0.002578 10.402 14.951 13.539 11.945 10.829 9.738 8.62 8.053 7.826
0.0024432 -0.8 10.07918 0.2406722903 1.816058415 0.24 -2.049 3.5511 5.023 1 0 0.545 0 0 0 0 0 -1 -9.09e-17 0 0.7348 0.2627 0.0004634 0.0001251 0.001134 -1 0.002578 9.891 14.126 12.806 11.278 10.212 9.212 8.146 7.571 7.346
0.0024432 -0.8 10.07918 0.2877573967 1.927725072 0.287 -1.889 3.5601 4.977 1 0 0.545 0 0 0 0 0 -1 -2.3e-17 0 0.7347 0.2627 0.0004634 0.0001251 0.001134 -1 0.002578 9.493 13.524 12.261 10.778 9.745 8.806 7.774 7.193 6.971
