# downloaded from PARSEC/CMD via ezpadova
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.01471 0 8.77815 0.0900000036 1.081689593 0.09 -3.309 3.3727 5.144 0 0 0.545 0 0 0 0 0 -1 -5.55e-17 0 0.7107 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 13.042 22.205 19.643 17.822 15.688 13.448 10.954 10.341 10.045
0.01471 0 8.77815 0.0967213437 1.143119949 0.097 -3.224 3.3864 5.145 0 0 0.545 0 0 0 0 0 -1 -6.51e-17 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 12.831 21.997 19.432 17.611 15.477 13.237 10.743 10.129 9.834
0.01471 0 8.77815 0.1000000015 1.171106412 0.1 -3.18 3.3932 5.142 0 0 0.545 0 0 0 0 0 -1 -7.13e-17 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 12.719 21.879 19.318 17.498 15.365 13.125 10.631 10.018 9.722
0.01471 0 8.77815 0.1168747693 1.298362548 0.117 -2.979 3.4208 5.12 0 0 0.545 0 0 0 0 0 -1 -1.07e-16 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 12.217 21.14 18.664 16.862 14.78 12.574 10.138 9.525 9.226
0.01471 0 8.77815 0.1200000048 1.319315474 0.12 -2.944 3.4257 5.116 0 0 0.545 0 0 0 0 0 -1 -1.15e-16 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 12.13 20.769 18.384 16.6 14.581 12.418 10.064 9.45 9.15
0.01471 0 8.77815 0.1242667139 1.346802909 0.124 -2.908 3.4298 5.111 0 0 0.545 0 0 0 0 0 -1 -1.24e-16 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 12.039 20.433 18.126 16.358 14.392 12.267 9.983 9.368 9.067
0.01471 0 8.77815 0.1400000006 1.438452672 0.14 -2.777 3.4445 5.091 0 0 0.545 0 0 0 0 0 -1 -1.61e-16 0 0.7106 0.2747 0.002655 0.0007163 0.006496 -1 0.01476 11.712 19.38 17.28 15.576 13.77 11.763 9.69 9.073 8.774
0.01471 0 8.77815 0.1588336676 1.531979551 0.159 -2.655 3.457 5.074 0 0 0.545 0 0 0 0 0 -1 -2.03e-16 0 0.7105 0.2747 0.002655 0.0007163 0.006496 -1 0.01476 11.408 18.486 16.552 14.888 13.217 11.321 9.415 8.797 8.501
0.01471 0 8.77815 0.1599999964 1.537293155 0.16 -2.647 3.4578 5.073 0 0 0.545 0 0 0 0 0 -1 -2.06e-16 0 0.7105 0.2747 0.002655 0.0007163 0.006496 -1 0.01476 11.389 18.432 16.508 14.846 13.182 11.294 9.398 8.779 8.483
0.01471 0 8.77815 0.200000003 1.693879086 0.2 -2.433 3.4764 5.03 0 0 0.545 0 0 0 0 0 -1 -3.17e-16 0 0.7104 0.2748 0.002655 0.0007163 0.006496 -1 0.01476 10.854 17.114 15.401 13.798 12.315 10.592 8.908 8.287 8
0.01471 0 8.77815 0.25 1.8403258 0.25 -2.232 3.4929 4.992 0 0 0.545 0 0 0 0 0 -1 -4.71e-16 0 0.7104 0.2748 0.002655 0.0007163 0.006496 -1 0.01476 10.351 16.027 14.459 12.89 11.539 9.972 8.447 7.824 7.547
0.01471 0 8.77815 0.3013713658 1.955652168 0.301 -2.074 3.504 4.959 0 0 0.545 0 0 0 0 0 -1 -6.42e-16 0 0.7103 0.2749 0.002655 0.0007163 0.006496 -1 0.01476 9.955 15.299 13.808 12.271 10.995 9.514 8.076 7.451 7.183
