# downloaded from PARSEC/CMD via ezpadova
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Jmag Hmag Ksmag
0.01471 0 9.60746 0.0900000036 1.081689593 0.09 -3.422 3.3632 5.22 1 0 0.545 0 0 0 0 0 -1 -3.9e-17 0 0.7102 0.275 0.002655 0.0007163 0.006496 -1 0.01476 13.326 11.177 10.573 10.312
0.01471 0 9.60746 0.1000000015 1.171106412 0.1 -3.239 3.3894 5.186 1 0 0.545 0 0 0 0 0 -1 -5.86e-17 0 0.7101 0.2751 0.002655 0.0007163 0.006496 -1 0.01476 12.867 10.719 10.116 9.852
0.01471 0 9.60746 0.1170301512 1.299421431 0.117 -3.009 3.4197 5.146 1 0 0.545 0 0 0 0 0 -1 -9.62e-17 0 0.7098 0.2755 0.002655 0.0007163 0.006496 -1 0.01476 12.293 10.152 9.551 9.282
0.01471 0 9.60746 0.1200000048 1.319315474 0.12 -2.972 3.4246 5.14 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.7097 0.2755 0.002655 0.0007163 0.006496 -1 0.01476 12.201 10.073 9.471 9.201
0.01471 0 9.60746 0.1400000006 1.438452672 0.14 -2.79 3.4444 5.104 1 0 0.545 0 0 0 0 0 -1 -1.53e-16 0 0.7094 0.2758 0.002655 0.0007163 0.006496 -1 0.01476 11.745 9.664 9.062 8.79
0.01471 0 9.60746 0.1548408419 1.513397607 0.155 -2.683 3.4547 5.082 1 0 0.545 0 0 0 0 0 -1 -1.91e-16 0 0.7092 0.276 0.002655 0.0007163 0.006496 -1 0.01476 11.479 9.423 8.821 8.55
0.01471 0 9.60746 0.1599999964 1.537293155 0.16 -2.649 3.458 5.075 1 0 0.545 0 0 0 0 0 -1 -2.05e-16 0 0.7091 0.2761 0.002655 0.0007163 0.006496 -1 0.01476 11.392 9.345 8.743 8.473
0.01471 0 9.60746 0.200000003 1.693879086 0.2 -2.433 3.4767 5.03 1 0 0.545 0 0 0 0 0 -1 -3.17e-16 0 0.7086 0.2766 0.002655 0.0007163 0.006496 -1 0.01476 10.851 8.851 8.248 7.984
0.01471 0 9.60746 0.25 1.8403258 0.25 -2.227 3.4931 4.988 1 0 0.545 0 0 0 0 0 -1 -4.78e-16 0 0.7081 0.2771 0.002655 0.0007163 0.006496 -1 0.01476 10.338 8.379 7.776 7.52
0.01471 0 9.60746 0.3000000119 1.952913977 0.3 -2.067 3.5038 4.95 1 0 0.545 0 0 0 0 0 -1 -5.18e-16 0 0.7079 0.2773 0.002655 0.0007163 0.006496 -1 0.01476 9.939 8.005 7.399 7.151
0.01471 0 9.60746 0.3457297683 2.03636266 0.346 -1.923 3.5117 4.898 1 0 0.545 0 0 0 0 0 -1 -9.07e-16 0 0.7105 0.2748 0.002655 0.0007163 0.006496 -1 0.01476 9.578 7.663 7.054 6.811
0.01471 0 9.60746 0.3500000238 2.043417513 0.35 -1.91 3.5123 4.894 0 0 0.545 0 0 0 0 0 -1 -9.33e-16 0 0.7106 0.2747 0.002655 0.0007163 0.006496 -1 0.01476 9.546 7.632 7.023 6.781
0.01471 0 9.60746 0.4000000358 2.118502481 0.4 -1.768 3.5235 4.854 0 0 0.545 0 0 0 0 0 -1 -1.27e-15 0 0.7107 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 9.189 7.303 6.688 6.452
0.01471 0 9.60746 0.4500000179 2.182280936 0.45 -1.618 3.5355 4.803 1 0 0.545 0 0 0 0 0 -1 -1.79e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.815 6.96 6.336 6.106
0.01471 0 9.60746 0.5 2.237454153 0.5 -1.462 3.5505 4.753 1 0 0.545 0 0 0 0 0 -1 -2.58e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.425 6.608 5.974 5.751
0.01471 0 9.60746 0.5228532553 2.259833656 0.523 -1.384 3.5595 4.73 1 0 0.545 0 0 0 0 0 -1 -3.1e-15 0 0.7148 0.2706 0.002619 0.0007066 0.006409 -1 0.01457 8.23 6.438 5.797 5.579
